1	Oh	_	UH	UH	_	2	discourse	_	_
2	My	_	VB	VB	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

1	More	_	JJR	JJR	_	0	root	_	_
2	Like	_	IN	IN	_	1	prep	_	_
3	A	_	DT	DT	_	5	det	_	_
4	Dank	_	NNP	NNP	_	5	nn	_	_
5	Museum	_	NNP	NNP	_	2	pobj	_	_
6	Than	_	IN	IN	_	1	prep	_	_
7	A	_	DT	DT	_	10	det	_	_
8	Four	_	NNP	NNP	_	10	nn	_	_
9	Star	_	NNP	NNP	_	10	nn	_	_
10	Hotel	_	NNP	NNP	_	6	pobj	_	_
11	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	read	_	VBD	VBD	_	0	root	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	many	_	JJ	JJ	_	5	amod	_	_
5	reviews	_	NNS	NNS	_	2	dobj	_	_
6	on	_	IN	IN	_	2	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	6	pobj	_	_
9	that	_	IN	IN	_	14	mark	_	_
10	I	_	PRP	PRP	_	14	nsubj	_	_
11	was	_	VBD	VBD	_	14	cop	_	_
12	sure	_	RB	RB	_	14	advmod	_	_
13	my	_	PRP$	PRP$	_	14	poss	_	_
14	husband	_	NN	NN	_	2	ccomp	_	_
15	and	_	CC	CC	_	2	cc	_	_
16	I	_	PRP	PRP	_	20	nsubjpass	_	_
17	would	_	MD	MD	_	20	aux	_	_
18	n't	_	RB	RB	_	20	neg	_	_
19	be	_	VB	VB	_	20	auxpass	_	_
20	disappointed	_	VBN	VBN	_	2	conj	_	_
21	on	_	IN	IN	_	20	prep	_	_
22	spending	_	VBG	VBG	_	21	pcomp	_	_
23	our	_	PRP$	PRP$	_	26	poss	_	_
24	10th	_	JJ	JJ	_	26	amod	_	_
25	Wedding	_	NN	NN	_	26	nn	_	_
26	Anniversary	_	NN	NN	_	22	dobj	_	_
27	in	_	IN	IN	_	22	prep	_	_
28	the	_	DT	DT	_	29	det	_	_
29	heart	_	NN	NN	_	27	pobj	_	_
30	of	_	IN	IN	_	29	prep	_	_
31	Chicago	_	NNP	NNP	_	30	pobj	_	_
32	at	_	IN	IN	_	22	prep	_	_
33	such	_	PDT	PDT	_	36	predet	_	_
34	a	_	DT	DT	_	36	det	_	_
35	luxurious	_	JJ	JJ	_	36	amod	_	_
36	hotel	_	NN	NN	_	32	pobj	_	_
37	!	_	.	.	_	0	erased	_	_

1	All	_	PDT	PDT	_	3	predet	_	_
2	the	_	DT	DT	_	3	det	_	_
3	reviews	_	NNS	NNS	_	4	nsubj	_	_
4	sounded	_	VBD	VBD	_	0	root	_	_
5	great	_	JJ	JJ	_	4	acomp	_	_
6	so	_	IN	IN	_	8	mark	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	feel	_	VBP	VBP	_	4	advcl	_	_
9	awkward	_	JJ	JJ	_	8	dobj	_	_
10	writing	_	VBG	VBG	_	9	vmod	_	_
11	this	_	DT	DT	_	10	dobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	but	_	CC	CC	_	4	cc	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
