1	Two	_	CD	CD	_	3	num	_	_
2	friendly	_	JJ	JJ	_	3	amod	_	_
3	drivers	_	NNS	NNS	_	15	nsubj	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	from	_	IN	IN	_	4	conj	_	_
7	the	_	DT	DT	_	10	det	_	_
8	Alamo	_	NNP	NNP	_	10	nn	_	_
9	rental	_	JJ	JJ	_	10	amod	_	_
10	location	_	NN	NN	_	4	pobj	_	_
11	to	_	TO	TO	_	3	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	terminal	_	NN	NN	_	11	pobj	_	_
14	were	_	VBD	VBD	_	15	cop	_	_
15	wonderful	_	JJ	JJ	_	0	root	_	_
16	.	_	.	.	_	0	erased	_	_

1	``	_	``	``	_	0	erased	_	_
2	Do	_	VB	VB	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	leave	_	VB	VB	_	0	root	_	_
5	Chicago	_	NNP	NNP	_	4	dobj	_	_
6	without	_	IN	IN	_	4	prep	_	_
7	trying	_	VBG	VBG	_	6	pcomp	_	_
8	our	_	PRP$	PRP$	_	12	poss	_	_
9	famous	_	JJ	JJ	_	12	amod	_	_
10	deep	_	JJ	JJ	_	12	amod	_	_
11	dish	_	NN	NN	_	12	nn	_	_
12	pizza	_	NN	NN	_	7	dobj	_	_
13	!	_	.	.	_	0	erased	_	_
14	''	_	''	''	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	very	_	RB	RB	_	3	advmod	_	_
3	friendly	_	JJ	JJ	_	4	amod	_	_
4	employee	_	NN	NN	_	24	nsubj	_	_
5	that	_	WDT	WDT	_	6	nsubj	_	_
6	helped	_	VBD	VBD	_	4	rcmod	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	kiosk	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	6	cc	_	_
12	allowed	_	VBD	VBD	_	6	conj	_	_
13	a	_	DT	DT	_	15	det	_	_
14	SUV	_	NNP	NNP	_	15	nn	_	_
15	upgrade	_	NN	NN	_	12	dobj	_	_
16	from	_	IN	IN	_	12	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	compact	_	JJ	JJ	_	19	amod	_	_
19	car	_	NN	NN	_	16	pobj	_	_
20	at	_	IN	IN	_	12	prep	_	_
21	no	_	DT	DT	_	23	neg	_	_
22	additional	_	JJ	JJ	_	23	amod	_	_
23	charge	_	NN	NN	_	20	pobj	_	_
24	made	_	VBD	VBD	_	0	root	_	_
25	me	_	PRP	PRP	_	24	iobj	_	_
26	an	_	DT	DT	_	28	det	_	_
27	Alamo	_	NNP	NNP	_	28	nn	_	_
28	fan	_	NN	NN	_	24	dobj	_	_
29	,	_	,	,	_	0	erased	_	_
30	big	_	JJ	JJ	_	31	amod	_	_
31	time	_	NN	NN	_	24	dobj	_	_
32	.	_	.	.	_	0	erased	_	_

1	Clean	_	JJ	JJ	_	3	amod	_	_
2	new	_	JJ	JJ	_	3	amod	_	_
3	car	_	NN	NN	_	14	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	great	_	JJ	JJ	_	7	amod	_	_
6	gas	_	NN	NN	_	7	nn	_	_
7	mileage	_	NN	NN	_	3	appos	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	3	cc	_	_
10	amazingly	_	RB	RB	_	11	advmod	_	_
11	wonderful	_	JJ	JJ	_	13	amod	_	_
12	customer	_	NN	NN	_	13	nn	_	_
13	service	_	NN	NN	_	3	conj	_	_
14	made	_	VBD	VBD	_	0	root	_	_
15	car	_	NN	NN	_	16	nn	_	_
16	rental	_	NN	NN	_	14	iobj	_	_
17	here	_	RB	RB	_	23	advmod	_	_
18	a	_	DT	DT	_	23	det	_	_
19	very	_	RB	RB	_	20	advmod	_	_
20	easy	_	JJ	JJ	_	23	amod	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	enjoyable	_	JJ	JJ	_	20	conj	_	_
23	experience	_	NN	NN	_	14	dobj	_	_
24	.	_	.	.	_	0	erased	_	_

