1	Well	_	UH	UH	_	3	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	color	_	VB	VB	_	0	root	_	_
4	me	_	PRP	PRP	_	5	nsubj	_	_
5	surprised	_	JJ	JJ	_	3	xcomp	_	_
6	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	typically	_	RB	RB	_	5	advmod	_	_
3	do	_	VBP	VBP	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	love	_	VB	VB	_	0	root	_	_
6	touristy	_	JJ	JJ	_	7	amod	_	_
7	things	_	NNS	NNS	_	5	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	friend	_	NN	NN	_	2	dobj	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	town	_	NN	NN	_	5	pobj	_	_
7	though	_	RB	RB	_	2	advmod	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	2	cc	_	_
10	all	_	RB	RB	_	2	advmod	_	_
11	she	_	PRP	PRP	_	13	nsubj	_	_
12	ever	_	RB	RB	_	13	advmod	_	_
13	wants	_	VBZ	VBZ	_	2	ccomp	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	is	_	VBZ	VBZ	_	13	xcomp	_	_
16	eat	_	VB	VB	_	15	ccomp	_	_
17	good	_	JJ	JJ	_	19	amod	_	_
18	Chicago	_	NNP	NNP	_	19	nn	_	_
19	food	_	NN	NN	_	16	dobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	Every	_	DT	DT	_	2	det	_	_
2	time	_	NN	NN	_	4	nsubj	_	_
3	she	_	PRP	PRP	_	4	nsubj	_	_
4	visits	_	VBZ	VBZ	_	0	root	_	_
5	,	_	,	,	_	0	erased	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	pay	_	VB	VB	_	4	ccomp	_	_
8	a	_	DT	DT	_	9	det	_	_
9	visit	_	NN	NN	_	7	dobj	_	_
10	to	_	TO	TO	_	7	prep	_	_
11	Yelp	_	NNP	NNP	_	10	pobj	_	_
12	and	_	CC	CC	_	7	cc	_	_
13	try	_	VB	VB	_	7	conj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	take	_	VB	VB	_	13	xcomp	_	_
16	her	_	PRP	PRP	_	15	dobj	_	_
17	somewhere	_	RB	RB	_	15	prep	_	_
18	new	_	JJ	JJ	_	17	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	visits	_	VBZ	VBZ	_	0	root	_	_
3	OFTEN	_	NNP	NNP	_	2	dobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	I	_	PRP	PRP	_	8	nsubj	_	_
7	was	_	VBD	VBD	_	8	aux	_	_
8	running	_	VBG	VBG	_	2	conj	_	_
9	out	_	RP	RP	_	8	prt	_	_
10	of	_	IN	IN	_	8	prep	_	_
11	ideas	_	NNS	NNS	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Chicago	_	NNP	NNP	_	2	nn	_	_
2	Dine-Around	_	NNP	NNP	_	6	nsubj	_	_
3	actually	_	RB	RB	_	6	advmod	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	a	_	DT	DT	_	6	det	_	_
6	suggestion	_	NN	NN	_	0	root	_	_
7	from	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	10	det	_	_
9	foodie	_	JJ	JJ	_	10	amod	_	_
10	friend	_	NN	NN	_	7	pobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	mine	_	NN	NN	_	11	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	and	_	CC	CC	_	6	cc	_	_
15	did	_	VBD	VBD	_	17	aux	_	_
16	not	_	RB	RB	_	17	neg	_	_
17	disappoint	_	VB	VB	_	6	conj	_	_
18	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	restaurant	_	NN	NN	_	3	nn	_	_
3	choices	_	NNS	NNS	_	6	nsubj	_	_
4	were	_	VBD	VBD	_	6	cop	_	_
5	muy	_	NN	NN	_	6	nn	_	_
6	impressivo	_	NN	NN	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	guide	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	not	_	RB	RB	_	5	neg	_	_
5	cheesy	_	JJ	JJ	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	all	_	DT	DT	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Rather	_	RB	RB	_	2	advmod	_	_
2	charming	_	VB	VB	_	0	root	_	_
3	really	_	RB	RB	_	2	advmod	_	_
4	.	_	.	.	_	0	erased	_	_

1	Could	_	NNP	NNP	_	5	nsubj	_	_
2	've	_	VBP	VBP	_	5	aux	_	_
3	been	_	VBN	VBN	_	5	cop	_	_
4	the	_	DT	DT	_	5	det	_	_
5	drinking	_	NN	NN	_	0	root	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	bus	_	NN	NN	_	6	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	but	_	CC	CC	_	5	cc	_	_
11	the	_	DT	DT	_	12	det	_	_
12	crowd	_	NN	NN	_	13	nsubj	_	_
13	felt	_	VBD	VBD	_	5	conj	_	_
14	like	_	IN	IN	_	16	mark	_	_
15	we	_	PRP	PRP	_	16	nsubj	_	_
16	were	_	VBD	VBD	_	13	advcl	_	_
17	out	_	RB	RB	_	16	advmod	_	_
18	with	_	IN	IN	_	16	prep	_	_
19	a	_	DT	DT	_	21	det	_	_
20	large	_	JJ	JJ	_	21	amod	_	_
21	group	_	NN	NN	_	18	pobj	_	_
22	of	_	IN	IN	_	21	prep	_	_
23	friends	_	NNS	NNS	_	22	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	plan	_	VBP	VBP	_	0	root	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	scheduling	_	VBG	VBG	_	3	pcomp	_	_
5	another	_	DT	DT	_	6	det	_	_
6	one	_	NN	NN	_	4	dobj	_	_
7	when	_	WRB	WRB	_	11	advmod	_	_
8	my	_	PRP$	PRP$	_	10	poss	_	_
9	Vegas	_	NNP	NNP	_	10	nn	_	_
10	cousins	_	NNS	NNS	_	11	nsubj	_	_
11	come	_	VBP	VBP	_	6	rcmod	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	visit	_	VB	VB	_	11	xcomp	_	_
14	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	way	_	NN	NN	_	3	nsubj	_	_
3	give	_	VBP	VBP	_	0	root	_	_
4	someone	_	NN	NN	_	3	iobj	_	_
5	the	_	DT	DT	_	6	det	_	_
6	vibe	_	NN	NN	_	3	dobj	_	_
7	of	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	town	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	all	_	DT	DT	_	9	appos	_	_
12	in	_	IN	IN	_	11	prep	_	_
13	one	_	CD	CD	_	14	num	_	_
14	night	_	NN	NN	_	12	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

