1	My	_	PRP$	PRP$	_	2	poss	_	_
2	room	_	NN	NN	_	3	nsubj	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	the	_	DT	DT	_	6	det	_	_
5	awesome	_	JJ	JJ	_	6	amod	_	_
6	view	_	NN	NN	_	3	dobj	_	_
7	being	_	VBG	VBG	_	6	dep	_	_
8	that	_	IN	IN	_	13	mark	_	_
9	the	_	DT	DT	_	10	det	_	_
10	hotel	_	NN	NN	_	13	nsubj	_	_
11	is	_	VBZ	VBZ	_	13	cop	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	high	_	JJ	JJ	_	7	ccomp	_	_
14	up	_	RB	RB	_	13	advmod	_	_
15	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	think	_	VBP	VBP	_	0	root	_	_
3	all	_	PDT	PDT	_	5	predet	_	_
4	the	_	DT	DT	_	5	det	_	_
5	room	_	NN	NN	_	6	nsubj	_	_
6	has	_	VBZ	VBZ	_	2	ccomp	_	_
7	a	_	DT	DT	_	8	det	_	_
8	view	_	NN	NN	_	6	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	downtown	_	NN	NN	_	12	nn	_	_
12	chicago	_	NN	NN	_	9	pobj	_	_
13	!	_	.	.	_	0	erased	_	_

1	Rock	_	VB	VB	_	0	root	_	_
2	baby	_	NN	NN	_	1	dobj	_	_
3	!	_	.	.	_	0	erased	_	_

