1	Extremely	_	RB	RB	_	2	advmod	_	_
2	helpful	_	JJ	JJ	_	9	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	organized	_	JJ	JJ	_	9	nsubjpass	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	employees	_	NNS	NNS	_	4	conj	_	_
7	were	_	VBD	VBD	_	9	auxpass	_	_
8	actual	_	JJ	JJ	_	9	amod	_	_
9	friendly	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	had	_	VBN	VBN	_	9	conj	_	_
12	a	_	DT	DT	_	13	det	_	_
13	sense	_	NN	NN	_	11	dobj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	humor	_	NN	NN	_	14	pobj	_	_
16	...	_	:	:	_	0	erased	_	_
17	Unheard	_	NNP	NNP	_	23	nsubj	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	for	_	IN	IN	_	18	pcomp	_	_
20	a	_	DT	DT	_	22	det	_	_
21	government	_	NN	NN	_	22	nn	_	_
22	agency	_	NN	NN	_	19	pobj	_	_
23	!!	_	VBZ	VBZ	_	9	parataxis	_	_
24	Great	_	NNP	NNP	_	26	nn	_	_
25	job	_	NN	NN	_	26	nn	_	_
26	Chicago	_	NNP	NNP	_	23	dobj	_	_
27	passport	_	NN	NN	_	28	nn	_	_
28	agency	_	NN	NN	_	26	dep	_	_

