1	Living	_	VBG	VBG	_	9	dep	_	_
2	right	_	RB	RB	_	3	advmod	_	_
3	next	_	JJ	JJ	_	1	advmod	_	_
4	to	_	TO	TO	_	1	prep	_	_
5	O'Hare	_	NNP	NNP	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	very	_	RB	RB	_	8	advmod	_	_
8	seldom	_	RB	RB	_	9	advmod	_	_
9	do	_	VBP	VBP	_	0	root	_	_
10	I	_	PRP	PRP	_	11	nsubj	_	_
11	travel	_	VB	VB	_	9	ccomp	_	_
12	out	_	RP	RP	_	11	prt	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	Midway	_	NNP	NNP	_	13	pobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	forget	_	VBP	VBP	_	0	root	_	_
3	how	_	WRB	WRB	_	8	advmod	_	_
4	seamless	_	JJ	JJ	_	5	amod	_	_
5	travel	_	NN	NN	_	8	nsubj	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	Midway	_	NNP	NNP	_	6	pobj	_	_
8	is	_	VBZ	VBZ	_	2	ccomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	Easy	_	NNP	NNP	_	3	nn	_	_
2	security	_	NN	NN	_	3	nn	_	_
3	lines	_	NNS	NNS	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	restaurant	_	NN	NN	_	6	nn	_	_
6	variety	_	NN	NN	_	3	appos	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	friendly	_	JJ	JJ	_	9	amod	_	_
9	folks	_	NNS	NNS	_	6	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Definitely	_	VB	VB	_	0	root	_	_
2	worth	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	5	det	_	_
4	extra	_	JJ	JJ	_	5	amod	_	_
5	time	_	NN	NN	_	2	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

