1	Hotel	_	NNP	NNP	_	4	nsubj	_	_
2	does	_	VBZ	VBZ	_	4	aux	_	_
3	not	_	RB	RB	_	4	neg	_	_
4	remember	_	VB	VB	_	0	root	_	_
5	room	_	NN	NN	_	6	nn	_	_
6	preference	_	NN	NN	_	4	dobj	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	seems	_	VBZ	VBZ	_	4	conj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	try	_	VB	VB	_	8	xcomp	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	give	_	VB	VB	_	10	xcomp	_	_
13	unusual	_	JJ	JJ	_	14	amod	_	_
14	rooms	_	NNS	NNS	_	12	dobj	_	_
15	such	_	JJ	JJ	_	16	mwe	_	_
16	as	_	IN	IN	_	14	prep	_	_
17	disability	_	NN	NN	_	18	nn	_	_
18	room	_	NN	NN	_	16	pobj	_	_
19	or	_	CC	CC	_	18	cc	_	_
20	a	_	DT	DT	_	21	det	_	_
21	closet	_	NN	NN	_	18	conj	_	_
22	.	_	.	.	_	0	erased	_	_

