1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	no	_	DT	DT	_	5	neg	_	_
4	hotter	_	NN	NN	_	5	nn	_	_
5	roof	_	NN	NN	_	2	nsubj	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	city	_	NN	NN	_	6	pobj	_	_
9	!	_	.	.	_	0	erased	_	_

1	Love	_	NN	NN	_	0	root	_	_
2	the	_	DT	DT	_	3	det	_	_
3	ambiance	_	NN	NN	_	1	dep	_	_
4	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	went	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	2	prep	_	_
4	the	_	DT	DT	_	7	det	_	_
5	selfless	_	JJ	JJ	_	7	amod	_	_
6	launch	_	NN	NN	_	7	nn	_	_
7	party	_	NN	NN	_	3	pobj	_	_
8	here	_	RB	RB	_	9	advmod	_	_
9	Thursday	_	NNP	NNP	_	3	tmod	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	was	_	VBD	VBD	_	13	cop	_	_
12	super	_	RB	RB	_	13	advmod	_	_
13	impressed	_	JJ	JJ	_	2	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	special	_	JJ	JJ	_	1	amod	_	_
4	ordered	_	VBD	VBD	_	0	root	_	_
5	flavored	_	JJ	JJ	_	7	amod	_	_
6	cotton	_	NN	NN	_	7	nn	_	_
7	candies	_	NNS	NNS	_	4	dobj	_	_
8	including	_	VBG	VBG	_	7	prep	_	_
9	watermelon	_	JJ	JJ	_	13	amod	_	_
10	Tabasco	_	NNP	NNP	_	13	nn	_	_
11	flavored	_	JJ	JJ	_	13	amod	_	_
12	cotton	_	NN	NN	_	13	nn	_	_
13	candy	_	NN	NN	_	8	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Color	_	NNP	NNP	_	0	root	_	_
2	me	_	PRP	PRP	_	1	dep	_	_
3	impressed	_	JJ	JJ	_	4	amod	_	_
4	!!	_	JJ	JJ	_	2	amod	_	_

