1	My	_	PRP$	PRP$	_	3	poss	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	experience	_	NN	NN	_	0	root	_	_
4	with	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	Waldrof-Astoria	_	JJ	JJ	_	7	amod	_	_
7	hotel	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	Everything	_	NNP	NNP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	just	_	RB	RB	_	5	advmod	_	_
4	simply	_	RB	RB	_	5	advmod	_	_
5	amazing	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	From	_	IN	IN	_	0	root	_	_
2	the	_	DT	DT	_	4	det	_	_
3	smooth	_	JJ	JJ	_	4	amod	_	_
4	check-in	_	NN	NN	_	1	pobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	to	_	TO	TO	_	4	conj	_	_
7	the	_	DT	DT	_	8	det	_	_
8	friendliness	_	NN	NN	_	6	pobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	concierge	_	NN	NN	_	9	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	and	_	CC	CC	_	4	cc	_	_
14	the	_	DT	DT	_	16	det	_	_
15	wonderful	_	JJ	JJ	_	16	amod	_	_
16	room	_	NN	NN	_	4	conj	_	_
17	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	an	_	DT	DT	_	4	det	_	_
4	experience	_	NN	NN	_	0	root	_	_
5	I	_	PRP	PRP	_	9	nsubj	_	_
6	wo	_	MD	MD	_	9	aux	_	_
7	n't	_	RB	RB	_	9	neg	_	_
8	soon	_	RB	RB	_	9	advmod	_	_
9	forgot	_	VB	VB	_	4	rcmod	_	_
10	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	5	prep	_	_
2	ONLY	_	NNP	NNP	_	1	pobj	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	could	_	MD	MD	_	5	aux	_	_
5	afford	_	VB	VB	_	0	root	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	stay	_	VB	VB	_	5	xcomp	_	_
8	like	_	IN	IN	_	7	prep	_	_
9	this	_	DT	DT	_	8	pobj	_	_
10	more	_	RBR	RBR	_	11	advmod	_	_
11	often	_	RB	RB	_	7	advmod	_	_
12	!	_	.	.	_	0	erased	_	_

