1	Its	_	PRP$	PRP$	_	24	poss	_	_
2	very	_	RB	RB	_	4	advmod	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	hard	_	JJ	JJ	_	24	amod	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	any	_	DT	DT	_	7	det	_	_
7	airline	_	NN	NN	_	5	pobj	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	beat	_	VB	VB	_	7	vmod	_	_
10	Southwest	_	NNP	NNP	_	9	dobj	_	_
11	,	_	,	,	_	0	erased	_	_
12	in	_	IN	IN	_	10	prep	_	_
13	any	_	DT	DT	_	14	det	_	_
14	category	_	NN	NN	_	12	pobj	_	_
15	:	_	:	:	_	0	erased	_	_
16	2	_	CD	CD	_	18	num	_	_
17	Free	_	JJ	JJ	_	18	amod	_	_
18	Bags	_	NNS	NNS	_	14	dep	_	_
19	checked	_	VBN	VBN	_	18	vmod	_	_
20	on	_	IN	IN	_	19	prep	_	_
21	every	_	DT	DT	_	22	det	_	_
22	flight	_	NN	NN	_	20	pobj	_	_
23	Frequent	_	JJ	JJ	_	24	amod	_	_
24	flyer	_	NN	NN	_	0	root	_	_
25	points	_	NNS	NNS	_	24	dep	_	_
26	for	_	IN	IN	_	25	prep	_	_
27	travel	_	NN	NN	_	33	amod	_	_
28	with	_	IN	IN	_	27	prep	_	_
29	no	_	DT	DT	_	30	neg	_	_
30	restrictions	_	NNS	NNS	_	28	pobj	_	_
31	Free	_	JJ	JJ	_	33	amod	_	_
32	soft	_	JJ	JJ	_	33	amod	_	_
33	drinks	_	NNS	NNS	_	26	pobj	_	_
34	and	_	CC	CC	_	33	cc	_	_
35	coffee	_	NN	NN	_	39	nn	_	_
36	Free	_	JJ	JJ	_	37	amod	_	_
37	snacks	_	JJ	JJ	_	39	amod	_	_
38	Flight	_	NNP	NNP	_	39	nn	_	_
39	crew	_	NN	NN	_	33	conj	_	_
40	that	_	WDT	WDT	_	42	nsubj	_	_
41	actually	_	RB	RB	_	42	advmod	_	_
42	have	_	VBP	VBP	_	33	dep	_	_
43	a	_	DT	DT	_	44	det	_	_
44	sense	_	NN	NN	_	42	dobj	_	_
45	of	_	IN	IN	_	44	prep	_	_
46	humor	_	NN	NN	_	45	pobj	_	_
47	!	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	call	_	VB	VB	_	0	root	_	_
5	it	_	PRP	PRP	_	4	iobj	_	_
6	the	_	DT	DT	_	8	det	_	_
7	LUV	_	NNP	NNP	_	8	nn	_	_
8	airline	_	NN	NN	_	4	dobj	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	nothing	_	NN	NN	_	9	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	LUV	_	VBP	VBP	_	0	root	_	_
3	this	_	DT	DT	_	4	det	_	_
4	airline	_	NN	NN	_	2	dobj	_	_
5	,	_	,	,	_	0	erased	_	_
6	as	_	IN	IN	_	4	prep	_	_
7	A-List	_	NNP	NNP	_	9	nn	_	_
8	Preferred	_	NNP	NNP	_	9	nn	_	_
9	member	_	NN	NN	_	6	pobj	_	_
10	and	_	CC	CC	_	4	cc	_	_
11	a	_	DT	DT	_	14	det	_	_
12	Companion	_	NNP	NNP	_	14	nn	_	_
13	Pass	_	NN	NN	_	14	nn	_	_
14	holder	_	NN	NN	_	4	conj	_	_
15	for	_	IN	IN	_	14	prep	_	_
16	all	_	DT	DT	_	15	pobj	_	_
17	of	_	IN	IN	_	16	prep	_	_
18	2015	_	NNP	NNP	_	19	nn	_	_
19	Wahoo	_	NNP	NNP	_	17	pobj	_	_
20	!	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	really	_	RB	RB	_	5	advmod	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	as	_	RB	RB	_	5	advmod	_	_
5	good	_	JJ	JJ	_	0	root	_	_
6	as	_	IN	IN	_	8	mark	_	_
7	it	_	PRP	PRP	_	8	nsubj	_	_
8	gets	_	VBZ	VBZ	_	5	advcl	_	_
9	.	_	.	.	_	0	erased	_	_

