1	My	_	PRP$	PRP$	_	2	poss	_	_
2	boyfriend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	6	pobj	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	one	_	CD	CD	_	9	pobj	_	_
11	night	_	NN	NN	_	5	tmod	_	_
12	and	_	CC	CC	_	5	cc	_	_
13	had	_	VBD	VBD	_	5	conj	_	_
14	a	_	DT	DT	_	16	det	_	_
15	great	_	JJ	JJ	_	16	amod	_	_
16	experience	_	NN	NN	_	13	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	Chicago	_	NNP	NNP	_	3	pobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	occasionally	_	RB	RB	_	7	advmod	_	_
7	enjoy	_	VBP	VBP	_	2	conj	_	_
8	getting	_	VBG	VBG	_	7	xcomp	_	_
9	away	_	RP	RP	_	8	prt	_	_
10	for	_	IN	IN	_	8	prep	_	_
11	a	_	DT	DT	_	12	det	_	_
12	night	_	NN	NN	_	10	pobj	_	_
13	or	_	CC	CC	_	12	cc	_	_
14	two	_	CD	CD	_	12	conj	_	_
15	in	_	IN	IN	_	8	prep	_	_
16	a	_	DT	DT	_	18	det	_	_
17	hotel	_	NN	NN	_	18	nn	_	_
18	downtown	_	NN	NN	_	15	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	consider	_	VB	VB	_	0	root	_	_
4	the	_	DT	DT	_	6	det	_	_
5	Avenue	_	NNP	NNP	_	6	nn	_	_
6	Hotel	_	NNP	NNP	_	10	nsubj	_	_
7	a	_	DT	DT	_	10	det	_	_
8	chique	_	JJ	JJ	_	10	amod	_	_
9	boutique	_	NN	NN	_	10	nn	_	_
10	hotel	_	NN	NN	_	3	xcomp	_	_
11	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	modern	_	JJ	JJ	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	yet	_	RB	RB	_	8	advmod	_	_
7	extremely	_	RB	RB	_	8	advmod	_	_
8	comfortable	_	JJ	JJ	_	3	conj	_	_
9	not	_	RB	RB	_	11	neg	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	mention	_	VB	VB	_	3	ccomp	_	_
12	in	_	IN	IN	_	11	prep	_	_
13	an	_	DT	DT	_	15	det	_	_
14	excellent	_	JJ	JJ	_	15	amod	_	_
15	location	_	NN	NN	_	12	pobj	_	_
16	that	_	WDT	WDT	_	18	nsubj	_	_
17	is	_	VBZ	VBZ	_	18	aux	_	_
18	walking	_	VBG	VBG	_	15	rcmod	_	_
19	distance	_	NN	NN	_	18	dobj	_	_
20	to	_	TO	TO	_	18	prep	_	_
21	everything	_	NN	NN	_	20	pobj	_	_
22	important	_	JJ	JJ	_	11	acomp	_	_
23	like	_	IN	IN	_	28	mark	_	_
24	shopping	_	NN	NN	_	28	nsubj	_	_
25	,	_	,	,	_	0	erased	_	_
26	restaurants	_	NNS	NNS	_	24	appos	_	_
27	,	_	,	,	_	0	erased	_	_
28	bars	_	VBZ	VBZ	_	3	advcl	_	_
29	etc.	_	FW	FW	_	28	dobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
