1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	30	dep	_	_
3	a	_	DT	DT	_	6	det	_	_
4	great	_	JJ	JJ	_	6	amod	_	_
5	groupon	_	NN	NN	_	6	nn	_	_
6	deal	_	NN	NN	_	2	nsubj	_	_
7	on	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	14	det	_	_
9	``	_	``	``	_	0	erased	_	_
10	Segways	_	NNP	NNP	_	14	dep	_	_
11	at	_	IN	IN	_	10	prep	_	_
12	Sunset	_	NNP	NNP	_	11	pobj	_	_
13	''	_	''	''	_	0	erased	_	_
14	tour	_	NN	NN	_	7	pobj	_	_
15	so	_	IN	IN	_	2	dep	_	_
16	my	_	PRP$	PRP$	_	17	poss	_	_
17	boyfriend	_	NN	NN	_	20	nsubj	_	_
18	and	_	CC	CC	_	17	cc	_	_
19	I	_	PRP	PRP	_	17	conj	_	_
20	decided	_	VBD	VBD	_	2	dep	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	do	_	VB	VB	_	20	xcomp	_	_
23	it	_	PRP	PRP	_	22	dobj	_	_
24	and	_	CC	CC	_	2	cc	_	_
25	I	_	PRP	PRP	_	28	nsubj	_	_
26	'm	_	VBP	VBP	_	28	cop	_	_
27	so	_	RB	RB	_	28	advmod	_	_
28	happy	_	JJ	JJ	_	2	conj	_	_
29	we	_	PRP	PRP	_	30	nsubj	_	_
30	did	_	VBD	VBD	_	0	root	_	_
31	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	Joe	_	NNP	NNP	_	2	dobj	_	_
4	as	_	IN	IN	_	3	prep	_	_
5	our	_	PRP$	PRP$	_	6	poss	_	_
6	guide	_	NN	NN	_	4	pobj	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	he	_	PRP	PRP	_	10	nsubj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	great	_	JJ	JJ	_	2	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	had	_	VBD	VBD	_	3	aux	_	_
3	been	_	VBN	VBN	_	0	root	_	_
4	on	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	6	det	_	_
6	segway	_	NN	NN	_	4	pobj	_	_
7	before	_	RB	RB	_	10	advmod	_	_
8	so	_	IN	IN	_	10	mark	_	_
9	I	_	PRP	PRP	_	10	nsubj	_	_
10	went	_	VBD	VBD	_	3	advcl	_	_
11	last	_	RB	RB	_	10	advmod	_	_
12	but	_	CC	CC	_	3	cc	_	_
13	he	_	PRP	PRP	_	14	nsubj	_	_
14	did	_	VBD	VBD	_	3	conj	_	_
15	a	_	DT	DT	_	17	det	_	_
16	great	_	JJ	JJ	_	17	amod	_	_
17	job	_	NN	NN	_	14	dobj	_	_
18	on	_	IN	IN	_	14	prep	_	_
19	instructing	_	VBG	VBG	_	18	pcomp	_	_
20	people	_	NNS	NNS	_	19	dobj	_	_
21	how	_	WRB	WRB	_	23	advmod	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	ride	_	VB	VB	_	19	xcomp	_	_
24	.	_	.	.	_	0	erased	_	_

1	Once	_	IN	IN	_	4	mark	_	_
2	everyone	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	comfortable	_	JJ	JJ	_	10	advcl	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	segway	_	NN	NN	_	5	pobj	_	_
8	we	_	PRP	PRP	_	10	nsubj	_	_
9	were	_	VBD	VBD	_	10	cop	_	_
10	off	_	RP	RP	_	0	root	_	_
11	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	stopped	_	VBD	VBD	_	0	root	_	_
3	every	_	DT	DT	_	4	dep	_	_
4	once	_	RB	RB	_	2	advmod	_	_
5	in	_	IN	IN	_	2	prep	_	_
6	awhile	_	RB	RB	_	5	pcomp	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	stretch	_	VB	VB	_	2	xcomp	_	_
9	/	_	NNP	NNP	_	10	nsubj	_	_
10	take	_	VB	VB	_	8	ccomp	_	_
11	pictures	_	NNS	NNS	_	10	dobj	_	_
12	and	_	CC	CC	_	2	cc	_	_
13	he	_	PRP	PRP	_	14	nsubj	_	_
14	talked	_	VBD	VBD	_	2	conj	_	_
15	about	_	IN	IN	_	14	prep	_	_
16	really	_	RB	RB	_	17	advmod	_	_
17	interesting	_	JJ	JJ	_	19	amod	_	_
18	trivia/history	_	NN	NN	_	19	nn	_	_
19	tidbits	_	NNS	NNS	_	15	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	0	root	_	_
3	near	_	IN	IN	_	2	prep	_	_
4	Chicago	_	NNP	NNP	_	3	pobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	learned	_	VBD	VBD	_	2	conj	_	_
7	a	_	DT	DT	_	8	det	_	_
8	ton	_	NN	NN	_	6	dobj	_	_
9	about	_	IN	IN	_	6	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	city	_	NN	NN	_	9	pobj	_	_
12	!	_	.	.	_	0	erased	_	_

1	Overall	_	RB	RB	_	4	dep	_	_
2	a	_	DT	DT	_	4	det	_	_
3	great	_	JJ	JJ	_	4	amod	_	_
4	experience	_	NN	NN	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

