1	Wow	_	UH	UH	_	6	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	Only	_	JJ	JJ	_	5	amod	_	_
4	tour	_	NN	NN	_	5	nn	_	_
5	I	_	NN	NN	_	6	nsubj	_	_
6	needed	_	VBD	VBD	_	0	root	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	take	_	VB	VB	_	6	xcomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	did	_	VBD	VBD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	realize	_	VB	VB	_	0	root	_	_
5	that	_	IN	IN	_	8	mark	_	_
6	we	_	PRP	PRP	_	8	nsubj	_	_
7	were	_	VBD	VBD	_	8	aux	_	_
8	going	_	VBG	VBG	_	4	ccomp	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	have	_	VB	VB	_	8	xcomp	_	_
11	a	_	DT	DT	_	13	det	_	_
12	little	_	JJ	JJ	_	13	amod	_	_
13	bit	_	NN	NN	_	10	dobj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	everything	_	NN	NN	_	14	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	Neighborhoods	_	NNS	NNS	_	10	nsubj	_	_
2	,	_	,	,	_	0	erased	_	_
3	Buildings	_	NNS	NNS	_	1	appos	_	_
4	,	_	,	,	_	0	erased	_	_
5	History	_	NN	NN	_	1	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	Chicago	_	NNP	NNP	_	8	nn	_	_
8	Hotels	_	NNPS	NNPS	_	1	appos	_	_
9	,	_	,	,	_	0	erased	_	_
10	Pubs	_	VBZ	VBZ	_	0	root	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	on	_	RP	RP	_	10	conj	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	on	_	RP	RP	_	12	conj	_	_
15	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	Hollywood	_	NNP	NNP	_	4	nn	_	_
3	movie	_	NN	NN	_	4	nn	_	_
4	clips	_	NNS	NNS	_	9	nsubj	_	_
5	we	_	PRP	PRP	_	6	nsubj	_	_
6	saw	_	VBD	VBD	_	4	rcmod	_	_
7	were	_	VBD	VBD	_	9	cop	_	_
8	also	_	RB	RB	_	9	advmod	_	_
9	awesome	_	JJ	JJ	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	Pat	_	NNP	NNP	_	6	nsubj	_	_
2	our	_	PRP$	PRP$	_	4	poss	_	_
3	tour	_	NN	NN	_	4	nn	_	_
4	guide	_	NN	NN	_	1	dep	_	_
5	was	_	VBD	VBD	_	6	cop	_	_
6	great	_	JJ	JJ	_	0	root	_	_
7	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	really	_	RB	RB	_	5	advmod	_	_
3	do	_	VBP	VBP	_	5	aux	_	_
4	n't	_	RB	RB	_	5	neg	_	_
5	think	_	VB	VB	_	0	root	_	_
6	that	_	IN	IN	_	12	mark	_	_
7	the	_	DT	DT	_	8	det	_	_
8	website	_	NN	NN	_	12	nsubj	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	this	_	DT	DT	_	11	det	_	_
11	tour	_	NN	NN	_	9	pobj	_	_
12	does	_	VBZ	VBZ	_	5	ccomp	_	_
13	it	_	PRP	PRP	_	14	nsubj	_	_
14	justice	_	NN	NN	_	12	xcomp	_	_
15	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubjpass	_	_
2	definetly	_	RB	RB	_	5	advmod	_	_
3	should	_	MD	MD	_	5	aux	_	_
4	be	_	VB	VB	_	5	auxpass	_	_
5	called	_	VBN	VBN	_	0	root	_	_
6	Hollywood	_	NNP	NNP	_	5	dobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	more	_	JJR	JJR	_	6	conj	_	_
9	...	_	:	:	_	0	erased	_	_

1	Only	_	RB	RB	_	2	advmod	_	_
2	negative	_	JJ	JJ	_	3	nsubj	_	_
3	was	_	VBD	VBD	_	0	root	_	_
4	that	_	IN	IN	_	9	mark	_	_
5	it	_	PRP	PRP	_	9	nsubj	_	_
6	was	_	VBD	VBD	_	9	cop	_	_
7	a	_	DT	DT	_	8	det	_	_
8	little	_	RB	RB	_	9	npadvmod	_	_
9	long	_	JJ	JJ	_	3	ccomp	_	_
10	however	_	RB	RB	_	9	advmod	_	_
11	the	_	DT	DT	_	12	det	_	_
12	day	_	NN	NN	_	9	dep	_	_
13	I	_	PRP	PRP	_	14	nsubj	_	_
14	went	_	VBD	VBD	_	12	rcmod	_	_
15	the	_	DT	DT	_	16	det	_	_
16	traffic	_	NN	NN	_	18	nsubj	_	_
17	was	_	VBD	VBD	_	18	cop	_	_
18	bad	_	JJ	JJ	_	14	ccomp	_	_
19	.	_	.	.	_	0	erased	_	_

1	A	_	NNP	NNP	_	5	nn	_	_
2	+	_	NNP	NNP	_	5	nn	_	_
3	+	_	NNP	NNP	_	5	nn	_	_
4	+	_	NNP	NNP	_	5	nn	_	_
5	+	_	NNP	NNP	_	0	root	_	_

