1	5	_	CD	CD	_	2	num	_	_
2	star	_	NN	NN	_	0	root	_	_
3	service	_	NN	NN	_	2	dep	_	_
4	.	_	.	.	_	0	erased	_	_

1	Free	_	NNP	NNP	_	2	nsubj	_	_
2	drinks	_	VBZ	VBZ	_	0	root	_	_
3	upon	_	IN	IN	_	2	prep	_	_
4	arrival	_	NN	NN	_	3	pobj	_	_
5	because	_	IN	IN	_	10	mark	_	_
6	our	_	PRP$	PRP$	_	7	poss	_	_
7	room	_	NN	NN	_	10	nsubj	_	_
8	was	_	VBD	VBD	_	10	cop	_	_
9	n't	_	RB	RB	_	10	neg	_	_
10	ready	_	JJ	JJ	_	2	advcl	_	_
11	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	attempted	_	VBD	VBD	_	0	root	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	tip	_	VB	VB	_	2	xcomp	_	_
5	our	_	PRP$	PRP$	_	6	poss	_	_
6	valet	_	NN	NN	_	4	dobj	_	_
7	but	_	CC	CC	_	2	cc	_	_
8	he	_	PRP	PRP	_	9	nsubj	_	_
9	told	_	VBD	VBD	_	2	conj	_	_
10	us	_	PRP	PRP	_	9	dobj	_	_
11	that	_	IN	IN	_	16	mark	_	_
12	``	_	``	``	_	0	erased	_	_
13	tip	_	NN	NN	_	16	nsubj	_	_
14	is	_	VBZ	VBZ	_	16	cop	_	_
15	n't	_	RB	RB	_	16	neg	_	_
16	necessary	_	JJ	JJ	_	9	ccomp	_	_
17	''	_	''	''	_	0	erased	_	_
18	,	_	,	,	_	0	erased	_	_
19	which	_	WDT	WDT	_	22	nsubj	_	_
20	was	_	VBD	VBD	_	22	cop	_	_
21	extremely	_	RB	RB	_	22	advmod	_	_
22	professional	_	NN	NN	_	16	ccomp	_	_
23	for	_	IN	IN	_	22	prep	_	_
24	a	_	DT	DT	_	25	det	_	_
25	hotel	_	NN	NN	_	23	pobj	_	_
26	of	_	IN	IN	_	25	prep	_	_
27	this	_	DT	DT	_	28	det	_	_
28	caliber	_	NN	NN	_	26	pobj	_	_
29	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	brunch	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	delectable	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	steak	_	NN	NN	_	7	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	eggs	_	NNS	NNS	_	2	conj	_	_
5	were	_	VBD	VBD	_	7	cop	_	_
6	the	_	DT	DT	_	7	det	_	_
7	best	_	JJS	JJS	_	0	root	_	_
8	I	_	PRP	PRP	_	11	nsubj	_	_
9	've	_	VBP	VBP	_	11	aux	_	_
10	ever	_	RB	RB	_	11	advmod	_	_
11	had	_	VBN	VBN	_	7	rcmod	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	suite	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	fantastic	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Beautiful	_	JJ	JJ	_	2	amod	_	_
2	views	_	NNS	NNS	_	0	root	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	6	det	_	_
5	John	_	NNP	NNP	_	6	nn	_	_
