1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	6	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	new	_	JJ	JJ	_	0	root	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	the	_	DT	DT	_	9	det	_	_
9	city	_	NN	NN	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	10	pobj	_	_
12	and	_	CC	CC	_	6	cc	_	_
13	this	_	DT	DT	_	14	det	_	_
14	tour	_	NN	NN	_	15	nsubj	_	_
15	was	_	VBD	VBD	_	6	conj	_	_
16	exactly	_	RB	RB	_	17	advmod	_	_
17	what	_	WP	WP	_	19	dep	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	needed	_	VBD	VBD	_	15	ccomp	_	_
20	.	_	.	.	_	0	erased	_	_

1	Its	_	VB	VB	_	0	root	_	_
2	a	_	DT	DT	_	3	det	_	_
3	view	_	NN	NN	_	1	dobj	_	_
4	from	_	IN	IN	_	1	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	locals	_	NNS	NNS	_	7	nn	_	_
7	perspective	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubjpass	_	_
2	we	_	PRP	PRP	_	4	nsubjpass	_	_
3	're	_	VBP	VBP	_	4	auxpass	_	_
4	led	_	VBN	VBN	_	0	root	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	7	det	_	_
7	journey	_	NN	NN	_	5	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	mythic	_	JJ	JJ	_	10	amod	_	_
10	proportions	_	NNS	NNS	_	8	pobj	_	_
11	by	_	IN	IN	_	4	prep	_	_
12	Amanda	_	NNP	NNP	_	11	pobj	_	_
13	who	_	WP	WP	_	17	nsubj	_	_
14	is	_	VBZ	VBZ	_	17	cop	_	_
15	both	_	PDT	PDT	_	17	predet	_	_
16	the	_	DT	DT	_	17	det	_	_
17	owner	_	NN	NN	_	12	rcmod	_	_
18	of	_	IN	IN	_	17	prep	_	_
19	the	_	DT	DT	_	20	det	_	_
20	company	_	NN	NN	_	18	pobj	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	a	_	DT	DT	_	25	det	_	_
23	Chicago	_	NNP	NNP	_	25	nn	_	_
24	lore	_	NN	NN	_	25	nn	_	_
25	master	_	NN	NN	_	20	conj	_	_
