1	I	_	PRP	PRP	_	2	nsubj	_	_
2	met	_	VBD	VBD	_	0	root	_	_
3	my	_	PRP$	PRP$	_	4	poss	_	_
4	fiance	_	NN	NN	_	2	dobj	_	_
5	one	_	CD	CD	_	6	num	_	_
6	night	_	NN	NN	_	2	tmod	_	_
7	at	_	IN	IN	_	2	prep	_	_
8	230am	_	CD	CD	_	7	pobj	_	_
9	at	_	IN	IN	_	2	prep	_	_
10	this	_	DT	DT	_	11	det	_	_
11	stop	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	So	_	RB	RB	_	6	dep	_	_
2	its	_	PRP$	PRP$	_	6	poss	_	_
3	a	_	DT	DT	_	6	det	_	_
4	pretty	_	RB	RB	_	5	advmod	_	_
5	good	_	JJ	JJ	_	6	amod	_	_
6	place	_	NN	NN	_	0	root	_	_

