1	There	_	EX	EX	_	2	expl	_	_
2	need	_	VBP	VBP	_	0	root	_	_
3	to	_	TO	TO	_	6	aux	_	_
4	be	_	VB	VB	_	6	cop	_	_
5	more	_	JJR	JJR	_	6	amod	_	_
6	stars	_	NNS	NNS	_	2	xcomp	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	click	_	VB	VB	_	6	vmod	_	_
9	on	_	RP	RP	_	8	prt	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	give	_	VB	VB	_	8	xcomp	_	_
12	an	_	DT	DT	_	14	det	_	_
13	accurate	_	JJ	JJ	_	14	amod	_	_
14	review	_	NN	NN	_	11	dobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	this	_	DT	DT	_	17	det	_	_
17	tour	_	NN	NN	_	15	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	As	_	IN	IN	_	10	prep	_	_
2	a	_	DT	DT	_	3	det	_	_
3	Concierge	_	NN	NN	_	1	pobj	_	_
4	here	_	RB	RB	_	5	advmod	_	_
5	in	_	IN	IN	_	3	prep	_	_
6	Chicago	_	NNP	NNP	_	5	pobj	_	_
7	,	_	,	,	_	0	erased	_	_
8	I	_	PRP	PRP	_	10	nsubj	_	_
9	have	_	VBP	VBP	_	10	aux	_	_
10	been	_	VBN	VBN	_	0	root	_	_
11	on	_	IN	IN	_	10	prep	_	_
12	many	_	JJ	JJ	_	13	amod	_	_
13	tours	_	NNS	NNS	_	11	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	10	cc	_	_
16	nothing	_	NN	NN	_	19	nsubj	_	_
17	at	_	IN	IN	_	19	advmod	_	_
18	all	_	DT	DT	_	17	pobj	_	_
19	like	_	VBP	VBP	_	10	conj	_	_
20	this	_	DT	DT	_	19	dobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	INCREDIBLE	_	NNP	NNP	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_
5	I	_	PRP	PRP	_	8	nsubj	_	_
6	would	_	MD	MD	_	8	aux	_	_
7	absolutely	_	RB	RB	_	8	advmod	_	_
8	recommend	_	VB	VB	_	3	rcmod	_	_
9	this	_	DT	DT	_	8	dobj	_	_
10	as	_	IN	IN	_	13	mark	_	_
11	a	_	SYM	SYM	_	13	nsubj	_	_
12	must	_	MD	MD	_	13	aux	_	_
13	do	_	VB	VB	_	8	advcl	_	_
14	to	_	TO	TO	_	13	prep	_	_
15	locals	_	NNS	NNS	_	14	pobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	tourists	_	NNS	NNS	_	15	conj	_	_
18	because	_	IN	IN	_	20	mark	_	_
19	you	_	PRP	PRP	_	20	nsubj	_	_
20	get	_	VBP	VBP	_	13	advcl	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	see	_	VB	VB	_	20	xcomp	_	_
23	so	_	RB	RB	_	24	advmod	_	_
24	much	_	RB	RB	_	22	advmod	_	_
25	of	_	IN	IN	_	22	prep	_	_
26	the	_	DT	DT	_	27	det	_	_
27	city	_	NN	NN	_	25	pobj	_	_
28	while	_	IN	IN	_	31	mark	_	_
29	simultaneously	_	RB	RB	_	31	advmod	_	_
30	being	_	VBG	VBG	_	31	auxpass	_	_
31	entertained	_	VBN	VBN	_	22	advcl	_	_
32	by	_	IN	IN	_	31	prep	_	_
33	talented	_	JJ	JJ	_	35	amod	_	_
34	,	_	,	,	_	0	erased	_	_
35	knowledgeable	_	JJ	JJ	_	32	pobj	_	_
36	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
37	and	_	CC	CC	_	38	cc	_	_
38	hilarious	_	JJ	JJ	_	35	dep	_	_
39	!	_	.	.	_	0	erased	_	_
40	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_

1	tour	_	VB	VB	_	0	root	_	_
2	guides	_	NNS	NNS	_	1	dobj	_	_
3	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	gangster	_	NN	NN	_	3	nn	_	_
3	knowledge	_	NN	NN	_	8	nsubj	_	_
4	that	_	WDT	WDT	_	6	nsubjpass	_	_
5	was	_	VBD	VBD	_	6	auxpass	_	_
6	shared	_	VBN	VBN	_	3	rcmod	_	_
7	was	_	VBD	VBD	_	8	cop	_	_
8	fascinating	_	JJ	JJ	_	0	root	_	_
9	,	_	,	,	_	0	erased	_	_
10	it	_	PRP	PRP	_	12	nsubj	_	_
11	was	_	VBD	VBD	_	12	cop	_	_
12	musical	_	NN	NN	_	8	ccomp	_	_
13	,	_	,	,	_	0	erased	_	_
14	it	_	PRP	PRP	_	16	nsubj	_	_
15	was	_	VBD	VBD	_	16	cop	_	_
16	interactive	_	JJ	JJ	_	8	ccomp	_	_
17	,	_	,	,	_	0	erased	_	_
18	the	_	DT	DT	_	21	det	_	_
19	two	_	CD	CD	_	21	num	_	_
20	tour	_	NN	NN	_	21	nn	_	_
21	guides	_	NNS	NNS	_	22	nsubj	_	_
22	switched	_	VBD	VBD	_	8	conj	_	_
23	it	_	PRP	PRP	_	22	dobj	_	_
24	up	_	RB	RB	_	25	advmod	_	_
25	so	_	RB	RB	_	22	advmod	_	_
26	you	_	PRP	PRP	_	30	nsubj	_	_
27	could	_	MD	MD	_	30	aux	_	_
28	n't	_	RB	RB	_	30	neg	_	_
29	get	_	VB	VB	_	30	dep	_	_
30	bored	_	JJ	JJ	_	25	dep	_	_
31	and	_	CC	CC	_	8	cc	_	_
32	you	_	PRP	PRP	_	33	nsubj	_	_
33	leave	_	VBP	VBP	_	8	conj	_	_
34	one	_	CD	CD	_	33	dobj	_	_
35	of	_	IN	IN	_	34	prep	_	_
36	the	_	DT	DT	_	40	det	_	_
37	most	_	RBS	RBS	_	38	advmod	_	_
38	awesome	_	JJ	JJ	_	40	amod	_	_
39	tour	_	NN	NN	_	40	nn	_	_
40	buses	_	NNS	NNS	_	35	pobj	_	_
41	in	_	IN	IN	_	40	prep	_	_
42	a	_	DT	DT	_	44	det	_	_
43	great	_	JJ	JJ	_	44	amod	_	_
44	mood	_	NN	NN	_	41	pobj	_	_
45	and	_	CC	CC	_	40	cc	_	_
46	full	_	JJ	JJ	_	40	conj	_	_
47	of	_	IN	IN	_	46	prep	_	_
48	new	_	JJ	JJ	_	49	amod	_	_
49	fun-facts	_	NNS	NNS	_	47	pobj	_	_
50	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	nsubj	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	not	_	RB	RB	_	2	neg	_	_
4	to	_	TO	TO	_	6	aux	_	_
5	be	_	VB	VB	_	6	auxpass	_	_
6	missed	_	VBN	VBN	_	2	xcomp	_	_
7	!	_	.	.	_	0	erased	_	_

