1	My	_	PRP$	PRP$	_	2	poss	_	_
2	family	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	while	_	IN	IN	_	10	mark	_	_
8	we	_	PRP	PRP	_	10	nsubj	_	_
9	were	_	VBD	VBD	_	10	aux	_	_
10	visiting	_	VBG	VBG	_	5	advcl	_	_
11	Chicago	_	NNP	NNP	_	10	dobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	perfect	_	JJ	JJ	_	5	amod	_	_
5	location	_	NN	NN	_	0	root	_	_
6	to	_	TO	TO	_	12	prep	_	_
7	many	_	DT	DT	_	6	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	things	_	NNS	NNS	_	8	pobj	_	_
11	we	_	PRP	PRP	_	12	nsubj	_	_
12	wanted	_	VBD	VBD	_	5	rcmod	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	do	_	VB	VB	_	12	xcomp	_	_
15	and	_	CC	CC	_	12	cc	_	_
16	was	_	VBD	VBD	_	17	cop	_	_
17	easy	_	JJ	JJ	_	12	conj	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	get	_	VB	VB	_	17	xcomp	_	_
20	around	_	RP	RP	_	19	prt	_	_
21	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	2	nsubj	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	6	det	_	_
5	safe	_	JJ	JJ	_	6	amod	_	_
6	neighborhood	_	NN	NN	_	3	pobj	_	_
7	and	_	CC	CC	_	2	cc	_	_
8	was	_	VBD	VBD	_	10	cop	_	_
9	great	_	JJ	JJ	_	10	amod	_	_
10	accomodations	_	NNS	NNS	_	2	conj	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	friendly	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	went	_	VBD	VBD	_	4	conj	_	_
7	the	_	DT	DT	_	10	det	_	_
8	``	_	``	``	_	0	erased	_	_
9	extra	_	JJ	JJ	_	10	amod	_	_
10	mile	_	NN	NN	_	6	dobj	_	_
11	''	_	''	''	_	0	erased	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	make	_	VB	VB	_	6	vmod	_	_
14	sure	_	JJ	JJ	_	13	acomp	_	_
15	we	_	PRP	PRP	_	16	nsubj	_	_
16	had	_	VBD	VBD	_	14	ccomp	_	_
17	everything	_	NN	NN	_	16	dobj	_	_
18	we	_	PRP	PRP	_	19	nsubj	_	_
19	needed	_	VBD	VBD	_	17	rcmod	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	beds	_	NNS	NNS	_	4	nsubj	_	_
3	were	_	VBD	VBD	_	4	cop	_	_
4	comfortable	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	definitely	_	RB	RB	_	4	advmod	_	_
4	stay	_	VB	VB	_	0	root	_	_
5	here	_	RB	RB	_	4	advmod	_	_
6	again	_	RB	RB	_	4	advmod	_	_
7	.	_	.	.	_	0	erased	_	_

