1	Well	_	UH	UH	_	5	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	5	nsubj	_	_
4	always	_	RB	RB	_	5	advmod	_	_
5	think	_	VBP	VBP	_	0	root	_	_
6	it	_	PRP	PRP	_	8	nsubj	_	_
7	's	_	VBZ	VBZ	_	8	cop	_	_
8	important	_	JJ	JJ	_	5	ccomp	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	give	_	VB	VB	_	8	xcomp	_	_
11	credit	_	NN	NN	_	10	iobj	_	_
12	where/when	_	NN	NN	_	13	nn	_	_
13	deserved	_	NNS	NNS	_	10	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	My	_	PRP$	PRP$	_	2	poss	_	_
2	car	_	NN	NN	_	9	nsubj	_	_
3	was	_	VBD	VBD	_	9	cop	_	_
4	in	_	IN	IN	_	9	prep	_	_
5	an	_	DT	DT	_	6	det	_	_
6	accident	_	NN	NN	_	4	pobj	_	_
7	without	_	IN	IN	_	6	prep	_	_
8	me	_	PRP	PRP	_	7	pobj	_	_
9	present	_	JJ	JJ	_	0	root	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	I	_	PRP	PRP	_	13	nsubj	_	_
12	was	_	VBD	VBD	_	13	cop	_	_
13	distraught	_	JJ	JJ	_	9	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Geico	_	NNP	NNP	_	2	nsubj	_	_
2	made	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	reservation	_	NN	NN	_	2	dobj	_	_
5	with	_	IN	IN	_	2	prep	_	_
6	Enterprise	_	NNP	NNP	_	5	pobj	_	_
7	that	_	IN	IN	_	19	mark	_	_
8	same	_	JJ	JJ	_	9	amod	_	_
9	night	_	NN	NN	_	19	nsubjpass	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	the	_	DT	DT	_	13	det	_	_
12	following	_	JJ	JJ	_	13	amod	_	_
13	morning	_	NN	NN	_	9	conj	_	_
14	,	_	,	,	_	0	erased	_	_
15	at	_	IN	IN	_	19	prep	_	_
16	7:30	_	CD	CD	_	15	pobj	_	_
17	I	_	PRP	PRP	_	19	nsubjpass	_	_
18	was	_	VBD	VBD	_	19	auxpass	_	_
19	picked	_	VBN	VBN	_	2	ccomp	_	_
20	up	_	RP	RP	_	19	prt	_	_
21	by	_	IN	IN	_	19	prep	_	_
22	Ryan	_	NNP	NNP	_	21	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	Ryan	_	NNP	NNP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	extremely	_	RB	RB	_	4	advmod	_	_
4	professional	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	considerate	_	JJ	JJ	_	4	conj	_	_
7	and	_	CC	CC	_	4	cc	_	_
