1	Best	_	JJS	JJS	_	2	amod	_	_
2	whiskey	_	NN	NN	_	3	nsubj	_	_
3	bar	_	NN	NN	_	0	root	_	_
4	ever	_	RB	RB	_	3	advmod	_	_
5	.	_	.	.	_	0	erased	_	_

1	Josh	_	NNP	NNP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	good	_	JJ	JJ	_	7	ccomp	_	_
4	,	_	,	,	_	0	erased	_	_
5	Josh	_	NNP	NNP	_	7	nsubj	_	_
6	is	_	VBZ	VBZ	_	7	cop	_	_
7	GREAT	_	JJ	JJ	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

1	Front	_	NN	NN	_	2	nn	_	_
2	desk	_	NN	NN	_	9	nsubj	_	_
3	,	_	,	,	_	0	erased	_	_
4	concierge	_	NN	NN	_	2	appos	_	_
5	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
6	Mark	_	NNP	NNP	_	4	appos	_	_
7	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
8	,	_	,	,	_	0	erased	_	_
9	valet	_	VBP	VBP	_	0	root	_	_
10	...	_	:	:	_	0	erased	_	_
11	everyone	_	NN	NN	_	12	nsubj	_	_
12	set	_	VBD	VBD	_	9	parataxis	_	_
13	the	_	DT	DT	_	14	det	_	_
14	standard	_	NN	NN	_	12	dobj	_	_
15	for	_	IN	IN	_	12	prep	_	_
16	hospitality	_	NN	NN	_	15	pobj	_	_
17	!	_	.	.	_	0	erased	_	_

