1	Stayed	_	VBN	VBN	_	10	vmod	_	_
2	here	_	RB	RB	_	1	advmod	_	_
3	twice	_	RB	RB	_	1	advmod	_	_
4	,	_	,	,	_	0	erased	_	_
5	both	_	DT	DT	_	6	det	_	_
6	times	_	NNS	NNS	_	10	nsubj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	lake	_	NN	NN	_	7	pobj	_	_
10	view	_	VBP	VBP	_	0	root	_	_
11	king	_	NN	NN	_	12	nn	_	_
12	suite	_	NN	NN	_	10	dobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	outstanding	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	will	_	MD	MD	_	8	aux	_	_
7	gladly	_	RB	RB	_	8	advmod	_	_
8	take	_	VB	VB	_	4	conj	_	_
9	care	_	NN	NN	_	8	dobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	any	_	DT	DT	_	12	det	_	_
12	requests	_	NNS	NNS	_	10	pobj	_	_
13	;	_	:	:	_	0	erased	_	_
14	small	_	JJ	JJ	_	12	amod	_	_
15	or	_	CC	CC	_	14	cc	_	_
16	large	_	JJ	JJ	_	14	conj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	5	nsubj	_	_
3	are	_	VBP	VBP	_	5	cop	_	_
4	always	_	RB	RB	_	5	advmod	_	_
5	spotless	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	have	_	VBP	VBP	_	5	conj	_	_
8	everything	_	NN	NN	_	7	dobj	_	_
9	you	_	PRP	PRP	_	10	nsubj	_	_
10	need	_	VBP	VBP	_	8	rcmod	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	stay	_	VB	VB	_	0	root	_	_
4	here	_	RB	RB	_	3	advmod	_	_
5	every	_	DT	DT	_	6	det	_	_
6	time	_	NN	NN	_	3	dobj	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	visit	_	VBP	VBP	_	6	rcmod	_	_
9	Chicago	_	NNP	NNP	_	8	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

