1	Four	_	CD	CD	_	2	num	_	_
2	ladies	_	NNS	NNS	_	9	nsubj	_	_
3	from	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	UK	_	NNP	NNP	_	3	pobj	_	_
6	could	_	MD	MD	_	9	aux	_	_
7	not	_	RB	RB	_	9	neg	_	_
8	have	_	VB	VB	_	9	aux	_	_
9	asked	_	VBN	VBN	_	0	root	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	15	det	_	_
12	better	_	JJR	JJR	_	15	amod	_	_
13	round	_	NN	NN	_	15	nn	_	_
14	trip	_	NN	NN	_	15	nn	_	_
15	service	_	NN	NN	_	10	pobj	_	_
16	-	_	:	:	_	0	erased	_	_
17	met	_	VBN	VBN	_	9	dep	_	_
18	at	_	IN	IN	_	17	prep	_	_
19	the	_	DT	DT	_	21	det	_	_
20	O'Hare	_	NNP	NNP	_	21	nn	_	_
21	airport	_	NN	NN	_	18	pobj	_	_
22	after	_	IN	IN	_	17	prep	_	_
23	a	_	DT	DT	_	25	det	_	_
24	long	_	JJ	JJ	_	25	amod	_	_
25	flight	_	NN	NN	_	30	nsubj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	our	_	PRP$	PRP$	_	28	poss	_	_
28	heads	_	NNS	NNS	_	25	conj	_	_
29	not	_	RB	RB	_	30	neg	_	_
30	being	_	VBG	VBG	_	22	pcomp	_	_
31	on	_	IN	IN	_	30	prep	_	_
32	local	_	JJ	JJ	_	33	amod	_	_
33	time	_	NN	NN	_	31	pobj	_	_
34	which	_	WDT	WDT	_	35	nsubj	_	_
35	made	_	VBD	VBD	_	33	rcmod	_	_
36	our	_	PRP$	PRP$	_	37	poss	_	_
37	arrival	_	NN	NN	_	35	dobj	_	_
38	so	_	RB	RB	_	40	advmod	_	_
39	much	_	RB	RB	_	40	advmod	_	_
40	simpler	_	JJR	JJR	_	35	acomp	_	_
41	than	_	IN	IN	_	45	mark	_	_
42	it	_	PRP	PRP	_	45	nsubj	_	_
43	could	_	MD	MD	_	45	aux	_	_
44	have	_	VB	VB	_	45	aux	_	_
45	been	_	VBN	VBN	_	40	ccomp	_	_
46	and	_	CC	CC	_	40	cc	_	_
47	our	_	PRP$	PRP$	_	48	poss	_	_
48	driver	_	NN	NN	_	40	conj	_	_
49	offered	_	VBN	VBN	_	48	vmod	_	_
50	all	_	DT	DT	_	51	det	_	_
51	sorts	_	NNS	NNS	_	49	dobj	_	_
52	of	_	IN	IN	_	51	prep	_	_
53	info	_	NN	NN	_	52	pobj	_	_
54	and	_	CC	CC	_	53	cc	_	_
55	tips	_	NNS	NNS	_	53	conj	_	_
56	,	_	,	,	_	0	erased	_	_
57	much	_	RB	RB	_	58	advmod	_	_
58	appreciated	_	VBN	VBN	_	9	vmod	_	_
59	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	had	_	VBD	VBD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	wanted	_	VBN	VBN	_	0	root	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	leave	_	VB	VB	_	4	xcomp	_	_
7	after	_	IN	IN	_	6	prep	_	_
8	a	_	DT	DT	_	9	det	_	_
9	fab	_	NN	NN	_	7	pobj	_	_
10	week	_	NN	NN	_	6	tmod	_	_
11	but	_	CC	CC	_	4	cc	_	_
12	again	_	RB	RB	_	19	advmod	_	_
13	,	_	,	,	_	0	erased	_	_
14	the	_	DT	DT	_	16	det	_	_
15	journey	_	NN	NN	_	16	nn	_	_
16	pick	_	NN	NN	_	19	nsubj	_	_
17	up	_	RB	RB	_	19	advmod	_	_
18	was	_	VBD	VBD	_	19	cop	_	_
19	simple	_	JJ	JJ	_	4	conj	_	_
20	and	_	CC	CC	_	4	cc	_	_
21	our	_	PRP$	PRP$	_	22	poss	_	_
22	transition	_	NN	NN	_	23	nsubj	_	_
23	back	_	VBP	VBP	_	4	conj	_	_
24	to	_	TO	TO	_	25	aux	_	_
25	O'Hare	_	VB	VB	_	23	xcomp	_	_
26	wonderfully	_	RB	RB	_	27	advmod	_	_
27	straight	_	JJ	JJ	_	25	dobj	_	_
28	forward	_	RB	RB	_	25	advmod	_	_
29	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	2	amod	_	_
2	communication	_	NN	NN	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	fabulous	_	JJ	JJ	_	5	amod	_	_
5	cars	_	NNS	NNS	_	2	appos	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	an	_	DT	DT	_	11	det	_	_
8	all	_	RB	RB	_	9	advmod	_	_
9	round	_	RB	RB	_	10	advmod	_	_
10	fantastic	_	JJ	JJ	_	11	amod	_	_
11	service	_	NN	NN	_	5	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Happy	_	JJ	JJ	_	0	root	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	recommend	_	VB	VB	_	1	xcomp	_	_
4	on	_	RP	RP	_	3	prt	_	_
5	and	_	CC	CC	_	1	cc	_	_
6	would	_	MD	MD	_	8	aux	_	_
7	definitely	_	RB	RB	_	8	advmod	_	_
8	use	_	VB	VB	_	1	conj	_	_
9	again	_	RB	RB	_	8	advmod	_	_
10	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	1	dobj	_	_
3	!	_	.	.	_	0	erased	_	_

