1	My	_	PRP$	PRP$	_	2	poss	_	_
2	friend	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	went	_	VBD	VBD	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	had	_	VBD	VBD	_	5	conj	_	_
8	an	_	DT	DT	_	10	det	_	_
9	amazing	_	JJ	JJ	_	10	amod	_	_
10	time	_	NN	NN	_	7	dobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	guide	_	NN	NN	_	8	nsubj	_	_
4	,	_	,	,	_	0	erased	_	_
5	Jim	_	NNP	NNP	_	3	appos	_	_
6	,	_	,	,	_	0	erased	_	_
7	was	_	VBD	VBD	_	8	cop	_	_
8	super	_	JJ	JJ	_	0	root	_	_
9	knowledgable	_	JJ	JJ	_	8	dep	_	_
10	about	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	architects	_	NNS	NNS	_	10	pobj	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	buildings	_	NNS	NNS	_	12	conj	_	_
15	,	_	,	,	_	0	erased	_	_
16	passionate	_	JJ	JJ	_	9	conj	_	_
17	about	_	IN	IN	_	16	prep	_	_
18	Chicago	_	NNP	NNP	_	17	pobj	_	_
19	and	_	CC	CC	_	9	cc	_	_
20	providing	_	VBG	VBG	_	9	conj	_	_
21	a	_	DT	DT	_	23	det	_	_
22	memorable	_	JJ	JJ	_	23	amod	_	_
23	time	_	NN	NN	_	20	dobj	_	_
24	,	_	,	,	_	0	erased	_	_
25	and	_	CC	CC	_	9	cc	_	_
26	entertaining	_	JJ	JJ	_	9	conj	_	_
27	by	_	IN	IN	_	26	prep	_	_
28	cracking	_	VBG	VBG	_	27	pcomp	_	_
29	jokes	_	NNS	NNS	_	28	dobj	_	_
30	and	_	CC	CC	_	28	cc	_	_
31	being	_	VBG	VBG	_	32	auxpass	_	_
32	super	_	VBN	VBN	_	28	conj	_	_
33	upbeat	_	JJ	JJ	_	32	xcomp	_	_
34	and	_	CC	CC	_	33	cc	_	_
35	friendly	_	JJ	JJ	_	33	conj	_	_
36	.	_	.	.	_	0	erased	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	makes	_	VBZ	VBZ	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	experience	_	NN	NN	_	8	nsubj	_	_
5	totally	_	RB	RB	_	6	advmod	_	_
6	worth	_	JJ	JJ	_	4	amod	_	_
7	every	_	DT	DT	_	8	det	_	_
8	penny	_	NN	NN	_	2	xcomp	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	he	_	PRP	PRP	_	12	nsubj	_	_
12	gives	_	VBZ	VBZ	_	2	conj	_	_
13	you	_	PRP	PRP	_	12	iobj	_	_
14	super	_	JJ	JJ	_	16	amod	_	_
15	great	_	JJ	JJ	_	16	amod	_	_
16	recommendations	_	NNS	NNS	_	12	dobj	_	_
17	for	_	IN	IN	_	16	prep	_	_
18	things	_	NNS	NNS	_	17	pobj	_	_
19	to	_	TO	TO	_	20	aux	_	_
20	do	_	VB	VB	_	12	vmod	_	_
21	around	_	RP	RP	_	20	prt	_	_
22	the	_	DT	DT	_	23	det	_	_
23	city	_	NN	NN	_	20	dobj	_	_
24	...	_	:	:	_	0	erased	_	_
25	Ask	_	VB	VB	_	20	dep	_	_
26	what	_	WP	WP	_	28	det	_	_
27	time	_	NN	NN	_	28	nn	_	_
28	slots	_	NNS	NNS	_	31	dobj	_	_
29	he	_	PRP	PRP	_	31	nsubj	_	_
30	is	_	VBZ	VBZ	_	31	aux	_	_
31	covering	_	VBG	VBG	_	25	ccomp	_	_
32	if	_	IN	IN	_	34	mark	_	_
33	you	_	PRP	PRP	_	34	nsubj	_	_
34	go	_	VBP	VBP	_	31	advcl	_	_
35	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	always	_	RB	RB	_	3	advmod	_	_
3	felt	_	VBD	VBD	_	0	root	_	_
4	safe	_	JJ	JJ	_	3	acomp	_	_
5	during	_	IN	IN	_	3	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	entire	_	JJ	JJ	_	8	amod	_	_
8	voyage	_	NN	NN	_	5	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	3	cc	_	_
11	really	_	RB	RB	_	12	advmod	_	_
12	appreciated	_	VBD	VBD	_	3	conj	_	_
13	the	_	DT	DT	_	15	det	_	_
14	clear	_	JJ	JJ	_	15	amod	_	_
15	instructions	_	NNS	NNS	_	12	iobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	care	_	NN	NN	_	15	conj	_	_
18	the	_	DT	DT	_	19	det	_	_
19	crew	_	NN	NN	_	12	dobj	_	_
20	demonstrated	_	VBN	VBN	_	12	dep	_	_
21	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
2	also	_	RB	RB	_	3	advmod	_	_
3	had	_	VBD	VBD	_	0	root	_	_
4	a	_	DT	DT	_	6	det	_	_
5	small	_	JJ	JJ	_	6	amod	_	_
6	break	_	NN	NN	_	3	dobj	_	_
7	where	_	WRB	WRB	_	9	advmod	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	went	_	VBD	VBD	_	6	rcmod	_	_
10	down	_	RP	RP	_	9	prt	_	_
11	and	_	CC	CC	_	9	cc	_	_
12	grabbed	_	VBD	VBD	_	9	conj	_	_
13	a	_	DT	DT	_	14	det	_	_
14	drink	_	NN	NN	_	12	dobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	and	_	CC	CC	_	9	cc	_	_
17	were	_	VBD	VBD	_	19	cop	_	_
18	pleasantly	_	RB	RB	_	19	advmod	_	_
19	surprised	_	JJ	JJ	_	9	conj	_	_
20	at	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	26	det	_	_
22	wide	_	JJ	JJ	_	26	amod	_	_
23	and	_	CC	CC	_	22	cc	_	_
24	fairly	_	RB	RB	_	25	advmod	_	_
25	priced	_	VBN	VBN	_	22	conj	_	_
26	selection	_	NN	NN	_	20	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	city	_	NN	NN	_	7	nsubj	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	Chicago	_	NNP	NNP	_	3	pobj	_	_
5	is	_	VBZ	VBZ	_	7	cop	_	_
6	so	_	RB	RB	_	7	advmod	_	_
7	beautiful	_	JJ	JJ	_	0	root	_	_
8	,	_	,	,	_	0	erased	_	_
9	and	_	CC	CC	_	7	cc	_	_
10	I	_	PRP	PRP	_	12	nsubj	_	_
11	was	_	VBD	VBD	_	12	cop	_	_
12	able	_	JJ	JJ	_	7	conj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	appreciate	_	VB	VB	_	12	xcomp	_	_
15	it	_	PRP	PRP	_	31	nsubj	_	_
16	so	_	RB	RB	_	18	advmod	_	_
17	much	_	RB	RB	_	18	advmod	_	_
18	more	_	RBR	RBR	_	31	dep	_	_
19	with	_	IN	IN	_	18	prep	_	_
20	the	_	DT	DT	_	21	det	_	_
21	knowledge	_	NN	NN	_	19	pobj	_	_
22	,	_	,	,	_	0	erased	_	_
23	history	_	NN	NN	_	21	conj	_	_
24	,	_	,	,	_	0	erased	_	_
25	and	_	CC	CC	_	21	cc	_	_
26	the	_	DT	DT	_	28	det	_	_
27	fun	_	NN	NN	_	28	nn	_	_
28	experience	_	NN	NN	_	21	conj	_	_
29	Shoreline	_	NNP	NNP	_	30	nn	_	_
30	Sightseeing	_	NNP	NNP	_	31	nsubj	_	_
31	provided	_	VBD	VBD	_	14	xcomp	_	_
32	.	_	.	.	_	0	erased	_	_

