1	Wow	_	UH	UH	_	3	discourse	_	_
2	.	_	.	.	_	0	erased	_	_
3	Blown	_	VB	VB	_	0	root	_	_
4	away	_	RP	RP	_	3	prt	_	_
5	by	_	IN	IN	_	3	prep	_	_
6	Alamo	_	NNP	NNP	_	5	pobj	_	_
7	at	_	IN	IN	_	3	prep	_	_
8	Chicago	_	NNP	NNP	_	9	nn	_	_
9	O'hare	_	NNP	NNP	_	7	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	What	_	WP	WP	_	3	dep	_	_
2	a	_	DT	DT	_	3	det	_	_
3	team	_	NN	NN	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	actually	_	RB	RB	_	3	advmod	_	_
3	helped	_	VBD	VBD	_	0	root	_	_
4	me	_	PRP	PRP	_	3	dobj	_	_
5	with	_	IN	IN	_	3	prep	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	bags	_	NNS	NNS	_	5	pobj	_	_
8	from	_	IN	IN	_	3	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	van	_	NN	NN	_	8	pobj	_	_
11	-	_	:	:	_	0	erased	_	_
12	and	_	CC	CC	_	3	cc	_	_
13	then	_	RB	RB	_	15	advmod	_	_
14	they	_	PRP	PRP	_	15	nsubj	_	_
15	helped	_	VBD	VBD	_	3	conj	_	_
16	me	_	PRP	PRP	_	15	dobj	_	_
17	with	_	IN	IN	_	15	prep	_	_
18	my	_	PRP$	PRP$	_	19	poss	_	_
19	bags	_	NNS	NNS	_	17	pobj	_	_
20	to	_	TO	TO	_	15	prep	_	_
21	my	_	PRP$	PRP$	_	22	poss	_	_
22	car	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	NO	_	DT	DT	_	3	neg	_	_
2	OTHER	_	NNP	NNP	_	3	nn	_	_
3	company	_	NN	NN	_	6	nsubj	_	_
4	has	_	VBZ	VBZ	_	6	aux	_	_
5	ever	_	RB	RB	_	6	advmod	_	_
6	done	_	VBN	VBN	_	0	root	_	_
7	that	_	DT	DT	_	6	dobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	As	_	IN	IN	_	4	mark	_	_
2	I	_	PRP	PRP	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	aux	_	_
4	leaving	_	VBG	VBG	_	20	advcl	_	_
5	I	_	PRP	PRP	_	6	nsubj	_	_
6	asked	_	VBD	VBD	_	4	ccomp	_	_
7	-	_	:	:	_	0	erased	_	_
8	are	_	VBP	VBP	_	15	cop	_	_
9	all	_	DT	DT	_	15	nsubj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	13	det	_	_
12	Alamo	_	VBN	VBN	_	13	amod	_	_
13	locations	_	NNS	NNS	_	10	pobj	_	_
14	as	_	RB	RB	_	15	advmod	_	_
15	good	_	JJ	JJ	_	6	parataxis	_	_
16	as	_	IN	IN	_	15	prep	_	_
17	this	_	DT	DT	_	16	pobj	_	_
18	?	_	.	.	_	0	erased	_	_
19	5	_	CD	CD	_	20	nsubj	_	_
20	stars	_	VBZ	VBZ	_	0	root	_	_
21	all	_	PDT	PDT	_	23	predet	_	_
22	the	_	DT	DT	_	23	det	_	_
23	way	_	NN	NN	_	20	dobj	_	_
24	around	_	RB	RB	_	20	advmod	_	_
25	.	_	.	.	_	0	erased	_	_

1	Friendliest	_	VBN	VBN	_	14	dep	_	_
2	and	_	CC	CC	_	1	cc	_	_
3	most	_	RBS	RBS	_	4	advmod	_	_
4	helpful	_	JJ	JJ	_	1	conj	_	_
5	by	_	IN	IN	_	4	prep	_	_
6	far	_	RB	RB	_	7	advmod	_	_
7	out	_	IN	IN	_	5	pcomp	_	_
8	of	_	IN	IN	_	4	prep	_	_
9	all	_	PDT	PDT	_	11	predet	_	_
10	the	_	DT	DT	_	11	det	_	_
11	companies	_	NNS	NNS	_	8	pobj	_	_
12	I	_	PRP	PRP	_	14	nsubj	_	_
13	've	_	VBP	VBP	_	14	aux	_	_
14	used	_	VBN	VBN	_	0	root	_	_
15	-	_	:	:	_	0	erased	_	_
16	and	_	CC	CC	_	14	cc	_	_
17	I	_	PRP	PRP	_	19	nsubj	_	_
18	've	_	VBP	VBP	_	19	aux	_	_
19	used	_	VBN	VBN	_	14	conj	_	_
20	them	_	PRP	PRP	_	21	nsubj	_	_
21	all	_	DT	DT	_	19	xcomp	_	_
22	.	_	.	.	_	0	erased	_	_

