1	Stayed	_	VBN	VBN	_	12	dep	_	_
2	here	_	RB	RB	_	1	advmod	_	_
3	while	_	IN	IN	_	4	mark	_	_
4	on	_	IN	IN	_	2	advcl	_	_
5	a	_	DT	DT	_	7	det	_	_
6	business	_	NN	NN	_	7	nn	_	_
7	trip	_	NN	NN	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_
9	.	_	.	.	_	0	erased	_	_
10	everything	_	NN	NN	_	12	nsubj	_	_
11	was	_	VBD	VBD	_	12	cop	_	_
12	perfect	_	JJ	JJ	_	0	root	_	_
13	.	_	.	.	_	0	erased	_	_

1	.	_	NNP	NNP	_	0	erased	_	_
2	the	_	NNP	NNP	_	0	root	_	_

1	bed	_	NN	NN	_	3	nsubj	_	_
2	was	_	VBD	VBD	_	3	cop	_	_
3	comfortable	_	JJ	JJ	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	kitchen	_	NN	NN	_	5	nsubj	_	_
2	with	_	IN	IN	_	1	prep	_	_
3	coffee	_	NN	NN	_	4	nn	_	_
4	maker	_	NN	NN	_	2	pobj	_	_
5	oh	_	VBZ	VBZ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	popcorn	_	VBZ	VBZ	_	5	conj	_	_
8	.	_	.	.	_	0	erased	_	_

1	.	_	JJ	JJ	_	0	erased	_	_
2	breakfast	_	NN	NN	_	0	root	_	_

1	was	_	VBD	VBD	_	2	cop	_	_
2	good	_	JJ	JJ	_	0	root	_	_
3	with	_	IN	IN	_	2	prep	_	_
4	different	_	JJ	JJ	_	5	amod	_	_
5	selection	_	NN	NN	_	3	pobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	pastries	_	NNS	NNS	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

