1	There	_	EX	EX	_	2	expl	_	_
2	is	_	VBZ	VBZ	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	reason	_	NN	NN	_	2	nsubj	_	_
5	why	_	WRB	WRB	_	7	advmod	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	like	_	VBP	VBP	_	4	rcmod	_	_
8	boutique	_	NN	NN	_	9	nn	_	_
9	hotels	_	NNS	NNS	_	7	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	First	_	RB	RB	_	5	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	it	_	PRP	PRP	_	5	nsubj	_	_
4	's	_	VBZ	VBZ	_	5	cop	_	_
5	small	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	that	_	DT	DT	_	9	nsubj	_	_
8	usually	_	RB	RB	_	9	advmod	_	_
9	means	_	VBZ	VBZ	_	5	conj	_	_
10	great	_	JJ	JJ	_	12	amod	_	_
11	customer	_	NN	NN	_	12	nn	_	_
12	service	_	NN	NN	_	9	dobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Second	_	LS	LS	_	7	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	4	det	_	_
4	products	_	NNS	NNS	_	7	nsubj	_	_
5	are	_	VBP	VBP	_	7	cop	_	_
6	usually	_	RB	RB	_	7	advmod	_	_
7	better	_	JJR	JJR	_	0	root	_	_
8	.	_	.	.	_	0	erased	_	_

1	Third	_	LS	LS	_	4	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	like	_	VBP	VBP	_	0	root	_	_
5	knowing	_	VBG	VBG	_	4	xcomp	_	_
6	that	_	IN	IN	_	8	mark	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	'm	_	VBP	VBP	_	5	ccomp	_	_
9	in	_	IN	IN	_	8	prep	_	_
10	an	_	DT	DT	_	12	det	_	_
11	unique	_	JJ	JJ	_	12	amod	_	_
12	hotel	_	NN	NN	_	9	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Which	_	WDT	WDT	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	exactly	_	RB	RB	_	5	advmod	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	reaction	_	NN	NN	_	0	root	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	my	_	PRP$	PRP$	_	9	poss	_	_
8	recent	_	JJ	JJ	_	9	amod	_	_
9	stay	_	NN	NN	_	6	pobj	_	_
10	at	_	IN	IN	_	9	prep	_	_
11	Hotel	_	NNP	NNP	_	12	nn	_	_
12	Felix	_	NNP	NNP	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Great	_	JJ	JJ	_	3	amod	_	_
2	customer	_	NN	NN	_	3	nn	_	_
3	service	_	NN	NN	_	0	root	_	_
4	from	_	IN	IN	_	3	prep	_	_
5	check-in	_	NN	NN	_	4	pobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	check-out	_	NN	NN	_	6	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

