1	Oh	_	UH	UH	_	4	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	Union	_	NNP	NNP	_	4	nn	_	_
4	Station	_	NNP	NNP	_	9	dep	_	_
5	,	_	,	,	_	0	erased	_	_
6	I	_	PRP	PRP	_	9	nsubj	_	_
7	can	_	MD	MD	_	9	aux	_	_
8	not	_	RB	RB	_	9	neg	_	_
9	laud	_	VB	VB	_	0	root	_	_
10	your	_	PRP$	PRP$	_	11	poss	_	_
11	drunks	_	NNS	NNS	_	9	dobj	_	_
12	enough	_	RB	RB	_	11	advmod	_	_
13	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	setting	_	NN	NN	_	0	root	_	_
3	:	_	:	:	_	0	erased	_	_
4	The	_	DT	DT	_	5	det	_	_
5	Saturday	_	NNP	NNP	_	2	dep	_	_
6	before	_	IN	IN	_	5	prep	_	_
7	St.	_	NNP	NNP	_	8	nn	_	_
8	Patty	_	NNP	NNP	_	10	poss	_	_
9	's	_	POS	POS	_	8	possessive	_	_
10	day	_	NN	NN	_	6	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	characters	_	NNS	NNS	_	0	root	_	_
3	:	_	:	:	_	0	erased	_	_
4	Myself	_	NNP	NNP	_	2	dep	_	_
5	,	_	,	,	_	0	erased	_	_
6	my	_	PRP$	PRP$	_	7	poss	_	_
7	boyfriend	_	NN	NN	_	4	conj	_	_
8	,	_	,	,	_	0	erased	_	_
9	two	_	CD	CD	_	10	num	_	_
10	friends	_	NNS	NNS	_	4	conj	_	_
11	from	_	IN	IN	_	10	prep	_	_
12	Texas	_	NNP	NNP	_	11	pobj	_	_
13	and	_	CC	CC	_	4	cc	_	_
14	drunks	_	NNS	NNS	_	4	conj	_	_
15	a	_	DT	DT	_	16	det	_	_
16	plenty	_	NN	NN	_	14	dep	_	_
17	.	_	.	.	_	0	erased	_	_

1	On	_	IN	IN	_	26	prep	_	_
