1	My	_	PRP$	PRP$	_	2	poss	_	_
2	girlfriend	_	NN	NN	_	3	nsubj	_	_
3	got	_	VBD	VBD	_	0	root	_	_
4	us	_	PRP	PRP	_	3	dep	_	_
5	a	_	DT	DT	_	6	det	_	_
6	room	_	NN	NN	_	7	npadvmod	_	_
7	here	_	RB	RB	_	4	advmod	_	_
8	last	_	JJ	JJ	_	9	amod	_	_
9	night	_	NN	NN	_	3	tmod	_	_
10	and	_	CC	CC	_	3	cc	_	_
11	she	_	PRP	PRP	_	12	nsubj	_	_
12	requested	_	VBD	VBD	_	3	conj	_	_
13	a	_	DT	DT	_	16	det	_	_
14	high	_	JJ	JJ	_	16	amod	_	_
15	level	_	NN	NN	_	16	nn	_	_
16	room	_	NN	NN	_	12	dobj	_	_
17	and	_	CC	CC	_	12	cc	_	_
18	was	_	VBD	VBD	_	19	auxpass	_	_
19	granted	_	VBN	VBN	_	12	conj	_	_
20	just	_	RB	RB	_	39	advmod	_	_
21	that	_	IN	IN	_	39	mark	_	_
22	on	_	IN	IN	_	39	prep	_	_
23	the	_	DT	DT	_	26	det	_	_
24	very	_	RB	RB	_	26	advmod	_	_
25	top	_	JJ	JJ	_	26	amod	_	_
26	floor	_	NN	NN	_	22	pobj	_	_
27	not	_	RB	RB	_	28	neg	_	_
28	only	_	RB	RB	_	39	nsubj	_	_
29	was	_	VBD	VBD	_	30	cop	_	_
30	successful	_	JJ	JJ	_	28	rcmod	_	_
31	but	_	CC	CC	_	32	cc	_	_
32	to	_	TO	TO	_	30	prep	_	_
33	top	_	JJ	JJ	_	34	amod	_	_
34	Melissa	_	NNP	NNP	_	32	pobj	_	_
35	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
36	front	_	JJ	JJ	_	37	amod	_	_
37	desk	_	NN	NN	_	28	appos	_	_
38	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
39	sent	_	VBD	VBD	_	19	dep	_	_
40	up	_	RP	RP	_	39	prt	_	_
41	a	_	DT	DT	_	43	det	_	_
42	complimentary	_	JJ	JJ	_	43	amod	_	_
43	bottle	_	NN	NN	_	39	dobj	_	_
44	of	_	IN	IN	_	43	prep	_	_
45	champagne	_	NN	NN	_	44	pobj	_	_
46	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	start	_	NN	NN	_	0	root	_	_
6	to	_	TO	TO	_	5	prep	_	_
7	am	_	RB	RB	_	9	advmod	_	_
8	amazing	_	JJ	JJ	_	9	amod	_	_
9	night	_	NN	NN	_	6	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	highly	_	RB	RB	_	3	advmod	_	_
3	recommend	_	VBP	VBP	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	dobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Thanks	_	UH	UH	_	0	root	_	_
2	!	_	.	.	_	0	erased	_	_

