1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	Valentines	_	NNP	NNP	_	10	nn	_	_
9	weekend	_	NN	NN	_	10	nn	_	_
10	2015	_	NNS	NNS	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	hospitality	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	amazing	_	JJ	JJ	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	Everyone	_	NN	NN	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	so	_	RB	RB	_	4	advmod	_	_
4	kind	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	helpful	_	JJ	JJ	_	4	conj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	restaurant	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	as	_	IN	IN	_	4	prep	_	_
6	well	_	RB	RB	_	5	pcomp	_	_
7	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	would	_	MD	MD	_	3	aux	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	anyone	_	NN	NN	_	3	dobj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	stay	_	VB	VB	_	3	vmod	_	_
7	here	_	RB	RB	_	6	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	's	_	VBZ	VBZ	_	5	cop	_	_
3	kind	_	NN	NN	_	4	dep	_	_
4	of	_	IN	IN	_	5	advmod	_	_
5	pricey	_	JJ	JJ	_	0	root	_	_
6	but	_	CC	CC	_	5	cc	_	_
7	well	_	RB	RB	_	8	advmod	_	_
8	worth	_	JJ	JJ	_	5	conj	_	_
9	it	_	PRP	PRP	_	5	dep	_	_
10	.	_	.	.	_	0	erased	_	_

1	5	_	CD	CD	_	0	root	_	_
2	Star	_	NNP	NNP	_	1	dep	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	sure	_	JJ	JJ	_	5	amod	_	_
5	!!	_	NNS	NNS	_	3	pobj	_	_

