1	My	_	PRP$	PRP$	_	2	poss	_	_
2	home	_	NN	NN	_	0	root	_	_
3	away	_	RB	RB	_	4	advmod	_	_
4	from	_	IN	IN	_	2	prep	_	_
5	home	_	NN	NN	_	4	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	incredibly	_	RB	RB	_	5	advmod	_	_
5	helpful	_	JJ	JJ	_	12	ccomp	_	_
6	,	_	,	,	_	0	erased	_	_
7	never	_	RB	RB	_	5	neg	_	_
8	a	_	DT	DT	_	9	det	_	_
9	line	_	NN	NN	_	7	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	they	_	PRP	PRP	_	12	nsubj	_	_
12	make	_	VBP	VBP	_	0	root	_	_
13	you	_	PRP	PRP	_	14	nsubj	_	_
14	feel	_	VBP	VBP	_	12	ccomp	_	_
15	like	_	IN	IN	_	17	mark	_	_
16	they	_	PRP	PRP	_	17	nsubj	_	_
17	know	_	VBP	VBP	_	14	advcl	_	_
18	you	_	PRP	PRP	_	17	dobj	_	_
19	when	_	WRB	WRB	_	21	advmod	_	_
20	you	_	PRP	PRP	_	21	nsubj	_	_
21	return	_	VBP	VBP	_	17	advcl	_	_
22	.	_	.	.	_	0	erased	_	_

1	Everything	_	NNP	NNP	_	4	nsubj	_	_
2	you	_	PRP	PRP	_	1	dep	_	_
3	would	_	MD	MD	_	4	aux	_	_
4	expect	_	VB	VB	_	0	root	_	_
5	from	_	IN	IN	_	4	prep	_	_
6	a	_	DT	DT	_	9	det	_	_
7	top	_	JJ	JJ	_	9	amod	_	_
8	notch	_	JJ	JJ	_	9	amod	_	_
9	hotel	_	NN	NN	_	5	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

