1	our	_	PRP$	PRP$	_	2	poss	_	_
2	family	_	NN	NN	_	5	nsubj	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	six	_	CD	CD	_	3	pobj	_	_
5	took	_	VBD	VBD	_	0	root	_	_
6	the	_	DT	DT	_	9	det	_	_
7	haunted	_	JJ	JJ	_	9	amod	_	_
8	chicago	_	NNP	NNP	_	9	nn	_	_
9	tour	_	NN	NN	_	5	dobj	_	_
10	today	_	NN	NN	_	5	tmod	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	we	_	PRP	PRP	_	14	nsubj	_	_
13	all	_	DT	DT	_	14	advmod	_	_
14	thought	_	VBD	VBD	_	5	conj	_	_
15	it	_	PRP	PRP	_	17	nsubj	_	_
16	was	_	VBD	VBD	_	17	cop	_	_
17	great	_	JJ	JJ	_	14	ccomp	_	_
18	.	_	.	.	_	0	erased	_	_

1	clarence	_	NN	NN	_	8	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	full	_	JJ	JJ	_	1	rcmod	_	_
4	of	_	IN	IN	_	1	prep	_	_
5	personality	_	NN	NN	_	4	pobj	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	dave	_	NN	NN	_	5	conj	_	_
8	added	_	VBD	VBD	_	0	root	_	_
9	droll	_	JJ	JJ	_	11	amod	_	_
10	funny	_	JJ	JJ	_	11	amod	_	_
11	wit	_	NN	NN	_	8	dobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	believe	_	VBP	VBP	_	0	root	_	_
4	dave	_	NN	NN	_	6	nsubj	_	_
5	was	_	VBD	VBD	_	6	aux	_	_
6	feeling	_	VBG	VBG	_	3	ccomp	_	_
7	ill	_	JJ	JJ	_	8	amod	_	_
8	today	_	NN	NN	_	6	tmod	_	_
9	though	_	RB	RB	_	6	advmod	_	_
10	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	tour	_	NN	NN	_	3	dobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	friends	_	NNS	NNS	_	6	pobj	_	_
8	and	_	CC	CC	_	3	cc	_	_
9	am	_	VBP	VBP	_	10	cop	_	_
10	sure	_	JJ	JJ	_	3	conj	_	_
11	many	_	DT	DT	_	13	nsubj	_	_
12	will	_	MD	MD	_	13	aux	_	_
13	take	_	VB	VB	_	10	ccomp	_	_
14	advantage	_	NN	NN	_	13	dobj	_	_
15	of	_	IN	IN	_	14	prep	_	_
16	it	_	PRP	PRP	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	live	_	VBP	VBP	_	0	root	_	_
3	less	_	JJR	JJR	_	4	mwe	_	_
4	than	_	IN	IN	_	5	quantmod	_	_
5	two	_	CD	CD	_	6	num	_	_
6	hours	_	NNS	NNS	_	7	npadvmod	_	_
7	away	_	RB	RB	_	2	advmod	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	come	_	VB	VB	_	2	conj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	chicago	_	VB	VB	_	9	xcomp	_	_
12	a	_	DT	DT	_	14	det	_	_
13	couple	_	NN	NN	_	14	nn	_	_
14	times	_	NNS	NNS	_	11	dobj	_	_
15	a	_	DT	DT	_	16	det	_	_
16	year	_	NN	NN	_	11	tmod	_	_
17	and	_	CC	CC	_	2	cc	_	_
18	will	_	MD	MD	_	19	aux	_	_
19	do	_	VB	VB	_	2	conj	_	_
20	another	_	DT	DT	_	21	det	_	_
21	tour	_	NN	NN	_	19	dobj	_	_

