1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	the	_	DT	DT	_	9	det	_	_
8	first	_	JJ	JJ	_	9	amod	_	_
9	week	_	NN	NN	_	5	tmod	_	_
10	of	_	IN	IN	_	5	prep	_	_
11	January	_	NNP	NNP	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	loved	_	VBD	VBD	_	0	root	_	_
3	it	_	PRP	PRP	_	2	dobj	_	_
4	.	_	.	.	_	0	erased	_	_

1	GREAT	_	JJ	JJ	_	2	amod	_	_
2	LOCATION	_	NN	NN	_	0	root	_	_
3	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	Berkshire	_	NNP	NNP	_	3	nn	_	_
3	Room	_	NNP	NNP	_	5	nsubjpass	_	_
4	was	_	VBD	VBD	_	5	auxpass	_	_
5	fabulous	_	VBN	VBN	_	0	root	_	_
6	as	_	RB	RB	_	7	advmod	_	_
7	well	_	RB	RB	_	5	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

1	Room	_	JJ	JJ	_	2	amod	_	_
2	service	_	NN	NN	_	8	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	front	_	JJ	JJ	_	5	amod	_	_
5	desk	_	NN	NN	_	2	conj	_	_
6	were	_	VBD	VBD	_	8	cop	_	_
7	very	_	RB	RB	_	8	advmod	_	_
8	accommadating	_	JJ	JJ	_	0	root	_	_
9	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	reservations	_	NNS	NNS	_	2	dobj	_	_
4	set	_	VBN	VBN	_	3	vmod	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	March	_	NNP	NNP	_	5	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	Would	_	MD	MD	_	3	aux	_	_
2	definitely	_	NNP	NNP	_	3	nsubj	_	_
3	recommend	_	VB	VB	_	0	root	_	_
4	!	_	.	.	_	0	erased	_	_

