1	What	_	WP	WP	_	15	dep	_	_
2	a	_	DT	DT	_	8	det	_	_
3	wonderful	_	JJ	JJ	_	8	amod	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	unique	_	JJ	JJ	_	3	conj	_	_
6	tour	_	NN	NN	_	8	nn	_	_
7	!	_	NNP	NNP	_	0	erased	_	_
8	Michael	_	NNP	NNP	_	15	nsubj	_	_
9	,	_	,	,	_	0	erased	_	_
10	our	_	PRP$	PRP$	_	11	poss	_	_
11	guide	_	NN	NN	_	8	appos	_	_
12	,	_	,	,	_	0	erased	_	_
13	was	_	VBD	VBD	_	15	cop	_	_
14	a	_	DT	DT	_	15	det	_	_
15	wealth	_	NN	NN	_	0	root	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	interesting	_	JJ	JJ	_	18	amod	_	_
18	information	_	NN	NN	_	16	pobj	_	_
19	as	_	RB	RB	_	20	advmod	_	_
20	well	_	RB	RB	_	15	cc	_	_
21	as	_	IN	IN	_	20	mwe	_	_
22	an	_	DT	DT	_	24	det	_	_
23	excleent	_	JJ	JJ	_	24	amod	_	_
24	speaker	_	NN	NN	_	15	conj	_	_
25	.	_	.	.	_	0	erased	_	_

1	Loved	_	VB	VB	_	0	root	_	_
2	the	_	DT	DT	_	8	det	_	_
3	history	_	NN	NN	_	8	nn	_	_
4	,	_	,	,	_	0	erased	_	_
5	architecture	_	NN	NN	_	3	conj	_	_
6	and	_	CC	CC	_	3	cc	_	_
7	inside	_	NN	NN	_	3	conj	_	_
8	stories	_	NNS	NNS	_	1	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	One	_	CD	CD	_	8	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	5	det	_	_
4	many	_	JJ	JJ	_	5	amod	_	_
5	highlights	_	NN	NN	_	2	pobj	_	_
6	was	_	VBD	VBD	_	8	cop	_	_
7	the	_	DT	DT	_	8	det	_	_
8	visit	_	NN	NN	_	0	root	_	_
9	to	_	TO	TO	_	8	prep	_	_
10	the	_	DT	DT	_	12	det	_	_
11	Methodist	_	NNP	NNP	_	12	nn	_	_
12	Church	_	NNP	NNP	_	9	pobj	_	_
13	across	_	IN	IN	_	8	prep	_	_
14	from	_	IN	IN	_	13	pcomp	_	_
15	the	_	DT	DT	_	17	det	_	_
16	Daley	_	NNP	NNP	_	17	nn	_	_
17	Center	_	NNP	NNP	_	14	pobj	_	_
18	.	_	.	.	_	0	erased	_	_

1	What	_	WDT	WDT	_	0	root	_	_
2	a	_	FW	FW	_	1	prep	_	_
3	hidden	_	JJ	JJ	_	4	amod	_	_
4	gem	_	NN	NN	_	2	pobj	_	_
5	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	have	_	VBP	VBP	_	4	aux	_	_
3	been	_	VBN	VBN	_	4	aux	_	_
4	telling	_	VBG	VBG	_	0	root	_	_
5	eveyone	_	NN	NN	_	4	dobj	_	_
6	I	_	PRP	PRP	_	8	nsubj	_	_
7	have	_	VBP	VBP	_	8	aux	_	_
8	seen	_	VBN	VBN	_	5	rcmod	_	_
9	,	_	,	,	_	0	erased	_	_
10	even	_	RB	RB	_	11	advmod	_	_
11	strangers	_	JJ	JJ	_	8	acomp	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	the	_	DT	DT	_	14	det	_	_
14	train	_	NN	NN	_	12	pobj	_	_
15	,	_	,	,	_	0	erased	_	_
16	since	_	IN	IN	_	8	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	tour	_	NN	NN	_	16	pobj	_	_
19	about	_	IN	IN	_	18	prep	_	_
20	this	_	DT	DT	_	22	det	_	_
21	excellent	_	JJ	JJ	_	22	amod	_	_
22	tour	_	NN	NN	_	19	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	look	_	VBP	VBP	_	0	root	_	_
3	forward	_	RB	RB	_	2	advmod	_	_
4	to	_	TO	TO	_	2	prep	_	_
5	future	_	JJ	JJ	_	7	amod	_	_
6	Detour	_	NNP	NNP	_	7	nn	_	_
7	tours	_	NNS	NNS	_	4	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

