1	My	_	PRP$	PRP$	_	2	poss	_	_
2	boo	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	last	_	JJ	JJ	_	10	amod	_	_
8	Memorial	_	NN	NN	_	10	nn	_	_
9	Day	_	NN	NN	_	10	nn	_	_
10	weekend	_	NN	NN	_	5	dobj	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	were	_	VBD	VBD	_	14	cop	_	_
13	extremely	_	RB	RB	_	14	advmod	_	_
14	impressed	_	JJ	JJ	_	5	conj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	the	_	DT	DT	_	18	det	_	_
17	great	_	JJ	JJ	_	18	amod	_	_
18	service	_	NN	NN	_	15	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	concierge	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	helpful	_	JJ	JJ	_	0	root	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	finding	_	VBG	VBG	_	6	pcomp	_	_
8	us	_	PRP	PRP	_	11	nsubj	_	_
9	great	_	JJ	JJ	_	11	amod	_	_
10	vegetarian	_	NN	NN	_	11	nn	_	_
11	restaurants	_	NNS	NNS	_	7	xcomp	_	_
12	in	_	IN	IN	_	11	prep	_	_
13	Chicago	_	NNP	NNP	_	12	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	6	nsubj	_	_
3	were	_	VBD	VBD	_	6	cop	_	_
4	cool	_	JJ	JJ	_	6	dep	_	_
5	and	_	CC	CC	_	6	cc	_	_
6	modern	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	clean	_	JJ	JJ	_	6	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bathroom	_	NN	NN	_	16	nsubj	_	_
3	we	_	PRP	PRP	_	7	nsubj	_	_
4	had	_	VBD	VBD	_	7	aux	_	_
5	was	_	VBD	VBD	_	7	cop	_	_
6	really	_	RB	RB	_	7	advmod	_	_
7	spacious	_	JJ	JJ	_	2	rcmod	_	_
8	and	_	CC	CC	_	2	cc	_	_
9	location	_	NN	NN	_	2	conj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	hotel	_	NN	NN	_	10	pobj	_	_
13	could	_	MD	MD	_	16	aux	_	_
14	n't	_	RB	RB	_	16	neg	_	_
15	be	_	VB	VB	_	16	cop	_	_
16	better	_	JJR	JJR	_	0	root	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	4	det	_	_
2	wine	_	NN	NN	_	4	nn	_	_
3	restaurant/bar	_	NN	NN	_	4	nn	_	_
4	downstairs	_	NNS	NNS	_	7	nsubj	_	_
5	is	_	VBZ	VBZ	_	7	cop	_	_
6	really	_	RB	RB	_	7	advmod	_	_
7	good	_	JJ	JJ	_	0	root	_	_
8	too	_	RB	RB	_	7	advmod	_	_
9	!	_	.	.	_	0	erased	_	_

