1	Having	_	VBG	VBG	_	7	csubj	_	_
2	a	_	DT	DT	_	3	det	_	_
3	car	_	NN	NN	_	1	dobj	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	Chicago	_	NNP	NNP	_	4	pobj	_	_
6	is	_	VBZ	VBZ	_	7	cop	_	_
7	expensive	_	JJ	JJ	_	0	root	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	parking	_	NN	NN	_	13	nsubj	_	_
10	can	_	MD	MD	_	13	aux	_	_
11	be	_	VB	VB	_	13	cop	_	_
12	really	_	RB	RB	_	13	advmod	_	_
13	difficult	_	JJ	JJ	_	7	conj	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	7	cc	_	_
16	there	_	EX	EX	_	17	expl	_	_
17	are	_	VBP	VBP	_	7	conj	_	_
18	definitely	_	RB	RB	_	17	advmod	_	_
19	occasions	_	NNS	NNS	_	17	nsubj	_	_
20	when	_	WRB	WRB	_	23	advmod	_	_
21	it	_	PRP	PRP	_	23	nsubj	_	_
22	would	_	MD	MD	_	23	aux	_	_
23	come	_	VB	VB	_	19	rcmod	_	_
24	in	_	IN	IN	_	23	prep	_	_
25	handy	_	JJ	JJ	_	24	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	RelayRides	_	NNS	NNS	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	the	_	DT	DT	_	5	det	_	_
4	perfect	_	JJ	JJ	_	5	amod	_	_
5	solution	_	NN	NN	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	det	_	_
2	service	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	really	_	RB	RB	_	5	advmod	_	_
5	great	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	what	_	WP	WP	_	11	dep	_	_
9	car-sharing	_	NN	NN	_	11	nsubj	_	_
10	should	_	MD	MD	_	11	aux	_	_
11	be	_	VB	VB	_	5	conj	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rates	_	NNS	NNS	_	4	nsubj	_	_
