1	My	_	PRP$	PRP$	_	2	poss	_	_
2	flights	_	NNS	NNS	_	3	nsubj	_	_
3	are	_	VBP	VBP	_	0	root	_	_
4	always	_	RB	RB	_	3	advmod	_	_
5	on	_	IN	IN	_	3	prep	_	_
6	time	_	NN	NN	_	5	pobj	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	the	_	DT	DT	_	13	det	_	_
9	$	_	$	$	_	13	dep	_	_
10	15	_	CD	CD	_	9	num	_	_
11	a	_	DT	DT	_	12	det	_	_
12	day	_	NN	NN	_	9	dep	_	_
13	shuttle	_	NN	NN	_	16	nsubj	_	_
14	is	_	VBZ	VBZ	_	16	cop	_	_
15	very	_	RB	RB	_	16	advmod	_	_
16	convenient	_	JJ	JJ	_	3	conj	_	_
17	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	like	_	VBP	VBP	_	0	root	_	_
3	flying	_	VBG	VBG	_	2	xcomp	_	_
4	here	_	RB	RB	_	6	advmod	_	_
5	much	_	RB	RB	_	6	advmod	_	_
6	better	_	JJR	JJR	_	3	dobj	_	_
7	than	_	IN	IN	_	3	prep	_	_
8	flying	_	VBG	VBG	_	7	pcomp	_	_
9	out	_	RP	RP	_	8	prt	_	_
10	of	_	IN	IN	_	8	prep	_	_
11	O'Hare	_	NNP	NNP	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	O'Hare	_	NNP	NNP	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	a	_	DT	DT	_	4	det	_	_
4	nightmare	_	NN	NN	_	21	dep	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	get	_	VB	VB	_	4	vmod	_	_
7	in	_	RP	RP	_	6	prt	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	out	_	RP	RP	_	7	dep	_	_
10	of	_	IN	IN	_	6	prep	_	_
11	and	_	CC	CC	_	4	cc	_	_
12	I	_	PRP	PRP	_	15	nsubj	_	_
13	can	_	MD	MD	_	15	aux	_	_
14	honestly	_	RB	RB	_	15	advmod	_	_
15	say	_	VB	VB	_	4	conj	_	_
16	I	_	PRP	PRP	_	15	dobj	_	_
17	feign	_	JJ	JJ	_	18	amod	_	_
18	illness	_	NN	NN	_	19	npadvmod	_	_
19	anytime	_	RB	RB	_	15	advmod	_	_
20	anyone	_	NN	NN	_	21	nsubj	_	_
21	asks	_	VBZ	VBZ	_	0	root	_	_
22	me	_	PRP	PRP	_	21	dobj	_	_
23	to	_	TO	TO	_	24	aux	_	_
24	pick	_	VB	VB	_	21	xcomp	_	_
25	them	_	PRP	PRP	_	24	dobj	_	_
26	up	_	RP	RP	_	24	prt	_	_
27	or	_	CC	CC	_	24	cc	_	_
28	drop	_	VB	VB	_	24	conj	_	_
29	them	_	PRP	PRP	_	28	dobj	_	_
30	off	_	RP	RP	_	28	prt	_	_
31	there	_	RB	RB	_	28	advmod	_	_
32	.	_	.	.	_	0	erased	_	_

