1	No	_	UH	UH	_	9	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	this	_	DT	DT	_	9	nsubj	_	_
4	is	_	VBZ	VBZ	_	9	cop	_	_
5	n't	_	RB	RB	_	9	neg	_	_
6	just	_	RB	RB	_	9	advmod	_	_
7	another	_	DT	DT	_	9	det	_	_
8	Enterprise	_	NN	NN	_	9	nn	_	_
9	location	_	NN	NN	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	5	nsubj	_	_
2	've	_	VBP	VBP	_	5	aux	_	_
3	been	_	VBN	VBN	_	5	aux	_	_
4	regularly	_	RB	RB	_	5	advmod	_	_
5	renting	_	VBG	VBG	_	0	root	_	_
6	from	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	10	det	_	_
8	Midway	_	NNP	NNP	_	10	nn	_	_
9	airport	_	NN	NN	_	10	nn	_	_
10	location	_	NN	NN	_	6	pobj	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	15	det	_	_
13	past	_	JJ	JJ	_	15	amod	_	_
14	10	_	CD	CD	_	15	num	_	_
15	years	_	NNS	NNS	_	11	pobj	_	_
16	and	_	CC	CC	_	5	cc	_	_
17	have	_	VBP	VBP	_	18	aux	_	_
18	had	_	VBN	VBN	_	5	conj	_	_
19	nothing	_	NN	NN	_	18	dobj	_	_
20	but	_	CC	CC	_	19	prep	_	_
21	impeccable	_	JJ	JJ	_	22	amod	_	_
22	service	_	NN	NN	_	20	pobj	_	_
23	!	_	.	.	_	0	erased	_	_

1	Enterprise	_	NNP	NNP	_	4	nsubj	_	_
2	had	_	VBD	VBD	_	4	aux	_	_
3	originally	_	RB	RB	_	4	advmod	_	_
4	won	_	VBN	VBN	_	0	root	_	_
5	me	_	PRP	PRP	_	4	dobj	_	_
6	over	_	IN	IN	_	4	prep	_	_
7	when	_	WRB	WRB	_	10	advmod	_	_
8	I	_	PRP	PRP	_	10	nsubj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	16	_	CD	CD	_	6	pcomp	_	_
11	because	_	IN	IN	_	17	mark	_	_
12	Budget	_	NNP	NNP	_	17	nsubj	_	_
13	was	_	VBD	VBD	_	17	cop	_	_
14	the	_	DT	DT	_	17	det	_	_
15	only	_	RB	RB	_	17	advmod	_	_
16	other	_	JJ	JJ	_	17	amod	_	_
17	company	_	NN	NN	_	10	advcl	_	_
