1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	tour	_	NN	NN	_	3	nn	_	_
3	guide	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	awesome	_	JJ	JJ	_	0	root	_	_
6	!!!	_	VBG	VBG	_	5	dep	_	_
7	Such	_	PDT	PDT	_	9	predet	_	_
8	a	_	DT	DT	_	9	det	_	_
9	beauty	_	NN	NN	_	6	dobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	a	_	DT	DT	_	12	det	_	_
12	day	_	NN	NN	_	10	pobj	_	_
13	to	_	TO	TO	_	14	aux	_	_
14	ride	_	VB	VB	_	12	vmod	_	_
15	on	_	IN	IN	_	14	prep	_	_
16	a	_	DT	DT	_	17	det	_	_
17	boat	_	NN	NN	_	15	pobj	_	_
18	thru	_	IN	IN	_	17	prep	_	_
19	chicago	_	NNP	NNP	_	18	pobj	_	_
20	.	_	.	.	_	0	erased	_	_

1	Learning	_	VBG	VBG	_	0	root	_	_
2	,	_	,	,	_	0	erased	_	_
3	seeing	_	VBG	VBG	_	1	dep	_	_
4	,	_	,	,	_	0	erased	_	_
5	experiencing	_	VBG	VBG	_	1	dep	_	_
6	so	_	RB	RB	_	7	advmod	_	_
7	much	_	RB	RB	_	5	advmod	_	_
8	fun	_	NN	NN	_	9	nn	_	_
9	!!	_	NNS	NNS	_	1	dobj	_	_

