1	Very	_	CD	CD	_	3	num	_	_
2	nice	_	JJ	JJ	_	3	amod	_	_
3	place	_	NN	NN	_	9	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	stay	_	VB	VB	_	3	vmod	_	_
6	that	_	DT	DT	_	5	dobj	_	_
7	was	_	VBD	VBD	_	9	cop	_	_
8	reasonably	_	RB	RB	_	9	advmod	_	_
9	affordable	_	JJ	JJ	_	0	root	_	_
10	.	_	.	.	_	0	erased	_	_

1	Nice	_	VB	VB	_	0	root	_	_
2	clean	_	JJ	JJ	_	3	amod	_	_
3	room	_	NN	NN	_	1	dobj	_	_
4	&	_	CC	CC	_	3	cc	_	_
5	setting	_	VBG	VBG	_	3	conj	_	_
6	outside	_	RB	RB	_	5	advmod	_	_
7	for	_	IN	IN	_	5	prep	_	_
8	breakfast	_	NN	NN	_	7	pobj	_	_
9	or	_	CC	CC	_	8	cc	_	_
10	just	_	RB	RB	_	8	advmod	_	_
11	your	_	PRP$	PRP$	_	13	poss	_	_
12	own	_	JJ	JJ	_	13	amod	_	_
13	enjoyment	_	NN	NN	_	8	dep	_	_
14	.	_	.	.	_	0	erased	_	_

1	Close	_	VB	VB	_	0	root	_	_
2	to	_	TO	TO	_	1	prep	_	_
3	nice	_	JJ	JJ	_	4	amod	_	_
4	places	_	NNS	NNS	_	2	pobj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	eat	_	VB	VB	_	1	xcomp	_	_
7	.	_	.	.	_	0	erased	_	_

1	Will	_	NNP	NNP	_	3	nsubj	_	_
2	be	_	VBP	VBP	_	3	aux	_	_
3	going	_	VBG	VBG	_	0	root	_	_
4	back	_	RP	RP	_	3	prt	_	_
5	again	_	RB	RB	_	3	advmod	_	_
6	.	_	.	.	_	0	erased	_	_

