1	My	_	PRP$	PRP$	_	3	poss	_	_
2	recent	_	JJ	JJ	_	3	amod	_	_
3	rental	_	NN	NN	_	7	nsubj	_	_
4	from	_	IN	IN	_	3	prep	_	_
5	National	_	NNP	NNP	_	4	pobj	_	_
6	was	_	VBD	VBD	_	7	cop	_	_
7	perfect	_	JJ	JJ	_	0	root	_	_
8	in	_	IN	IN	_	7	prep	_	_
9	every	_	DT	DT	_	10	det	_	_
10	way	_	NN	NN	_	8	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	needed	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	6	det	_	_
4	last	_	JJ	JJ	_	6	amod	_	_
5	minute	_	NN	NN	_	6	nn	_	_
6	rental	_	NN	NN	_	9	nsubj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	National	_	NNP	NNP	_	6	conj	_	_
9	made	_	VBD	VBD	_	2	ccomp	_	_
10	it	_	PRP	PRP	_	11	nsubj	_	_
11	happen	_	VBP	VBP	_	9	ccomp	_	_
12	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	1	dobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	National	_	NNP	NNP	_	1	dep	_	_
5	.	_	.	.	_	0	erased	_	_

