1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	two	_	CD	CD	_	7	num	_	_
7	nights	_	NNS	NNS	_	5	dobj	_	_
8	at	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	Talbott	_	NNP	NNP	_	8	pobj	_	_
11	at	_	IN	IN	_	5	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	end	_	NN	NN	_	11	pobj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	February	_	NNP	NNP	_	14	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	3	det	_	_
2	little	_	JJ	JJ	_	3	amod	_	_
3	hotel	_	NN	NN	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	the	_	DT	DT	_	7	det	_	_
6	perfect	_	JJ	JJ	_	7	amod	_	_
7	place	_	NN	NN	_	0	root	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	us	_	PRP	PRP	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	lobby	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	small	_	JJ	JJ	_	0	root	_	_
6	but	_	CC	CC	_	7	cc	_	_
7	also	_	RB	RB	_	5	dep	_	_
8	cozy	_	RB	RB	_	7	dep	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	5	cc	_	_
11	with	_	IN	IN	_	19	prep	_	_
12	both	_	DT	DT	_	13	det	_	_
13	fireplaces	_	NNS	NNS	_	14	nsubj	_	_
14	going	_	VBG	VBG	_	11	pcomp	_	_
15	it	_	PRP	PRP	_	19	nsubj	_	_
16	was	_	VBD	VBD	_	19	cop	_	_
17	a	_	DT	DT	_	19	det	_	_
18	welcoming	_	JJ	JJ	_	19	amod	_	_
19	atmosphere	_	NN	NN	_	5	conj	_	_
20	coming	_	VBG	VBG	_	19	vmod	_	_
21	in	_	RP	RP	_	20	prt	_	_
22	from	_	IN	IN	_	20	prep	_	_
23	the	_	DT	DT	_	24	det	_	_
24	cold	_	NN	NN	_	22	pobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	very	_	RB	RB	_	5	advmod	_	_
5	friendly	_	JJ	JJ	_	0	root	_	_
6	and	_	CC	CC	_	5	cc	_	_
7	efficient	_	JJ	JJ	_	5	conj	_	_
8	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	pretty	_	RB	RB	_	5	advmod	_	_
5	spacious	_	JJ	JJ	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	the	_	DT	DT	_	10	det	_	_
9	king	_	NN	NN	_	10	nn	_	_
10	bed	_	NN	NN	_	13	nsubj	_	_
11	was	_	VBD	VBD	_	13	cop	_	_
12	extremely	_	RB	RB	_	13	advmod	_	_
13	comfortable	_	JJ	JJ	_	5	conj	_	_
14	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	6	det	_	_
4	seventh	_	JJ	JJ	_	6	amod	_	_
5	floor	_	NN	NN	_	6	nn	_	_
6	room	_	NN	NN	_	2	dobj	_	_
7	facing	_	VBG	VBG	_	6	vmod	_	_
8	delaware	_	JJ	JJ	_	9	amod	_	_
9	st	_	NN	NN	_	7	dobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	so	_	IN	IN	_	2	dep	_	_
12	there	_	EX	EX	_	13	expl	_	_
13	was	_	VBD	VBD	_	2	parataxis	_	_
14	really	_	RB	RB	_	13	advmod	_	_
15	no	_	DT	DT	_	16	neg	_	_
16	view	_	NN	NN	_	13	nsubj	_	_
17	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bathroom	_	NN	NN	_	6	nsubj	_	_
3	was	_	VBD	VBD	_	6	cop	_	_
4	a	_	DT	DT	_	6	det	_	_
5	good	_	JJ	JJ	_	6	amod	_	_
6	size	_	NN	NN	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	including	_	VBG	VBG	_	6	prep	_	_
9	two	_	CD	CD	_	10	num	_	_
10	sinks	_	NNS	NNS	_	8	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	a	_	DT	DT	_	14	det	_	_
13	spacious	_	JJ	JJ	_	14	amod	_	_
14	tub/shower	_	NN	NN	_	10	conj	_	_
15	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	was	_	VBD	VBD	_	0	root	_	_
3	also	_	RB	RB	_	2	advmod	_	_
4	free	_	JJ	JJ	_	6	amod	_	_
5	wireless	_	JJ	JJ	_	6	amod	_	_
6	internet	_	NN	NN	_	2	nsubj	_	_
7	...	_	:	:	_	0	erased	_	_
8	a	_	DT	DT	_	10	det	_	_
9	big	_	JJ	JJ	_	10	amod	_	_
10	plus	_	NN	NN	_	6	dep	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	us	_	PRP	PRP	_	11	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	Perhaps	_	RB	RB	_	10	advmod	_	_
2	the	_	DT	DT	_	4	det	_	_
3	best	_	JJS	JJS	_	4	amod	_	_
4	thing	_	NN	NN	_	10	nsubj	_	_
5	about	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	Talbott	_	NNP	NNP	_	5	pobj	_	_
8	is	_	VBZ	VBZ	_	10	cop	_	_
9	the	_	DT	DT	_	10	det	_	_
10	location	_	NN	NN	_	0	root	_	_
11	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	6	nsubj	_	_
2	were	_	VBD	VBD	_	6	cop	_	_
3	only	_	RB	RB	_	5	quantmod	_	_
4	a	_	DT	DT	_	5	quantmod	_	_
5	few	_	JJ	JJ	_	6	num	_	_
6	steps	_	NNS	NNS	_	0	root	_	_
7	from	_	IN	IN	_	6	prep	_	_
8	State	_	NNP	NNP	_	7	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	Rush	_	NN	NN	_	8	conj	_	_
11	,	_	,	,	_	0	erased	_	_
12	and	_	CC	CC	_	8	cc	_	_
13	North	_	NNP	NNP	_	14	nn	_	_
14	Michigan	_	NNP	NNP	_	8	conj	_	_
15	.	_	.	.	_	0	erased	_	_

1	Tons	_	NNS	NNS	_	10	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	shopping	_	NN	NN	_	2	pobj	_	_
4	,	_	,	,	_	0	erased	_	_
5	bars	_	NNS	NNS	_	3	conj	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	good	_	JJ	JJ	_	9	amod	_	_
9	food	_	NN	NN	_	3	conj	_	_
10	are	_	VBP	VBP	_	0	root	_	_
11	easily	_	RB	RB	_	10	advmod	_	_
12	within	_	IN	IN	_	10	prep	_	_
13	walking	_	VBG	VBG	_	12	pcomp	_	_
14	distance	_	NN	NN	_	13	dobj	_	_
15	.	_	.	.	_	0	erased	_	_

1	This	_	DT	DT	_	2	nsubj	_	_
2	makes	_	VBZ	VBZ	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	Talbott	_	NN	NN	_	2	iobj	_	_
5	a	_	DT	DT	_	7	det	_	_
6	great	_	JJ	JJ	_	7	amod	_	_
7	place	_	NN	NN	_	2	dobj	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	tourists	_	NNS	NNS	_	8	pobj	_	_
10	who	_	WP	WP	_	11	nsubj	_	_
11	want	_	VBP	VBP	_	9	rcmod	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	walk	_	VB	VB	_	11	xcomp	_	_
14	around	_	RP	RP	_	13	prt	_	_
15	and	_	CC	CC	_	13	cc	_	_
16	take	_	VB	VB	_	13	conj	_	_
