1	I	_	PRP	PRP	_	4	nsubjpass	_	_
2	was	_	VBD	VBD	_	4	auxpass	_	_
3	totally	_	RB	RB	_	4	advmod	_	_
4	amazed	_	VBN	VBN	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	knowledge	_	NN	NN	_	5	pobj	_	_
8	that	_	IN	IN	_	22	mark	_	_
9	our	_	PRP$	PRP$	_	11	poss	_	_
10	tour	_	NN	NN	_	11	nn	_	_
11	leader	_	NN	NN	_	22	nsubj	_	_
12	,	_	,	,	_	0	erased	_	_
13	Paula	_	NNP	NNP	_	11	appos	_	_
14	,	_	,	,	_	0	erased	_	_
15	had	_	VBD	VBD	_	22	aux	_	_
16	on	_	IN	IN	_	22	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	history	_	NN	NN	_	16	pobj	_	_
19	of	_	IN	IN	_	18	prep	_	_
20	famous	_	JJ	JJ	_	21	amod	_	_
21	Chicagoans	_	NNPS	NNPS	_	19	pobj	_	_
22	buried	_	VBN	VBN	_	4	ccomp	_	_
23	in	_	IN	IN	_	22	prep	_	_
24	Graceland	_	NNP	NNP	_	25	nn	_	_
25	Cemetery	_	NNP	NNP	_	23	pobj	_	_
26	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	whole	_	JJ	JJ	_	3	amod	_	_
3	tour	_	NN	NN	_	7	nsubj	_	_
4	was	_	VBD	VBD	_	7	cop	_	_
5	an	_	DT	DT	_	7	det	_	_
6	awesome	_	JJ	JJ	_	7	amod	_	_
7	experience	_	NN	NN	_	0	root	_	_
8	!	_	.	.	_	0	erased	_	_

