1	My	_	PRP$	PRP$	_	2	poss	_	_
2	sister	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	used	_	VBD	VBD	_	0	root	_	_
6	a	_	DT	DT	_	7	det	_	_
7	Groupon	_	NNP	NNP	_	5	dobj	_	_
8	to	_	TO	TO	_	5	prep	_	_
9	book	_	NN	NN	_	8	pobj	_	_
10	this	_	DT	DT	_	11	det	_	_
11	tour	_	NN	NN	_	14	dep	_	_
12	so	_	IN	IN	_	14	mark	_	_
13	we	_	PRP	PRP	_	14	nsubj	_	_
14	chose	_	VBD	VBD	_	5	advcl	_	_
15	the	_	DT	DT	_	18	det	_	_
16	River	_	NNP	NNP	_	18	nn	_	_
17	North	_	NNP	NNP	_	18	nn	_	_
18	tour	_	NN	NN	_	14	dobj	_	_
19	based	_	VBN	VBN	_	14	prep	_	_
20	on	_	IN	IN	_	19	pcomp	_	_
21	timing	_	NN	NN	_	20	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	Turns	_	VBG	VBG	_	7	csubj	_	_
2	out	_	RP	RP	_	1	prt	_	_
3	we	_	PRP	PRP	_	1	dobj	_	_
4	were	_	VBD	VBD	_	7	cop	_	_
5	the	_	DT	DT	_	7	det	_	_
6	only	_	JJ	JJ	_	7	amod	_	_
7	ones	_	NNS	NNS	_	0	root	_	_
8	on	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	tour	_	NN	NN	_	8	pobj	_	_
11	so	_	IN	IN	_	13	mark	_	_
12	Hilary	_	NNP	NNP	_	13	nsubj	_	_
13	asked	_	VBD	VBD	_	7	advcl	_	_
14	us	_	PRP	PRP	_	13	dobj	_	_
15	what	_	WP	WP	_	17	dobj	_	_
16	we	_	PRP	PRP	_	17	nsubj	_	_
17	wanted	_	VBD	VBD	_	13	dep	_	_
18	to	_	TO	TO	_	19	aux	_	_
19	see	_	VB	VB	_	17	xcomp	_	_
20	.	_	.	.	_	0	erased	_	_

1	Like	_	IN	IN	_	10	prep	_	_
2	everyone	_	NN	NN	_	1	pobj	_	_
3	else	_	RB	RB	_	2	advmod	_	_
4	we	_	PRP	PRP	_	10	nsubj	_	_
5	've	_	VBP	VBP	_	10	aux	_	_
6	been	_	VBN	VBN	_	10	cop	_	_
7	to	_	TO	TO	_	10	prep	_	_
8	Chicago	_	NNP	NNP	_	7	pobj	_	_
9	several	_	JJ	JJ	_	10	amod	_	_
10	times	_	NNS	NNS	_	0	root	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	the	_	DT	DT	_	13	det	_	_
13	shopping	_	NN	NN	_	11	pobj	_	_
14	and	_	CC	CC	_	13	cc	_	_
15	the	_	DT	DT	_	16	det	_	_
16	shows	_	NNS	NNS	_	13	conj	_	_
17	and	_	CC	CC	_	16	cc	_	_
18	food	_	NN	NN	_	16	conj	_	_
19	but	_	CC	CC	_	10	cc	_	_
20	we	_	PRP	PRP	_	21	nsubj	_	_
21	got	_	VBD	VBD	_	10	conj	_	_
22	to	_	TO	TO	_	23	aux	_	_
23	see	_	VB	VB	_	21	xcomp	_	_
24	a	_	DT	DT	_	27	det	_	_
25	whole	_	JJ	JJ	_	27	amod	_	_
26	new	_	JJ	JJ	_	27	amod	_	_
27	version	_	NN	NN	_	23	dobj	_	_
28	of	_	IN	IN	_	27	prep	_	_
29	Chicago	_	NNP	NNP	_	28	pobj	_	_
30	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	saw	_	VBD	VBD	_	0	root	_	_
3	churches	_	NNS	NNS	_	6	nn	_	_
4	,	_	,	,	_	0	erased	_	_
5	old	_	JJ	JJ	_	6	amod	_	_
6	buildings	_	NNS	NNS	_	2	dobj	_	_
7	with	_	IN	IN	_	2	prep	_	_
8	great	_	JJ	JJ	_	9	amod	_	_
9	descriptions	_	NNS	NNS	_	7	pobj	_	_
10	of	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	architecture	_	NN	NN	_	10	pobj	_	_
13	and	_	CC	CC	_	9	cc	_	_
14	historical	_	JJ	JJ	_	15	amod	_	_
15	tidbits	_	NNS	NNS	_	9	conj	_	_
16	that	_	WDT	WDT	_	18	nsubj	_	_
17	were	_	VBD	VBD	_	18	cop	_	_
18	all	_	DT	DT	_	15	rcmod	_	_
19	within	_	IN	IN	_	18	prep	_	_
20	a	_	DT	DT	_	22	det	_	_
21	few	_	JJ	JJ	_	22	amod	_	_
22	blocks	_	NNS	NNS	_	19	pobj	_	_
23	of	_	IN	IN	_	22	prep	_	_
24	Michigan	_	NNP	NNP	_	25	nn	_	_
25	Ave.	_	NNP	NNP	_	23	pobj	_	_
26	the	_	DT	DT	_	27	det	_	_
27	walk	_	NN	NN	_	28	nsubj	_	_
28	was	_	VBD	VBD	_	25	rcmod	_	_
29	leisurely	_	JJ	JJ	_	28	advmod	_	_
30	and	_	CC	CC	_	28	cc	_	_
31	paced	_	VBD	VBD	_	28	conj	_	_
32	to	_	TO	TO	_	33	aux	_	_
33	enjoy	_	VB	VB	_	31	xcomp	_	_
34	the	_	DT	DT	_	35	det	_	_
35	sights	_	NNS	NNS	_	33	dobj	_	_
36	.	_	.	.	_	0	erased	_	_
