1	My	_	PRP$	PRP$	_	3	poss	_	_
2	favorite	_	JJ	JJ	_	3	amod	_	_
3	hyatt	_	NN	NN	_	0	root	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	downtown	_	JJ	JJ	_	6	amod	_	_
6	Chicago	_	NNP	NNP	_	4	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	Location	_	NNP	NNP	_	5	nsubj	_	_
2	is	_	VBZ	VBZ	_	5	cop	_	_
3	a	_	DT	DT	_	4	det	_	_
4	little	_	RB	RB	_	5	npadvmod	_	_
5	confusing	_	JJ	JJ	_	31	ccomp	_	_
6	because	_	IN	IN	_	9	mark	_	_
7	the	_	DT	DT	_	8	det	_	_
8	entrance	_	NN	NN	_	9	nsubj	_	_
9	is	_	VBZ	VBZ	_	5	advcl	_	_
10	on	_	IN	IN	_	9	prep	_	_
11	Chicago	_	NNP	NNP	_	12	nn	_	_
12	ave	_	NNP	NNP	_	10	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	not	_	RB	RB	_	19	neg	_	_
15	michigan	_	NN	NN	_	19	nsubj	_	_
16	as	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	address	_	NN	NN	_	16	pobj	_	_
19	says	_	VBZ	VBZ	_	5	parataxis	_	_
20	so	_	RB	RB	_	19	advmod	_	_
21	be	_	VB	VB	_	22	cop	_	_
22	careful	_	JJ	JJ	_	19	dep	_	_
23	when	_	WRB	WRB	_	25	advmod	_	_
24	you	_	PRP	PRP	_	25	nsubj	_	_
25	call	_	VBP	VBP	_	22	advcl	_	_
26	an	_	DT	DT	_	27	det	_	_
27	Uber	_	NN	NN	_	25	dobj	_	_
28	,	_	,	,	_	0	erased	_	_
29	you	_	PRP	PRP	_	31	nsubj	_	_
30	'll	_	MD	MD	_	31	aux	_	_
31	have	_	VB	VB	_	0	root	_	_
32	a	_	DT	DT	_	34	det	_	_
33	hard	_	JJ	JJ	_	34	amod	_	_
34	time	_	NN	NN	_	31	dobj	_	_
35	meeting	_	VBG	VBG	_	34	vmod	_	_
36	up	_	RP	RP	_	35	prt	_	_
37	unless	_	IN	IN	_	39	mark	_	_
38	you	_	PRP	PRP	_	39	nsubj	_	_
39	give	_	VBP	VBP	_	35	advcl	_	_
40	them	_	PRP	PRP	_	39	iobj	_	_
41	110	_	NNP	NNP	_	42	nn	_	_
42	Chicago	_	NNP	NNP	_	39	dobj	_	_
43	.	_	.	.	_	0	erased	_	_

1	Gorgeous	_	NNS	NNS	_	2	nsubj	_	_
2	bathtub	_	VBD	VBD	_	0	root	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	room	_	NN	NN	_	3	pobj	_	_
6	with	_	IN	IN	_	2	prep	_	_
7	bath	_	NN	NN	_	8	nn	_	_
8	salts	_	NNS	NNS	_	6	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	toothbrush	_	NN	NN	_	12	nn	_	_
11	,	_	,	,	_	0	erased	_	_
12	toothpaste	_	NN	NN	_	15	nn	_	_
13	and	_	CC	CC	_	12	cc	_	_
14	great	_	JJ	JJ	_	12	conj	_	_
15	soaps	_	NNS	NNS	_	8	conj	_	_
16	and	_	CC	CC	_	8	cc	_	_
