1	Our	_	PRP$	PRP$	_	2	poss	_	_
2	trip	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	great	_	JJ	JJ	_	11	ccomp	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	Alamo	_	NNP	NNP	_	8	nn	_	_
7	rental	_	JJ	JJ	_	8	amod	_	_
8	car	_	NN	NN	_	5	pobj	_	_
9	,	_	,	,	_	0	erased	_	_
10	they	_	PRP	PRP	_	11	nsubj	_	_
11	went	_	VBD	VBD	_	0	root	_	_
12	out	_	RP	RP	_	11	prt	_	_
13	of	_	IN	IN	_	11	prep	_	_
14	there	_	RB	RB	_	15	advmod	_	_
15	way	_	NN	NN	_	13	pobj	_	_
16	to	_	TO	TO	_	17	aux	_	_
17	make	_	VB	VB	_	11	xcomp	_	_
18	us	_	PRP	PRP	_	19	nsubj	_	_
19	feel	_	VB	VB	_	17	ccomp	_	_
20	welcome	_	JJ	JJ	_	19	acomp	_	_
21	to	_	TO	TO	_	20	prep	_	_
22	Chicago	_	NNP	NNP	_	21	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	root	_	_
3	us	_	PRP	PRP	_	2	dobj	_	_
4	from	_	IN	IN	_	2	prep	_	_
5	airport	_	NN	NN	_	4	pobj	_	_
6	to	_	TO	TO	_	2	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	rental	_	JJ	JJ	_	9	amod	_	_
9	lot	_	NN	NN	_	6	pobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	no	_	DT	DT	_	12	neg	_	_
12	time	_	NN	NN	_	10	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	was	_	VBD	VBD	_	16	aux	_	_
16	traveling	_	VBG	VBG	_	2	conj	_	_
17	in	_	IN	IN	_	16	prep	_	_
18	a	_	DT	DT	_	19	det	_	_
19	wheelchair	_	NN	NN	_	17	pobj	_	_
20	due	_	JJ	JJ	_	19	amod	_	_
21	to	_	TO	TO	_	20	prep	_	_
22	a	_	DT	DT	_	25	det	_	_
23	recent	_	JJ	JJ	_	25	amod	_	_
24	leg	_	NN	NN	_	25	nn	_	_
25	amputation	_	NN	NN	_	21	pobj	_	_
26	and	_	CC	CC	_	16	cc	_	_
27	was	_	VBD	VBD	_	29	auxpass	_	_
28	totally	_	RB	RB	_	29	advmod	_	_
29	treated	_	VBN	VBN	_	16	conj	_	_
30	with	_	IN	IN	_	29	prep	_	_
31	respect	_	NN	NN	_	30	pobj	_	_
32	and	_	CC	CC	_	2	cc	_	_
33	we	_	PRP	PRP	_	35	nsubj	_	_
34	even	_	RB	RB	_	35	advmod	_	_
35	got	_	VBD	VBD	_	2	conj	_	_
36	a	_	DT	DT	_	38	det	_	_
37	car	_	NN	NN	_	38	nn	_	_
38	upgrade	_	NN	NN	_	35	dobj	_	_
39	to	_	TO	TO	_	40	aux	_	_
40	make	_	VB	VB	_	35	vmod	_	_
41	getting	_	VBG	VBG	_	40	xcomp	_	_
42	around	_	IN	IN	_	41	prep	_	_
43	easier	_	RBR	RBR	_	42	pobj	_	_
44	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	alamo	_	JJ	JJ	_	1	xcomp	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	having	_	VBG	VBG	_	4	pcomp	_	_
6	a	_	DT	DT	_	8	det	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	staff	_	NN	NN	_	5	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

