1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	there	_	EX	EX	_	8	expl	_	_
7	this	_	DT	DT	_	8	det	_	_
8	weekend	_	NN	NN	_	5	dep	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	it	_	PRP	PRP	_	14	nsubj	_	_
11	was	_	VBD	VBD	_	14	cop	_	_
12	a	_	DT	DT	_	14	det	_	_
13	great	_	JJ	JJ	_	14	amod	_	_
14	experience	_	NN	NN	_	8	conj	_	_
15	.	_	.	.	_	0	erased	_	_
16	.	_	.	.	_	0	erased	_	_
17	kind	_	NN	NN	_	18	nn	_	_
18	staff	_	NN	NN	_	5	dep	_	_
19	it	_	PRP	PRP	_	21	nsubj	_	_
20	was	_	VBD	VBD	_	21	cop	_	_
21	valentines	_	JJ	JJ	_	18	rcmod	_	_
22	weekend	_	NN	NN	_	21	dep	_	_
23	.	_	.	.	_	0	erased	_	_

1	When	_	WRB	WRB	_	3	advmod	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	checked	_	VBD	VBD	_	6	advcl	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	they	_	PRP	PRP	_	4	pobj	_	_
6	gave	_	VBD	VBD	_	0	root	_	_
7	me	_	PRP	PRP	_	9	nsubj	_	_
8	a	_	DT	DT	_	7	dep	_	_
9	rose	_	VBD	VBD	_	6	dep	_	_
10	and	_	CC	CC	_	9	cc	_	_
11	they	_	PRP	PRP	_	13	nsubj	_	_
12	also	_	RB	RB	_	13	advmod	_	_
13	had	_	VBD	VBD	_	9	conj	_	_
14	champagne	_	NN	NN	_	13	dobj	_	_
15	with	_	IN	IN	_	14	prep	_	_
16	strawberries	_	NNS	NNS	_	15	pobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	very	_	RB	RB	_	2	advmod	_	_
2	close	_	JJ	JJ	_	0	root	_	_
3	to	_	TO	TO	_	2	prep	_	_
4	water	_	NN	NN	_	6	nn	_	_
5	tower	_	NN	NN	_	6	nn	_	_
6	place	_	NN	NN	_	3	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	walking	_	VBG	VBG	_	9	amod	_	_
9	distance	_	NN	NN	_	6	conj	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	Mike	_	NNP	NNP	_	12	nn	_	_
12	Ditkas	_	NNPS	NNPS	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	nice	_	JJ	JJ	_	2	amod	_	_
2	boutique	_	NN	NN	_	0	root	_	_
3	hotel	_	NN	NN	_	2	dep	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	great	_	JJ	JJ	_	6	amod	_	_
6	location	_	NN	NN	_	3	conj	_	_
7	.	_	.	.	_	0	erased	_	_

