1	My	_	PRP$	PRP$	_	2	poss	_	_
2	boyfriend	_	NN	NN	_	6	nsubjpass	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	were	_	VBD	VBD	_	6	auxpass	_	_
6	amazed	_	VBN	VBN	_	0	root	_	_
7	by	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	breathtaking	_	JJ	JJ	_	10	amod	_	_
10	view	_	NN	NN	_	7	pobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	Lake	_	NNP	NNP	_	13	nn	_	_
13	Michigan	_	NNP	NNP	_	11	pobj	_	_
14	!	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	from	_	IN	IN	_	2	prep	_	_
4	Texas	_	NNP	NNP	_	3	pobj	_	_
5	so	_	IN	IN	_	13	mark	_	_
6	the	_	DT	DT	_	7	det	_	_
7	view	_	NN	NN	_	13	nsubj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	city	_	NN	NN	_	8	pobj	_	_
11	was	_	VBD	VBD	_	13	cop	_	_
12	very	_	RB	RB	_	13	advmod	_	_
13	important	_	JJ	JJ	_	2	advcl	_	_
14	to	_	TO	TO	_	13	prep	_	_
15	us	_	PRP	PRP	_	14	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	root	_	_
3	no	_	DT	DT	_	4	neg	_	_
4	problems	_	NNS	NNS	_	2	dobj	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	this	_	DT	DT	_	7	det	_	_
7	hotel	_	NN	NN	_	5	pobj	_	_
8	...	_	:	:	_	0	erased	_	_
9	rooms	_	NNS	NNS	_	16	nsubj	_	_
10	,	_	,	,	_	0	erased	_	_
11	service	_	NN	NN	_	9	appos	_	_
12	,	_	,	,	_	0	erased	_	_
13	location	_	NN	NN	_	11	appos	_	_
14	were	_	VBD	VBD	_	16	cop	_	_
15	top	_	JJ	JJ	_	16	amod	_	_
16	notch	_	NNS	NNS	_	2	parataxis	_	_
17	.	_	.	.	_	0	erased	_	_

