1	Hey	_	UH	UH	_	6	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	it	_	PRP	PRP	_	6	nsubj	_	_
4	's	_	VBZ	VBZ	_	6	cop	_	_
5	public	_	JJ	JJ	_	6	amod	_	_
6	transportation	_	NN	NN	_	0	root	_	_
7	so	_	IN	IN	_	6	dep	_	_
8	you	_	PRP	PRP	_	9	nsubj	_	_
9	have	_	VBP	VBP	_	6	parataxis	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	put	_	VB	VB	_	9	xcomp	_	_
12	up	_	RP	RP	_	11	prt	_	_
13	with	_	IN	IN	_	11	prep	_	_
14	certain	_	JJ	JJ	_	15	amod	_	_
15	things	_	NNS	NNS	_	13	pobj	_	_
16	but	_	CC	CC	_	6	cc	_	_
17	I	_	PRP	PRP	_	19	nsubj	_	_
18	've	_	VBP	VBP	_	19	aux	_	_
19	been	_	VBN	VBN	_	6	conj	_	_
20	on	_	IN	IN	_	19	prep	_	_
21	all	_	PDT	PDT	_	23	predet	_	_
22	the	_	DT	DT	_	23	det	_	_
23	lines	_	NNS	NNS	_	20	pobj	_	_
24	in	_	IN	IN	_	23	prep	_	_
25	Chicago	_	NNP	NNP	_	24	pobj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	trains	_	NNS	NNS	_	25	conj	_	_
28	in	_	IN	IN	_	19	prep	_	_
29	DC	_	NNP	NNP	_	28	pobj	_	_
30	,	_	,	,	_	0	erased	_	_
31	NYC	_	NNP	NNP	_	29	conj	_	_
32	,	_	,	,	_	0	erased	_	_
33	Atlanta	_	NNP	NNP	_	29	conj	_	_
34	and	_	CC	CC	_	29	cc	_	_
35	LA.	_	NNP	NNP	_	29	conj	_	_
36	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	brown	_	JJ	JJ	_	3	amod	_	_
3	line	_	NN	NN	_	4	nsubj	_	_
4	measures	_	VBZ	VBZ	_	0	root	_	_
5	up	_	RB	RB	_	6	advmod	_	_
6	nicely	_	RB	RB	_	4	advmod	_	_
7	.	_	.	.	_	0	erased	_	_

1	Mostly	_	RB	RB	_	3	advmod	_	_
2	cool	_	JJ	JJ	_	3	amod	_	_
3	people	_	NNS	NNS	_	8	nsubj	_	_
4	who	_	WP	WP	_	6	nsubj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	courteous	_	JJ	JJ	_	3	rcmod	_	_
7	,	_	,	,	_	0	erased	_	_
8	polite	_	VBZ	VBZ	_	0	root	_	_
9	,	_	,	,	_	0	erased	_	_
10	and	_	CC	CC	_	8	cc	_	_
11	will	_	MD	MD	_	13	aux	_	_
12	even	_	RB	RB	_	13	advmod	_	_
13	vacate	_	VB	VB	_	8	conj	_	_
14	their	_	PRP$	PRP$	_	15	poss	_	_
15	seat	_	NN	NN	_	13	dobj	_	_
16	for	_	IN	IN	_	13	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	pregnant	_	JJ	JJ	_	19	amod	_	_
19	woman	_	NN	NN	_	16	pobj	_	_
20	or	_	CC	CC	_	19	cc	_	_
21	a	_	DT	DT	_	22	det	_	_
22	person	_	NN	NN	_	19	conj	_	_
23	on	_	IN	IN	_	13	prep	_	_
24	crutches	_	NNS	NNS	_	23	pobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	usually	_	RB	RB	_	4	advmod	_	_
4	clean	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	has	_	VBZ	VBZ	_	4	conj	_	_
7	decent	_	JJ	JJ	_	9	amod	_	_
8	air	_	NN	NN	_	9	nn	_	_
9	conditioning	_	NN	NN	_	6	dobj	_	_
10	in	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	summer	_	NN	NN	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	much	_	RB	RB	_	3	advmod	_	_
3	prefer	_	VBP	VBP	_	0	root	_	_
4	it	_	PRP	PRP	_	3	dobj	_	_
5	to	_	TO	TO	_	3	prep	_	_
6	driving	_	VBG	VBG	_	5	pcomp	_	_
7	to	_	TO	TO	_	6	prep	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	from	_	IN	IN	_	7	conj	_	_
10	the	_	DT	DT	_	11	det	_	_
11	loop	_	NN	NN	_	7	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

