1	My	_	PRP$	PRP$	_	3	poss	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	time	_	NN	NN	_	4	nsubj	_	_
4	using	_	VBG	VBG	_	0	root	_	_
5	RelayRides	_	NNS	NNS	_	4	dobj	_	_
6	-	_	:	:	_	0	erased	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	rented	_	VBZ	VBZ	_	4	parataxis	_	_
9	a	_	DT	DT	_	10	det	_	_
10	truck	_	NN	NN	_	8	dobj	_	_
11	to	_	TO	TO	_	12	aux	_	_
12	pick	_	VB	VB	_	10	vmod	_	_
13	up	_	RP	RP	_	12	prt	_	_
14	a	_	DT	DT	_	15	det	_	_
15	couch	_	NN	NN	_	12	dobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	some	_	DT	DT	_	18	det	_	_
18	stuff	_	NN	NN	_	15	conj	_	_
19	from	_	IN	IN	_	12	prep	_	_
20	Ikea	_	NNP	NNP	_	19	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	Everything	_	NNP	NNP	_	2	nsubj	_	_
2	went	_	VBD	VBD	_	0	root	_	_
3	really	_	RB	RB	_	2	advmod	_	_
4	smoothly	_	RB	RB	_	2	advmod	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	owner	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	friendly	_	JJ	JJ	_	11	ccomp	_	_
5	,	_	,	,	_	0	erased	_	_
6	the	_	DT	DT	_	7	det	_	_
7	pickup	_	NN	NN	_	11	nsubj	_	_
8	and	_	CC	CC	_	7	cc	_	_
9	dropoff	_	NN	NN	_	7	conj	_	_
10	were	_	VBD	VBD	_	11	cop	_	_
11	smooth	_	JJ	JJ	_	0	root	_	_
12	,	_	,	,	_	0	erased	_	_
13	etc.	_	FW	FW	_	11	appos	_	_
14	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	wished	_	VBD	VBD	_	0	root	_	_
3	there	_	EX	EX	_	4	expl	_	_
4	were	_	VBD	VBD	_	2	ccomp	_	_
5	a	_	DT	DT	_	8	det	_	_
6	few	_	JJ	JJ	_	8	amod	_	_
7	more	_	JJR	JJR	_	8	amod	_	_
8	options	_	NNS	NNS	_	4	nsubj	_	_
9	for	_	IN	IN	_	4	prep	_	_
10	trucks	_	NNS	NNS	_	9	pobj	_	_
11	closer	_	RBR	RBR	_	10	advmod	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	me	_	PRP	PRP	_	12	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	but	_	CC	CC	_	2	cc	_	_
16	hopefully	_	RB	RB	_	19	advmod	_	_
17	that	_	DT	DT	_	19	nsubj	_	_
18	will	_	MD	MD	_	19	aux	_	_
19	change	_	VB	VB	_	2	conj	_	_
20	in	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	future	_	NN	NN	_	20	pobj	_	_
23	.	_	.	.	_	0	erased	_	_

