1	Hello	_	UH	UH	_	2	discourse	_	_
2	Liz	_	VB	VB	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	Good	_	NNP	NNP	_	2	dobj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	know	_	VB	VB	_	2	xcomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	the	_	DT	DT	_	10	det	_	_
9	complimentary	_	JJ	JJ	_	10	amod	_	_
10	items	_	NNS	NNS	_	7	pobj	_	_
11	.	_	.	.	_	0	erased	_	_

1	Thank	_	VB	VB	_	0	root	_	_
2	you	_	PRP	PRP	_	1	dobj	_	_
3	for	_	IN	IN	_	1	prep	_	_
4	your	_	PRP$	PRP$	_	5	poss	_	_
5	response	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	did	_	VBD	VBD	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	know	_	VB	VB	_	0	root	_	_
5	you	_	PRP	PRP	_	6	nsubj	_	_
6	had	_	VBD	VBD	_	4	ccomp	_	_
7	free	_	JJ	JJ	_	6	advmod	_	_
8	tooth	_	NN	NN	_	7	dep	_	_
9	brushes	_	NNS	NNS	_	16	nn	_	_
10	,	_	,	,	_	0	erased	_	_
11	combs	_	NNS	NNS	_	9	conj	_	_
12	,	_	,	,	_	0	erased	_	_
13	gel	_	NN	NN	_	9	conj	_	_
14	and	_	CC	CC	_	9	cc	_	_
15	tooth	_	NN	NN	_	9	conj	_	_
16	paste	_	NN	NN	_	6	dobj	_	_
17	at	_	IN	IN	_	16	prep	_	_
18	the	_	DT	DT	_	20	det	_	_
19	front	_	JJ	JJ	_	20	amod	_	_
20	desk	_	NN	NN	_	17	pobj	_	_
21	nor	_	CC	CC	_	4	cc	_	_
22	did	_	VBD	VBD	_	4	conj	_	_
23	your	_	PRP$	PRP$	_	24	poss	_	_
24	staff	_	NN	NN	_	22	dobj	_	_
25	at	_	IN	IN	_	22	prep	_	_
26	the	_	DT	DT	_	28	det	_	_
27	gift	_	NN	NN	_	28	nn	_	_
28	shop	_	NN	NN	_	25	pobj	_	_
