1	Oh	_	UH	UH	_	3	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	Elysian	_	VB	VB	_	0	root	_	_
4	,	_	,	,	_	0	erased	_	_
5	how	_	WRB	WRB	_	7	advmod	_	_
6	I	_	PRP	PRP	_	7	nsubj	_	_
7	love	_	VBP	VBP	_	3	ccomp	_	_
8	thee	_	PRP	PRP	_	7	dobj	_	_
9	!	_	.	.	_	0	erased	_	_

1	Let	_	VB	VB	_	0	root	_	_
2	me	_	PRP	PRP	_	3	nsubj	_	_
3	count	_	VBZ	VBZ	_	1	ccomp	_	_
4	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
5	some	_	DT	DT	_	3	dep	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
8	the	_	DT	DT	_	9	det	_	_
9	ways	_	NNS	NNS	_	3	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	1	_	JJ	JJ	_	3	dep	_	_
2	.	_	.	.	_	0	erased	_	_
3	-RRB-	_	NNP	NNP	_	0	erased	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	blow	_	VB	VB	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	competition	_	NN	NN	_	2	dobj	_	_
5	out	_	RB	RB	_	6	advmod	_	_
6	of	_	IN	IN	_	4	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	water	_	NN	NN	_	6	pobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Many	_	JJ	JJ	_	2	amod	_	_
2	lust	_	NN	NN	_	0	root	_	_
3	after	_	IN	IN	_	2	prep	_	_
4	you	_	PRP	PRP	_	3	pobj	_	_
5	.	_	.	.	_	0	erased	_	_

1	Maybe	_	RB	RB	_	6	advmod	_	_
2	it	_	PRP	PRP	_	6	nsubj	_	_
3	's	_	VBZ	VBZ	_	6	cop	_	_
4	your	_	PRP$	PRP$	_	6	poss	_	_
5	ample	_	JJ	JJ	_	6	amod	_	_
6	amenities	_	NNS	NNS	_	0	root	_	_
7	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
8	including	_	VBG	VBG	_	6	prep	_	_
9	two	_	CD	CD	_	11	num	_	_
10	excellent	_	JJ	JJ	_	11	amod	_	_
11	restaurants	_	NNS	NNS	_	8	pobj	_	_
12	,	_	,	,	_	0	erased	_	_
13	one	_	CD	CD	_	16	nsubj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	which	_	WDT	WDT	_	14	pobj	_	_
16	has	_	VBZ	VBZ	_	11	rcmod	_	_
17	2	_	CD	CD	_	19	num	_	_
18	Michelin	_	NNP	NNP	_	19	nn	_	_
19	stars	_	NNS	NNS	_	16	dobj	_	_
20	!	_	.	.	_	0	erased	_	_
21	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
22	or	_	CC	CC	_	6	cc	_	_
23	the	_	DT	DT	_	24	det	_	_
24	fact	_	NN	NN	_	6	conj	_	_
25	that	_	IN	IN	_	28	mark	_	_
26	you	_	PRP	PRP	_	28	nsubj	_	_
27	're	_	VBP	VBP	_	28	cop	_	_
28	larger	_	JJR	JJR	_	24	dep	_	_
29	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
30	in	_	IN	IN	_	28	dep	_	_
31	terms	_	NNS	NNS	_	30	pobj	_	_
32	of	_	IN	IN	_	31	prep	_	_
33	guestroom	_	NN	NN	_	34	nn	_	_
34	size	_	NN	NN	_	32	pobj	_	_
35	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
36	than	_	IN	IN	_	28	prep	_	_
37	most	_	JJS	JJS	_	36	pobj	_	_
38	.	_	.	.	_	0	erased	_	_

1	Or	_	CC	CC	_	4	cc	_	_
2	maybe	_	RB	RB	_	4	advmod	_	_
3	it	_	PRP	PRP	_	4	nsubj	_	_
4	's	_	VBZ	VBZ	_	0	root	_	_
5	because	_	IN	IN	_	8	mark	_	_
6	you	_	PRP	PRP	_	8	nsubj	_	_
7	're	_	VBP	VBP	_	8	cop	_	_
8	young	_	JJ	JJ	_	4	advcl	_	_
9	,	_	,	,	_	0	erased	_	_
10	having	_	VBG	VBG	_	12	aux	_	_
11	just	_	RB	RB	_	12	advmod	_	_
12	opened	_	VBN	VBN	_	8	xcomp	_	_
13	your	_	PRP$	PRP$	_	14	poss	_	_
14	doors	_	NNS	NNS	_	12	dobj	_	_
