1	This	_	DT	DT	_	2	det	_	_
2	hotel	_	NN	NN	_	5	nsubj	_	_
3	is	_	VBZ	VBZ	_	5	cop	_	_
4	absolutely	_	RB	RB	_	5	advmod	_	_
5	fantastic	_	JJ	JJ	_	0	root	_	_
6	!	_	.	.	_	0	erased	_	_

1	Very	_	RB	RB	_	2	advmod	_	_
2	clean	_	VB	VB	_	0	root	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	updated	_	VB	VB	_	2	conj	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	gorgeous	_	JJ	JJ	_	7	amod	_	_
7	interiors	_	NNS	NNS	_	5	pobj	_	_
8	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	felt	_	VBD	VBD	_	0	root	_	_
3	like	_	IN	IN	_	6	mark	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	was	_	VBD	VBD	_	6	aux	_	_
6	staying	_	VBG	VBG	_	2	advcl	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	someone	_	NN	NN	_	11	poss	_	_
9	's	_	POS	POS	_	8	possessive	_	_
10	guest	_	NN	NN	_	11	nn	_	_
11	room	_	NN	NN	_	7	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

1	Ca	_	MD	MD	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	wait	_	VB	VB	_	0	root	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	come	_	VB	VB	_	3	xcomp	_	_
6	back	_	RP	RP	_	5	prt	_	_
7	to	_	TO	TO	_	5	prep	_	_
8	Chicago	_	NNP	NNP	_	7	pobj	_	_
9	and	_	CC	CC	_	5	cc	_	_
10	stay	_	VB	VB	_	5	conj	_	_
11	here	_	RB	RB	_	10	advmod	_	_
12	.	_	.	.	_	0	erased	_	_

