1	My	_	PRP$	PRP$	_	3	poss	_	_
2	significant	_	JJ	JJ	_	3	amod	_	_
3	other	_	JJ	JJ	_	7	nsubj	_	_
4	and	_	CC	CC	_	3	cc	_	_
5	I	_	PRP	PRP	_	3	conj	_	_
6	recently	_	RB	RB	_	7	advmod	_	_
7	spent	_	VBD	VBD	_	0	root	_	_
8	3	_	CD	CD	_	9	num	_	_
9	nights	_	NNS	NNS	_	7	tmod	_	_
10	at	_	IN	IN	_	7	prep	_	_
11	The	_	DT	DT	_	12	det	_	_
12	James	_	NNP	NNP	_	10	pobj	_	_
13	and	_	CC	CC	_	10	cc	_	_
14	on	_	IN	IN	_	10	conj	_	_
15	the	_	DT	DT	_	17	det	_	_
16	last	_	JJ	JJ	_	17	amod	_	_
17	day	_	NN	NN	_	14	pobj	_	_
18	I	_	PRP	PRP	_	19	nsubj	_	_
19	said	_	VBD	VBD	_	17	rcmod	_	_
20	,	_	,	,	_	0	erased	_	_
21	``	_	``	``	_	0	erased	_	_
22	I	_	PRP	PRP	_	23	nsubj	_	_
23	wish	_	VBP	VBP	_	19	ccomp	_	_
24	we	_	PRP	PRP	_	26	nsubj	_	_
25	could	_	MD	MD	_	26	aux	_	_
26	stay	_	VB	VB	_	23	ccomp	_	_
27	longer	_	RB	RB	_	26	advmod	_	_
28	''	_	''	''	_	0	erased	_	_
29	.	_	.	.	_	0	erased	_	_

1	That	_	DT	DT	_	2	dep	_	_
2	good	_	JJ	JJ	_	0	root	_	_
3	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	immaculate	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	a	_	DT	DT	_	9	det	_	_
7	very	_	RB	RB	_	8	advmod	_	_
8	pleasant	_	VBN	VBN	_	9	amod	_	_
9	surprise	_	NN	NN	_	4	conj	_	_
10	from	_	IN	IN	_	9	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	moment	_	NN	NN	_	10	pobj	_	_
13	you	_	PRP	PRP	_	14	nsubj	_	_
14	open	_	VBP	VBP	_	12	rcmod	_	_
15	the	_	DT	DT	_	16	det	_	_
16	door	_	NN	NN	_	14	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	Everything	_	NNP	NNP	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	high	_	JJ	JJ	_	4	amod	_	_
4	tech	_	NN	NN	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Plasma	_	NNP	NNP	_	2	nn	_	_
2	TV	_	NNP	NNP	_	0	root	_	_
3	,	_	,	,	_	0	erased	_	_
4	CD/Radio	_	NNP	NNP	_	2	appos	_	_
5	,	_	,	,	_	0	erased	_	_
6	Projection	_	JJ	JJ	_	8	amod	_	_
7	alarm	_	NN	NN	_	8	nn	_	_
8	clock	_	NN	NN	_	4	appos	_	_
9	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
10	love	_	NN	NN	_	8	dep	_	_
11	that	_	WDT	WDT	_	14	nsubj	_	_
12	so	_	RB	RB	_	13	advmod	_	_
13	much	_	RB	RB	_	14	advmod	_	_
14	bought	_	VBD	VBD	_	10	rcmod	_	_
15	one	_	CD	CD	_	14	dobj	_	_
16	today	_	NN	NN	_	14	tmod	_	_
17	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
18	.	_	.	.	_	0	erased	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	wanted	_	VBD	VBD	_	20	csubj	_	_
4	room	_	NN	NN	_	5	nn	_	_
5	service	_	NN	NN	_	3	dobj	_	_
6	you	_	PRP	PRP	_	7	nsubj	_	_
7	got	_	VBD	VBD	_	5	rcmod	_	_
8	it	_	PRP	PRP	_	7	dobj	_	_
9	from	_	IN	IN	_	7	prep	_	_
10	David	_	NNP	NNP	_	11	nn	_	_
11	Burke	_	NNP	NNP	_	9	pobj	_	_
12	and	_	CC	CC	_	11	cc	_	_
13	the	_	DT	DT	_	15	det	_	_
14	mini	_	JJ	JJ	_	15	amod	_	_
15	bar	_	NN	NN	_	11	conj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	liquor	_	NN	NN	_	18	nn	_	_
18	selection	_	NN	NN	_	15	conj	_	_
19	was	_	VBD	VBD	_	20	cop	_	_
20	plentiful	_	JJ	JJ	_	0	root	_	_
21	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	3	nsubj	_	_
2	even	_	RB	RB	_	3	advmod	_	_
3	have	_	VBP	VBP	_	0	root	_	_
4	a	_	DT	DT	_	8	det	_	_
5	four	_	CD	CD	_	8	num	_	_
6	legged	_	NN	NN	_	8	nn	_	_
7	friend	_	NN	NN	_	8	nn	_	_
8	menu	_	NN	NN	_	3	dobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bathroom	_	NN	NN	_	4	nsubjpass	_	_
3	was	_	VBD	VBD	_	4	auxpass	_	_
4	pleasant	_	VBN	VBN	_	0	root	_	_
5	with	_	IN	IN	_	4	prep	_	_
6	bathrobes/slippers	_	NNS	NNS	_	5	pobj	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	upscale	_	JJ	JJ	_	9	amod	_	_
9	products	_	NNS	NNS	_	6	conj	_	_
10	provided	_	VBN	VBN	_	9	vmod	_	_
11	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bed	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	the	_	DT	DT	_	5	det	_	_
