1	One	_	CD	CD	_	2	num	_	_
2	word	_	NN	NN	_	3	nsubj	_	_
3	describes	_	VBZ	VBZ	_	0	root	_	_
4	this	_	DT	DT	_	5	det	_	_
5	hotel	_	NN	NN	_	3	dobj	_	_
6	to	_	TO	TO	_	3	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	T	_	NNP	NNP	_	6	pobj	_	_
9	:	_	:	:	_	0	erased	_	_
10	sleek	_	RB	RB	_	3	advmod	_	_
11	.	_	.	.	_	0	erased	_	_

1	From	_	IN	IN	_	5	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	moment	_	NN	NN	_	1	pobj	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	walk	_	VBP	VBP	_	12	dep	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	9	det	_	_
8	lobby	_	NN	NN	_	9	nn	_	_
9	door	_	NN	NN	_	6	pobj	_	_
10	you	_	PRP	PRP	_	12	nsubjpass	_	_
11	are	_	VBP	VBP	_	12	auxpass	_	_
12	surrounded	_	VBN	VBN	_	0	root	_	_
13	by	_	IN	IN	_	12	prep	_	_
14	modern	_	JJ	JJ	_	15	amod	_	_
15	touches	_	NNS	NNS	_	13	pobj	_	_
16	and	_	CC	CC	_	15	cc	_	_
17	a	_	DT	DT	_	19	det	_	_
18	friendly	_	JJ	JJ	_	19	amod	_	_
19	staff	_	NN	NN	_	15	conj	_	_
20	to	_	TO	TO	_	12	prep	_	_
21	boot	_	NN	NN	_	20	pobj	_	_
22	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	5	nsubj	_	_
3	are	_	VBP	VBP	_	5	cop	_	_
4	relatively	_	RB	RB	_	5	advmod	_	_
5	spacious	_	JJ	JJ	_	0	root	_	_
6	for	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	9	det	_	_
8	downtown	_	NN	NN	_	9	nn	_	_
9	hotel	_	NN	NN	_	6	pobj	_	_
10	,	_	,	,	_	0	erased	_	_
11	and	_	CC	CC	_	5	cc	_	_
12	the	_	DT	DT	_	13	det	_	_
13	furnishings	_	NNS	NNS	_	16	nsubj	_	_
14	are	_	VBP	VBP	_	16	cop	_	_
15	very	_	RB	RB	_	16	advmod	_	_
16	luxurious	_	JJ	JJ	_	5	conj	_	_
17	.	_	.	.	_	0	erased	_	_

1	After	_	IN	IN	_	3	mark	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
