1	Parked	_	VBN	VBN	_	10	csubj	_	_
2	at	_	IN	IN	_	1	prep	_	_
3	the	_	DT	DT	_	4	det	_	_
4	Dunes	_	NNPS	NNPS	_	2	pobj	_	_
5	and	_	CC	CC	_	1	cc	_	_
6	took	_	VBD	VBD	_	1	conj	_	_
7	the	_	DT	DT	_	8	det	_	_
8	hour	_	NN	NN	_	6	dobj	_	_
9	long	_	RB	RB	_	6	advmod	_	_
10	ride	_	VBP	VBP	_	0	root	_	_
11	to	_	TO	TO	_	10	prep	_	_
12	Millenium	_	NNP	NNP	_	13	nn	_	_
13	Station	_	NNP	NNP	_	11	pobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	Very	_	RB	RB	_	2	advmod	_	_
2	comfortable	_	JJ	JJ	_	6	ccomp	_	_
3	,	_	,	,	_	0	erased	_	_
4	announcements	_	NNS	NNS	_	6	nsubj	_	_
5	were	_	VBD	VBD	_	6	cop	_	_
6	loud	_	JJ	JJ	_	11	ccomp	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	clear	_	JJ	JJ	_	6	conj	_	_
9	,	_	,	,	_	0	erased	_	_
10	conductor	_	NN	NN	_	11	nsubj	_	_
11	came	_	VBD	VBD	_	0	root	_	_
12	by	_	IN	IN	_	11	prep	_	_
13	frequently	_	RB	RB	_	12	pcomp	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	collect	_	VB	VB	_	11	xcomp	_	_
16	tickets/cash	_	NN	NN	_	15	dobj	_	_
17	.	_	.	.	_	0	erased	_	_

1	$	_	$	$	_	20	nsubj	_	_
2	7.50	_	CD	CD	_	1	num	_	_
3	one	_	CD	CD	_	4	npadvmod	_	_
4	way	_	RB	RB	_	5	advmod	_	_
5	for	_	IN	IN	_	1	rcmod	_	_
6	one	_	CD	CD	_	7	num	_	_
7	person	_	NN	NN	_	5	pobj	_	_
8	-	_	:	:	_	0	erased	_	_
9	not	_	RB	RB	_	10	neg	_	_
10	bad	_	JJ	JJ	_	1	dep	_	_
11	for	_	IN	IN	_	10	prep	_	_
12	a	_	DT	DT	_	14	det	_	_
13	relaxing	_	JJ	JJ	_	14	amod	_	_
14	ride	_	NN	NN	_	11	pobj	_	_
15	and	_	CC	CC	_	14	cc	_	_
16	no	_	DT	DT	_	18	neg	_	_
17	driving/parking	_	VBG	VBG	_	18	amod	_	_
18	headaches	_	NNS	NNS	_	14	conj	_	_
19	-	_	:	:	_	0	erased	_	_
20	try	_	VBP	VBP	_	0	root	_	_
21	to	_	TO	TO	_	22	aux	_	_
22	drive	_	VB	VB	_	20	xcomp	_	_
23	and	_	CC	CC	_	22	cc	_	_
24	park	_	VB	VB	_	22	conj	_	_
25	in	_	IN	IN	_	22	prep	_	_
26	less	_	JJR	JJR	_	27	mwe	_	_
27	than	_	IN	IN	_	29	quantmod	_	_
28	an	_	DT	DT	_	29	quantmod	_	_
29	hour	_	NN	NN	_	30	num	_	_
30	!!!	_	NNS	NNS	_	25	pobj	_	_

