1	Thieves	_	UH	UH	_	3	discourse	_	_
2	!	_	.	.	_	0	erased	_	_
3	Made	_	VB	VB	_	0	root	_	_
4	the	_	DT	DT	_	5	det	_	_
5	mistake	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	leaving	_	VBG	VBG	_	6	pcomp	_	_
8	my	_	PRP$	PRP$	_	9	poss	_	_
9	cellphone	_	NN	NN	_	7	dobj	_	_
10	in	_	IN	IN	_	7	prep	_	_
11	my	_	PRP$	PRP$	_	12	poss	_	_
12	car	_	NN	NN	_	10	pobj	_	_
13	as	_	IN	IN	_	16	mark	_	_
14	I	_	PRP	PRP	_	16	nsubj	_	_
15	was	_	VBD	VBD	_	16	aux	_	_
16	valeting	_	VBG	VBG	_	3	advcl	_	_
17	the	_	DT	DT	_	18	det	_	_
18	car	_	NN	NN	_	16	dobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	12	_	CD	CD	_	2	num	_	_
2	hours	_	NNS	NNS	_	3	npadvmod	_	_
3	later	_	RB	RB	_	5	advmod	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	come	_	VBP	VBP	_	0	root	_	_
6	back	_	RB	RB	_	5	advmod	_	_
7	-	_	:	:	_	0	erased	_	_
8	no	_	DT	DT	_	9	neg	_	_
9	phone	_	NN	NN	_	5	dobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	Management	_	NNP	NNP	_	3	dep	_	_
2	completely	_	RB	RB	_	3	advmod	_	_
3	indifferent	_	JJ	JJ	_	0	root	_	_
4	.	_	.	.	_	0	erased	_	_

1	Issue	_	NNP	NNP	_	2	nsubj	_	_
2	remains	_	VBZ	VBZ	_	0	root	_	_
3	unresolved	_	JJ	JJ	_	2	acomp	_	_
4	.	_	.	.	_	0	erased	_	_

1	Maybe	_	RB	RB	_	2	dep	_	_
2	it	_	PRP	PRP	_	0	root	_	_
3	's	_	VBZ	VBZ	_	7	cop	_	_
4	my	_	PRP$	PRP$	_	7	poss	_	_
5	own	_	JJ	JJ	_	7	amod	_	_
6	stupid	_	JJ	JJ	_	7	amod	_	_
7	fault	_	NN	NN	_	2	rcmod	_	_
8	but	_	CC	CC	_	9	cc	_	_
9	at	_	IN	IN	_	7	prep	_	_
10	$	_	$	$	_	9	pobj	_	_
11	60	_	CD	CD	_	10	num	_	_
12	per	_	IN	IN	_	10	prep	_	_
13	night	_	NN	NN	_	12	pobj	_	_
14	for	_	IN	IN	_	7	prep	_	_
15	parking	_	VBG	VBG	_	14	pcomp	_	_
16	you	_	PRP	PRP	_	18	nsubj	_	_
17	would	_	MD	MD	_	18	aux	_	_
18	think	_	VB	VB	_	15	ccomp	_	_
19	you	_	PRP	PRP	_	22	nsubj	_	_
20	would	_	MD	MD	_	22	aux	_	_
21	be	_	VB	VB	_	22	cop	_	_
22	able	_	JJ	JJ	_	18	ccomp	_	_
23	to	_	TO	TO	_	24	aux	_	_
24	trust	_	VB	VB	_	22	xcomp	_	_
25	them	_	PRP	PRP	_	26	nsubj	_	_
26	w	_	VB	VB	_	24	ccomp	_	_
27	your	_	PRP$	PRP$	_	28	poss	_	_
28	vehicle	_	NN	NN	_	26	dobj	_	_
29	and	_	CC	CC	_	28	cc	_	_
30	personal	_	JJ	JJ	_	31	amod	_	_
31	property	_	NN	NN	_	28	conj	_	_

