1	Our	_	PRP$	PRP$	_	3	poss	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	outing	_	NN	NN	_	7	nsubj	_	_
4	with	_	IN	IN	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	team	_	NN	NN	_	4	pobj	_	_
7	ended	_	VBD	VBD	_	0	root	_	_
8	up	_	RP	RP	_	7	prt	_	_
9	being	_	VBG	VBG	_	12	cop	_	_
10	the	_	DT	DT	_	12	det	_	_
11	last	_	JJ	JJ	_	12	amod	_	_
12	event	_	NN	NN	_	7	xcomp	_	_
13	held	_	VBN	VBN	_	12	vmod	_	_
14	at	_	IN	IN	_	13	prep	_	_
15	the	_	DT	DT	_	18	det	_	_
16	Red	_	NNP	NNP	_	18	nn	_	_
17	Lion	_	NNP	NNP	_	18	nn	_	_
18	pub	_	NN	NN	_	14	pobj	_	_
19	on	_	IN	IN	_	18	prep	_	_
20	Lincoln	_	NNP	NNP	_	19	pobj	_	_
21	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	three	_	CD	CD	_	5	nsubj	_	_
3	of	_	IN	IN	_	2	prep	_	_
4	us	_	PRP	PRP	_	3	pobj	_	_
5	had	_	VBD	VBD	_	0	root	_	_
6	paranormal	_	JJ	JJ	_	7	amod	_	_
7	interests	_	NNS	NNS	_	5	dobj	_	_
8	,	_	,	,	_	0	erased	_	_
9	but	_	CC	CC	_	5	cc	_	_
10	still	_	RB	RB	_	11	advmod	_	_
11	had	_	VBD	VBD	_	5	conj	_	_
12	that	_	DT	DT	_	13	det	_	_
13	inkling	_	NN	NN	_	11	dobj	_	_
14	of	_	IN	IN	_	13	prep	_	_
15	doubt	_	NN	NN	_	14	pobj	_	_
16	because	_	IN	IN	_	20	mark	_	_
17	we	_	PRP	PRP	_	20	nsubj	_	_
18	'd	_	VBD	VBD	_	20	aux	_	_
19	never	_	RB	RB	_	20	neg	_	_
20	experienced	_	VBN	VBN	_	11	advcl	_	_
21	much	_	RB	RB	_	20	advmod	_	_
22	firsthand	_	RB	RB	_	20	advmod	_	_
23	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	can	_	MD	MD	_	3	aux	_	_
3	cut	_	VB	VB	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	chase	_	NN	NN	_	4	pobj	_	_
7	and	_	CC	CC	_	3	cc	_	_
8	say	_	VB	VB	_	3	conj	_	_
9	that	_	IN	IN	_	12	mark	_	_
10	we	_	PRP	PRP	_	12	nsubj	_	_
11	all	_	DT	DT	_	12	advmod	_	_
12	left	_	VBD	VBD	_	8	ccomp	_	_
13	without	_	IN	IN	_	12	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	doubt	_	NN	NN	_	13	pobj	_	_
16	.	_	.	.	_	0	erased	_	_

1	It	_	PRP	PRP	_	5	nsubj	_	_
2	was	_	VBD	VBD	_	5	cop	_	_
3	a	_	DT	DT	_	5	det	_	_
4	great	_	JJ	JJ	_	5	amod	_	_
5	experience	_	NN	NN	_	0	root	_	_
6	,	_	,	,	_	0	erased	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	Brian	_	NNP	NNP	_	17	nsubjpass	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	the	_	DT	DT	_	11	det	_	_
11	rest	_	NN	NN	_	8	conj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	the	_	DT	DT	_	15	det	_	_
14	CGI	_	NNP	NNP	_	15	nn	_	_
15	crew	_	NN	NN	_	12	pobj	_	_
16	is	_	VBZ	VBZ	_	17	auxpass	_	_
17	friendly	_	JJ	JJ	_	5	conj	_	_
18	,	_	,	,	_	0	erased	_	_
19	professional	_	JJ	JJ	_	17	dep	_	_
20	,	_	,	,	_	0	erased	_	_
21	and	_	CC	CC	_	17	cc	_	_
22	made	_	VBN	VBN	_	17	conj	_	_
23	this	_	DT	DT	_	24	dep	_	_
24	well	_	RB	RB	_	22	advmod	_	_
25	worth	_	IN	IN	_	22	prep	_	_
26	it	_	PRP	PRP	_	25	pobj	_	_
27	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubj	_	_
