1	My	_	PRP$	PRP$	_	2	poss	_	_
2	stay	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Hotel	_	NNP	NNP	_	3	nsubj	_	_
2	is	_	VBZ	VBZ	_	3	cop	_	_
3	close	_	JJ	JJ	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	everything	_	NN	NN	_	4	pobj	_	_
6	.	_	.	.	_	0	erased	_	_

1	Lots	_	NNS	NNS	_	0	root	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	history	_	NN	NN	_	2	pobj	_	_
4	in	_	IN	IN	_	1	prep	_	_
5	this	_	DT	DT	_	6	det	_	_
6	hotel	_	NN	NN	_	4	pobj	_	_
7	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	location	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	awesome	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	staff	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Rooms	_	NNS	NNS	_	4	nsubj	_	_
2	are	_	VBP	VBP	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	nice	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	view	_	NN	NN	_	4	nsubj	_	_
3	is	_	VBZ	VBZ	_	4	cop	_	_
4	great	_	JJ	JJ	_	0	root	_	_
5	and	_	CC	CC	_	4	cc	_	_
6	transportation	_	NN	NN	_	8	nsubj	_	_
7	is	_	VBZ	VBZ	_	8	cop	_	_
8	easy	_	JJ	JJ	_	4	conj	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	catch	_	VB	VB	_	8	xcomp	_	_
11	.	_	.	.	_	0	erased	_	_

