1	My	_	PRP$	PRP$	_	2	poss	_	_
2	wife	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	stayed	_	VBD	VBD	_	0	root	_	_
6	at	_	IN	IN	_	5	prep	_	_
7	this	_	DT	DT	_	8	det	_	_
8	hotel	_	NN	NN	_	6	pobj	_	_
9	at	_	IN	IN	_	5	prep	_	_
10	the	_	DT	DT	_	11	det	_	_
11	end	_	NN	NN	_	9	pobj	_	_
12	of	_	IN	IN	_	11	prep	_	_
13	May	_	NNP	NNP	_	12	pobj	_	_
14	,	_	,	,	_	0	erased	_	_
15	2009	_	CD	CD	_	13	amod	_	_
16	.	_	.	.	_	0	erased	_	_

1	She	_	PRP	PRP	_	2	nsubj	_	_
2	came	_	VBD	VBD	_	0	root	_	_
3	for	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	weekend	_	NN	NN	_	3	pobj	_	_
6	for	_	IN	IN	_	2	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	function	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	2	cc	_	_
10	we	_	PRP	PRP	_	11	nsubj	_	_
11	extended	_	VBD	VBD	_	2	conj	_	_
12	the	_	DT	DT	_	13	det	_	_
13	trip	_	NN	NN	_	11	dobj	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	take	_	VB	VB	_	13	vmod	_	_
16	in	_	IN	IN	_	15	prep	_	_
17	the	_	DT	DT	_	18	det	_	_
18	city	_	NN	NN	_	16	pobj	_	_
19	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	root	_	_
3	a	_	DT	DT	_	4	det	_	_
4	deal	_	NN	NN	_	2	dobj	_	_
5	on	_	IN	IN	_	2	prep	_	_
6	this	_	DT	DT	_	7	det	_	_
7	hotel	_	NN	NN	_	5	pobj	_	_
8	through	_	IN	IN	_	2	prep	_	_
9	TravelZoos	_	NNP	NNP	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	$	_	$	$	_	9	nsubj	_	_
2	249/night	_	CD	CD	_	1	num	_	_
3	stay	_	VBP	VBP	_	1	rcmod	_	_
4	for	_	IN	IN	_	3	prep	_	_
5	$	_	$	$	_	4	pobj	_	_
6	99/night	_	CD	CD	_	5	num	_	_
7	plus	_	CC	CC	_	5	prep	_	_
8	we	_	PRP	PRP	_	7	pobj	_	_
9	got	_	VBD	VBD	_	0	root	_	_
10	the	_	DT	DT	_	13	det	_	_
11	full	_	JJ	JJ	_	13	amod	_	_
12	buffet	_	NN	NN	_	13	nn	_	_
13	breakfast	_	NN	NN	_	9	dobj	_	_
14	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	room	_	NN	NN	_	4	nsubj	_	_
3	was	_	VBD	VBD	_	4	cop	_	_
4	wonderful	_	JJ	JJ	_	0	root	_	_
5	.	_	.	.	_	0	erased	_	_

1	Extremely	_	RB	RB	_	2	advmod	_	_
2	large	_	JJ	JJ	_	3	amod	_	_
3	King	_	NNP	NNP	_	4	nsubj	_	_
4	size	_	VBP	VBP	_	0	root	_	_
5	bed	_	NN	NN	_	4	dobj	_	_
6	with	_	IN	IN	_	4	prep	_	_
7	expansive	_	JJ	JJ	_	9	amod	_	_
8	sitting	_	JJ	JJ	_	9	amod	_	_
9	area	_	NN	NN	_	6	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	3	nsubjpass	_	_
2	are	_	VBP	VBP	_	3	auxpass	_	_
3	used	_	VBN	VBN	_	0	root	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	smaller	_	JJR	JJR	_	6	amod	_	_
6	hotels	_	NNS	NNS	_	4	pobj	_	_
7	with	_	IN	IN	_	6	prep	_	_
8	little	_	JJ	JJ	_	9	amod	_	_
9	room	_	NN	NN	_	7	pobj	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	move	_	VB	VB	_	3	xcomp	_	_
12	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	bed	_	NN	NN	_	5	nsubj	_	_
3	was	_	VBD	VBD	_	5	cop	_	_
4	extremely	_	RB	RB	_	5	advmod	_	_
5	comfortable	_	JJ	JJ	_	0	root	_	_
6	with	_	IN	IN	_	5	prep	_	_
7	lots	_	NNS	NNS	_	6	pobj	_	_
8	of	_	IN	IN	_	7	prep	_	_
9	pillows	_	NNS	NNS	_	8	pobj	_	_
10	.	_	.	.	_	0	erased	_	_

1	No	_	DT	DT	_	2	neg	_	_
2	wear	_	NN	NN	_	12	nsubj	_	_
3	or	_	CC	CC	_	2	cc	_	_
4	damage	_	NN	NN	_	2	conj	_	_
5	in	_	IN	IN	_	2	prep	_	_
6	room	_	NN	NN	_	5	pobj	_	_
7	at	_	IN	IN	_	6	prep	_	_
8	all	_	DT	DT	_	7	pobj	_	_
9	except	_	IN	IN	_	8	prep	_	_
10	sink	_	NN	NN	_	11	nn	_	_
11	tap	_	NN	NN	_	9	pobj	_	_
12	dripped	_	VBD	VBD	_	0	root	_	_
13	a	_	DT	DT	_	14	det	_	_
14	bit	_	NN	NN	_	12	dobj	_	_
15	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
16	poor	_	JJ	JJ	_	17	amod	_	_
17	taps	_	NNS	NNS	_	14	appos	_	_
18	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
19	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	4	nsubj	_	_
2	could	_	MD	MD	_	4	aux	_	_
3	have	_	VB	VB	_	4	aux	_	_
4	upgraded	_	VBN	VBN	_	0	root	_	_
5	to	_	TO	TO	_	4	prep	_	_
6	river	_	NN	NN	_	7	nn	_	_
7	view	_	NN	NN	_	5	pobj	_	_
8	for	_	IN	IN	_	7	prep	_	_
9	$	_	$	$	_	8	pobj	_	_
10	20/night	_	CD	CD	_	9	num	_	_
11	but	_	CC	CC	_	4	cc	_	_
12	chose	_	VBD	VBD	_	4	conj	_	_
13	not	_	RB	RB	_	14	neg	_	_
14	to	_	TO	TO	_	12	xcomp	_	_
15	.	_	.	.	_	0	erased	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	enjoyed	_	VBD	VBD	_	0	root	_	_
3	the	_	DT	DT	_	4	det	_	_
4	room	_	NN	NN	_	2	dobj	_	_
5	for	_	IN	IN	_	4	prep	_	_
6	what	_	WP	WP	_	8	dobj	_	_
7	it	_	PRP	PRP	_	8	nsubj	_	_
8	was	_	VBD	VBD	_	5	pcomp	_	_
9	.	_	.	.	_	0	erased	_	_

1	22nd	_	JJ	JJ	_	2	amod	_	_
2	floor	_	NN	NN	_	0	root	_	_
3	looking	_	VBG	VBG	_	2	vmod	_	_
4	south	_	RB	RB	_	3	advmod	_	_
5	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	buffet	_	NN	NN	_	3	nn	_	_
3	breakfast	_	NN	NN	_	5	nsubj	_	_
4	was	_	VBD	VBD	_	5	cop	_	_
5	great	_	JJ	JJ	_	0	root	_	_
6	.	_	.	.	_	0	erased	_	_

1	Lots	_	NNS	NNS	_	9	nsubj	_	_
2	to	_	TO	TO	_	3	aux	_	_
3	choose	_	VB	VB	_	1	vmod	_	_
4	from	_	IN	IN	_	3	prep	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	very	_	RB	RB	_	7	advmod	_	_
7	fresh	_	JJ	JJ	_	3	conj	_	_
8	with	_	IN	IN	_	7	prep	_	_
9	made	_	VBN	VBN	_	0	root	_	_
10	to	_	TO	TO	_	9	prep	_	_
11	order	_	NN	NN	_	12	nn	_	_
12	eggs	_	NNS	NNS	_	10	pobj	_	_
13	,	_	,	,	_	0	erased	_	_
14	non	_	NN	NN	_	16	nn	_	_
15	stop	_	NN	NN	_	16	nn	_	_
16	coffee	_	NN	NN	_	12	appos	_	_
17	and	_	CC	CC	_	9	cc	_	_
18	juice	_	NN	NN	_	9	conj	_	_
19	and	_	CC	CC	_	9	cc	_	_
20	the	_	DT	DT	_	21	det	_	_
21	servers	_	NNS	NNS	_	24	nsubj	_	_
22	were	_	VBD	VBD	_	24	cop	_	_
23	so	_	RB	RB	_	24	advmod	_	_
24	eager	_	JJ	JJ	_	9	conj	_	_
25	to	_	TO	TO	_	26	aux	_	_
