1	Wonderful	_	JJ	JJ	_	2	amod	_	_
2	limo	_	NN	NN	_	0	root	_	_
3	service	_	NN	NN	_	2	dep	_	_
4	.	_	.	.	_	0	erased	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	picked	_	VBD	VBD	_	0	root	_	_
3	me	_	PRP	PRP	_	2	dobj	_	_
4	up	_	IN	IN	_	9	dep	_	_
5	at	_	IN	IN	_	9	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	airport	_	NN	NN	_	5	pobj	_	_
8	fairly	_	RB	RB	_	9	advmod	_	_
9	early	_	RB	RB	_	2	advmod	_	_
10	in	_	IN	IN	_	2	prep	_	_
11	the	_	DT	DT	_	12	det	_	_
12	morning	_	NN	NN	_	10	pobj	_	_
13	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	ended	_	VBD	VBD	_	0	root	_	_
3	up	_	RP	RP	_	2	prt	_	_
4	gettting	_	VBG	VBG	_	2	xcomp	_	_
5	a	_	DT	DT	_	7	det	_	_
6	midnight	_	NN	NN	_	7	nn	_	_
7	flight	_	NN	NN	_	4	dobj	_	_
8	to	_	TO	TO	_	4	prep	_	_
9	Chicago	_	NNP	NNP	_	8	pobj	_	_
10	from	_	IN	IN	_	4	prep	_	_
11	California	_	NNP	NNP	_	10	pobj	_	_
12	.	_	.	.	_	0	erased	_	_

