1	OK	_	UH	UH	_	8	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	8	nsubj	_	_
4	'm	_	VBP	VBP	_	8	cop	_	_
5	not	_	RB	RB	_	8	neg	_	_
6	a	_	DT	DT	_	8	det	_	_
7	B&B	_	NNP	NNP	_	8	nn	_	_
8	person	_	NN	NN	_	26	ccomp	_	_
9	,	_	,	,	_	0	erased	_	_
10	which	_	WDT	WDT	_	12	nsubj	_	_
11	may	_	MD	MD	_	12	aux	_	_
12	be	_	VB	VB	_	8	rcmod	_	_
13	why	_	WRB	WRB	_	15	advmod	_	_
14	I	_	PRP	PRP	_	15	nsubj	_	_
15	liked	_	VBD	VBD	_	12	advcl	_	_
16	House	_	NNP	NNP	_	19	nn	_	_
17	5863	_	NNP	NNP	_	19	nn	_	_
18	A	_	NNP	NNP	_	19	nn	_	_
19	LOT	_	NNP	NNP	_	15	dobj	_	_
20	!	_	.	.	_	0	erased	_	_
21	First	_	RB	RB	_	19	advmod	_	_
22	,	_	,	,	_	0	erased	_	_
23	I	_	PRP	PRP	_	26	nsubj	_	_
24	did	_	VBD	VBD	_	26	aux	_	_
25	not	_	RB	RB	_	26	neg	_	_
26	have	_	VB	VB	_	0	root	_	_
27	to	_	TO	TO	_	28	aux	_	_
28	interact	_	VB	VB	_	26	xcomp	_	_
29	with	_	IN	IN	_	28	prep	_	_
30	any	_	DT	DT	_	31	det	_	_
31	owners	_	NNS	NNS	_	29	pobj	_	_
32	.	_	.	.	_	0	erased	_	_

1	Second	_	LS	LS	_	4	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	there	_	EX	EX	_	4	expl	_	_
4	was	_	VBD	VBD	_	0	root	_	_
5	no	_	DT	DT	_	6	neg	_	_
6	potpourri	_	NN	NN	_	4	nsubj	_	_
7	in	_	IN	IN	_	6	prep	_	_
8	sight	_	NN	NN	_	7	pobj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Third	_	LS	LS	_	6	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	5	det	_	_
4	self	_	NN	NN	_	5	nn	_	_
5	check-in	_	NN	NN	_	6	nsubj	_	_
6	worked	_	VBD	VBD	_	0	root	_	_
7	perfectly	_	RB	RB	_	6	advmod	_	_
8	.	_	.	.	_	0	erased	_	_

1	Fourth	_	JJ	JJ	_	11	advmod	_	_
2	,	_	,	,	_	0	erased	_	_
3	the	_	DT	DT	_	4	det	_	_
4	room	_	NN	NN	_	11	nsubj	_	_
5	was	_	VBD	VBD	_	11	cop	_	_
6	great	_	JJ	JJ	_	11	amod	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	well	_	RB	RB	_	9	advmod	_	_
9	worth	_	JJ	JJ	_	6	conj	_	_
10	the	_	DT	DT	_	11	det	_	_
11	money	_	NN	NN	_	0	root	_	_
12	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
13	not	_	RB	RB	_	14	neg	_	_
14	cheap	_	JJ	JJ	_	11	dep	_	_
15	,	_	,	,	_	0	erased	_	_
16	but	_	CC	CC	_	14	prep	_	_
17	a	_	DT	DT	_	19	det	_	_
18	wonderful	_	JJ	JJ	_	19	amod	_	_
