1	My	_	PRP$	PRP$	_	2	poss	_	_
2	husband	_	NN	NN	_	5	nsubj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	I	_	PRP	PRP	_	2	conj	_	_
5	had	_	VBD	VBD	_	0	root	_	_
6	a	_	DT	DT	_	8	det	_	_
7	great	_	JJ	JJ	_	8	amod	_	_
8	time	_	NN	NN	_	5	dobj	_	_
9	exploring	_	VBG	VBG	_	8	vmod	_	_
10	the	_	DT	DT	_	12	det	_	_
11	Magnificent	_	NNP	NNP	_	12	nn	_	_
12	Mile	_	NNP	NNP	_	9	dobj	_	_
13	with	_	IN	IN	_	9	prep	_	_
14	the	_	DT	DT	_	15	det	_	_
15	help	_	NN	NN	_	13	pobj	_	_
16	of	_	IN	IN	_	15	prep	_	_
17	Stray	_	NNP	NNP	_	18	nn	_	_
18	Boots	_	NNP	NNP	_	16	pobj	_	_
19	!	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	grew	_	VBD	VBD	_	0	root	_	_
3	up	_	RP	RP	_	2	prt	_	_
4	in	_	IN	IN	_	2	prep	_	_
5	Chicago	_	NNP	NNP	_	4	pobj	_	_
6	,	_	,	,	_	0	erased	_	_
7	but	_	CC	CC	_	2	cc	_	_
8	I	_	PRP	PRP	_	9	nsubj	_	_
9	learned	_	VBD	VBD	_	2	conj	_	_
10	some	_	DT	DT	_	12	det	_	_
11	cool	_	JJ	JJ	_	12	amod	_	_
12	facts	_	NNS	NNS	_	9	dobj	_	_
13	and	_	CC	CC	_	9	cc	_	_
14	got	_	VBD	VBD	_	9	conj	_	_
15	to	_	TO	TO	_	16	aux	_	_
16	see	_	VB	VB	_	14	xcomp	_	_
17	places	_	NNS	NNS	_	16	dobj	_	_
18	up	_	RB	RB	_	19	advmod	_	_
19	close	_	RB	RB	_	16	advmod	_	_
20	as	_	IN	IN	_	24	mark	_	_
21	I	_	PRP	PRP	_	24	nsubj	_	_
22	have	_	VBP	VBP	_	24	aux	_	_
23	n't	_	RB	RB	_	24	neg	_	_
24	seen	_	VBN	VBN	_	19	advcl	_	_
25	them	_	PRP	PRP	_	24	dep	_	_
26	before	_	RB	RB	_	25	advmod	_	_
27	.	_	.	.	_	0	erased	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	are	_	VBP	VBP	_	0	root	_	_
3	no	_	DT	DT	_	5	neg	_	_
4	time	_	NN	NN	_	5	nn	_	_
5	constraints	_	NNS	NNS	_	2	nsubj	_	_
6	,	_	,	,	_	0	erased	_	_
7	so	_	IN	IN	_	2	dep	_	_
8	we	_	PRP	PRP	_	9	nsubj	_	_
9	explored	_	VBD	VBD	_	2	parataxis	_	_
10	shops	_	NNS	NNS	_	17	nsubj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	restaurants	_	NNS	NNS	_	10	conj	_	_
13	,	_	,	,	_	0	erased	_	_
14	ate	_	JJ	JJ	_	15	amod	_	_
15	lunch	_	NN	NN	_	10	appos	_	_
16	,	_	,	,	_	0	erased	_	_
17	took	_	VBD	VBD	_	9	ccomp	_	_
18	extra	_	JJ	JJ	_	19	amod	_	_
19	time	_	NN	NN	_	17	dobj	_	_
20	where	_	WRB	WRB	_	22	advmod	_	_
21	we	_	PRP	PRP	_	22	nsubj	_	_
22	wanted	_	VBD	VBD	_	17	advcl	_	_
23	.	_	.	.	_	0	erased	_	_

