1	Awful	_	VB	VB	_	6	ccomp	_	_
2	rooms	_	NNS	NNS	_	1	dobj	_	_
3	,	_	,	,	_	0	erased	_	_
4	they	_	PRP	PRP	_	6	nsubj	_	_
5	are	_	VBP	VBP	_	6	cop	_	_
6	small	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	stuffy	_	JJ	JJ	_	6	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	start	_	VBP	VBP	_	0	root	_	_
3	having	_	VBG	VBG	_	2	xcomp	_	_
4	allergies	_	NNS	NNS	_	3	dobj	_	_
5	and	_	CC	CC	_	2	cc	_	_
6	the	_	DT	DT	_	7	det	_	_
7	beds	_	NNS	NNS	_	9	nsubj	_	_
8	are	_	VBP	VBP	_	9	cop	_	_
9	uncomfortable	_	JJ	JJ	_	2	conj	_	_
10	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	have	_	VBP	VBP	_	0	root	_	_
3	friends	_	NNS	NNS	_	2	dobj	_	_
4	who	_	WP	WP	_	6	nsubj	_	_
5	have	_	VBP	VBP	_	6	aux	_	_
6	stayed	_	VBN	VBN	_	3	rcmod	_	_
7	here	_	RB	RB	_	6	advmod	_	_
8	a	_	DT	DT	_	9	det	_	_
9	lot	_	NN	NN	_	10	npadvmod	_	_
10	too	_	RB	RB	_	6	advmod	_	_
11	and	_	CC	CC	_	2	cc	_	_
12	they	_	PRP	PRP	_	13	nsubj	_	_
13	say	_	VBP	VBP	_	2	conj	_	_
14	the	_	DT	DT	_	16	det	_	_
15	same	_	JJ	JJ	_	16	amod	_	_
16	thing	_	NN	NN	_	13	dobj	_	_
17	about	_	IN	IN	_	13	prep	_	_
18	the	_	DT	DT	_	19	det	_	_
19	rooms	_	NNS	NNS	_	21	nsubj	_	_
20	being	_	VBG	VBG	_	21	cop	_	_
21	stuffy	_	JJ	JJ	_	17	pcomp	_	_
22	and	_	CC	CC	_	21	cc	_	_
23	causing	_	VBG	VBG	_	21	conj	_	_
24	allergies	_	NNS	NNS	_	23	dobj	_	_
25	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	desk	_	NN	NN	_	3	nn	_	_
3	clerks	_	NNS	NNS	_	6	nsubj	_	_
4	are	_	VBP	VBP	_	6	cop	_	_
5	complete	_	JJ	JJ	_	6	amod	_	_
6	jerks	_	NNS	NNS	_	0	root	_	_
7	,	_	,	,	_	0	erased	_	_
8	they	_	PRP	PRP	_	10	nsubj	_	_
9	are	_	VBP	VBP	_	10	cop	_	_
10	snobs	_	JJ	JJ	_	6	conj	_	_
11	with	_	IN	IN	_	10	prep	_	_
12	everyone	_	NN	NN	_	11	pobj	_	_
13	and	_	CC	CC	_	6	cc	_	_
14	it	_	PRP	PRP	_	17	nsubj	_	_
15	gets	_	VBZ	VBZ	_	17	dep	_	_
16	very	_	RB	RB	_	17	advmod	_	_
17	old	_	JJ	JJ	_	6	conj	_	_
18	very	_	RB	RB	_	19	advmod	_	_
19	quickly	_	RB	RB	_	17	advmod	_	_
20	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	rooms	_	NNS	NNS	_	6	nsubj	_	_
3	are	_	VBP	VBP	_	6	cop	_	_
4	just	_	RB	RB	_	6	advmod	_	_
5	so	_	RB	RB	_	6	advmod	_	_
6	old	_	JJ	JJ	_	0	root	_	_
7	and	_	CC	CC	_	6	cc	_	_
8	drab	_	JJ	JJ	_	6	conj	_	_
9	.	_	.	.	_	0	erased	_	_

1	Next	_	NNP	NNP	_	2	nn	_	_
2	!!!	_	NNP	NNP	_	0	root	_	_

