1	Hello	_	UH	UH	_	4	discourse	_	_
2	,	_	,	,	_	0	erased	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	stayed	_	VBD	VBD	_	0	root	_	_
5	at	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	8	det	_	_
7	Wrigley	_	NNP	NNP	_	8	nn	_	_
8	Hostel	_	NNP	NNP	_	5	pobj	_	_
9	12/30	_	CD	CD	_	8	num	_	_
10	and	_	CC	CC	_	8	cc	_	_
11	12/31	_	CD	CD	_	8	conj	_	_
12	for	_	IN	IN	_	4	prep	_	_
13	New	_	NNP	NNP	_	14	nn	_	_
14	Year	_	NNP	NNP	_	12	pobj	_	_
15	's	_	POS	POS	_	14	possessive	_	_
16	.	_	.	.	_	0	erased	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	was	_	VBD	VBD	_	4	cop	_	_
3	very	_	RB	RB	_	4	advmod	_	_
4	pleased	_	JJ	JJ	_	0	root	_	_
5	!	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	3	det	_	_
2	first	_	JJ	JJ	_	3	amod	_	_
3	reason	_	NN	NN	_	4	nsubj	_	_
4	was	_	VBD	VBD	_	0	root	_	_
5	that	_	IN	IN	_	11	mark	_	_
6	it	_	PRP	PRP	_	11	nsubj	_	_
7	was	_	VBD	VBD	_	11	cop	_	_
8	a	_	DT	DT	_	11	det	_	_
9	9	_	CD	CD	_	10	number	_	_
10	minute	_	NN	NN	_	11	amod	_	_
11	walk	_	NN	NN	_	4	ccomp	_	_
12	to	_	TO	TO	_	11	prep	_	_
13	the	_	DT	DT	_	15	det	_	_
14	Vic	_	NNP	NNP	_	15	nn	_	_
15	Theater	_	NNP	NNP	_	12	pobj	_	_
16	-LRB-	_	-LRB-	-LRB-	_	0	erased	_	_
17	where	_	WRB	WRB	_	20	advmod	_	_
18	the	_	DT	DT	_	19	det	_	_
19	concerts	_	NNS	NNS	_	20	nsubj	_	_
20	were	_	VBD	VBD	_	4	dep	_	_
21	-RRB-	_	-RRB-	-RRB-	_	0	erased	_	_
22	and	_	CC	CC	_	4	cc	_	_
23	the	_	DT	DT	_	24	det	_	_
24	hostel	_	NN	NN	_	25	nsubj	_	_
25	gave	_	VBD	VBD	_	4	conj	_	_
26	me	_	PRP	PRP	_	27	nsubj	_	_
27	FREE	_	VBP	VBP	_	25	ccomp	_	_
28	street	_	NN	NN	_	29	nn	_	_
29	parking	_	NN	NN	_	30	nsubj	_	_
30	passes	_	VBZ	VBZ	_	27	ccomp	_	_
31	for	_	IN	IN	_	30	prep	_	_
32	each	_	DT	DT	_	33	det	_	_
33	night	_	NN	NN	_	31	pobj	_	_
34	so	_	IN	IN	_	37	mark	_	_
35	I	_	PRP	PRP	_	37	nsubj	_	_
36	never	_	RB	RB	_	37	neg	_	_
37	had	_	VBD	VBD	_	30	advcl	_	_
38	to	_	TO	TO	_	39	aux	_	_
39	drive	_	VB	VB	_	37	xcomp	_	_
40	.	_	.	.	_	0	erased	_	_

1	The	_	DT	DT	_	2	det	_	_
2	street	_	NN	NN	_	10	nsubj	_	_
3	the	_	DT	DT	_	4	det	_	_
4	hostel	_	NN	NN	_	5	nsubj	_	_
5	is	_	VBZ	VBZ	_	2	rcmod	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	was	_	VBD	VBD	_	10	cop	_	_
8	not	_	RB	RB	_	10	neg	_	_
9	super	_	JJ	JJ	_	10	amod	_	_
10	trafficky	_	NN	NN	_	0	root	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	there	_	EX	EX	_	13	expl	_	_
13	were	_	VBD	VBD	_	10	conj	_	_
14	a	_	DT	DT	_	18	det	_	_
15	few	_	JJ	JJ	_	18	amod	_	_
16	open	_	JJ	JJ	_	18	amod	_	_
17	parking	_	NN	NN	_	18	nn	_	_
18	spots	_	NNS	NNS	_	13	nsubj	_	_
19	close	_	VBP	VBP	_	18	amod	_	_
20	to	_	TO	TO	_	19	prep	_	_
21	the	_	DT	DT	_	23	det	_	_
22	front	_	JJ	JJ	_	23	amod	_	_
23	door	_	NN	NN	_	20	pobj	_	_
24	.	_	.	.	_	0	erased	_	_

1	Another	_	DT	DT	_	3	det	_	_
